Interaction	rec-Y2H | Table S2	Both eCLIP - HepG2	Both eCLIP - K562
A1CF-LARP4B	False	False	False
A1CF-LARP7	False	False	False
A1CF-LBR	False	False	False
A1CF-LDHA	False	False	False
A1CF-LENG1	False	False	False
A1CF-LGALS3	False	False	False
A1CF-LIN28A	False	False	False
A1CF-LIN28B	False	False	False
A1CF-LIN7A	False	False	False
A1CF-LLPH	False	False	False
A1CF-LMNA	False	False	False
A1CF-LPAR1	False	False	False
A1CF-LSM1	False	False	False
A1CF-LSM14B	False	False	False
A1CF-LSM2	False	False	False
A1CF-LSM3	False	False	False
A1CF-LSM4	False	False	False
A1CF-LSM5	False	False	False
A1CF-LSM6	False	False	False
A1CF-LSM7	False	False	False
A1CF-LSM8	False	False	False
A1CF-LUC7L	False	False	False
A1CF-LUC7L2	False	False	False
A1CF-LUC7L3	False	False	False
A1CF-LYAR	False	False	False
A1CF-MAGOH	False	False	False
A1CF-MAK16	False	False	False
A1CF-MANF	False	False	False
A1CF-MAP1S	False	False	False
A1CF-MAP2	False	False	False
A1CF-MAP4	False	False	False
A1CF-MAP7	False	False	False
A1CF-MAPRE1	False	False	False
A1CF-MAPRE2	False	False	False
A1CF-MAPRE3	False	False	False
A1CF-MAPT	False	False	False
A1CF-MAZ	False	False	False
A1CF-MBNL1	False	False	False
A1CF-MBNL2	False	False	False
A1CF-MBP	False	False	False
A1CF-MDH2	False	False	False
A1CF-MECP2	False	False	False
A1CF-MED1	False	False	False
A1CF-MEPCE	False	False	False
A1CF-METTL14	False	False	False
A1CF-METTL16	False	False	False
A1CF-MFAP1	False	False	False
A1CF-MIF	False	False	False
A1CF-MKRN1	False	False	False
A1CF-MMTAG2	False	False	False
A1CF-MOCS3	False	False	False
A1CF-MORF4L1	False	False	False
A1CF-MOV10	False	False	False
A1CF-MREG	False	False	False
A1CF-MRPL1	False	False	False
A1CF-MRPL10	False	False	False
A1CF-MRPL11	False	False	False
A1CF-MRPL13	False	False	False
A1CF-MRPL14	False	False	False
A1CF-MRPL2	False	False	False
A1CF-MRPL27	False	False	False
A1CF-MRPL28	False	False	False
A1CF-MRPL3	False	False	False
A1CF-MRPL37	False	False	False
A1CF-MRPL39	False	False	False
A1CF-MRPL4	False	False	False
A1CF-MRPL41	False	False	False
A1CF-MRPL42	False	False	False
A1CF-MRPL44	False	False	False
A1CF-MRPS11	False	False	False
A1CF-MRPS15	False	False	False
A1CF-MRPS18C	False	False	False
A1CF-MRPS21	False	False	False
A1CF-MRPS23	False	False	False
A1CF-MRPS24	False	False	False
A1CF-MRPS27	False	False	False
A1CF-MRPS30	False	False	False
A1CF-MRPS31	False	False	False
A1CF-MRPS35	False	False	False
A1CF-MRPS5	False	False	False
A1CF-MRPS7	False	False	False
A1CF-MRTO4	False	False	False
A1CF-MSI2	False	False	False
A1CF-MTDH	False	False	False
A1CF-MTG1	False	False	False
A1CF-MTPAP	False	False	False
A1CF-MTREX	False	False	False
A1CF-MYH9	False	False	False
A1CF-MYO10	False	False	False
A1CF-MYO18B	False	False	False
A1CF-MYO19	False	False	False
A1CF-MYO1C	False	False	False
A1CF-MYO1D	False	False	False
A1CF-MYO1F	False	False	False
A1CF-MYO5A_CTER	False	False	False
A1CF-MYO5A_NTER	False	False	False
A1CF-MYO6	False	False	False
A1CF-NAB2	False	False	False
A1CF-NABP2	False	False	False
A1CF-NAP1L1	False	False	False
A1CF-NAT10	False	False	False
A1CF-NAV1	False	False	False
A1CF-NCBP3	False	False	False
A1CF-NCL	False	False	False
A1CF-NDE1	False	False	False
A1CF-NDEL1	False	False	False
A1CF-NDUFA4	False	False	False
A1CF-NDUFA9	False	False	False
A1CF-NDUFV3	False	False	False
A1CF-NELFE	False	False	False
A1CF-NGDN	False	False	False
A1CF-NGRN	False	False	False
A1CF-NHP2	False	False	False
A1CF-NIFK	False	False	False
A1CF-NIN	False	False	False
A1CF-NIP7	False	False	False
A1CF-NKRF	False	False	False
A1CF-NMD3	False	False	False
A1CF-NME1	False	False	False
A1CF-NMT1	False	False	False
A1CF-NOA1	False	False	False
A1CF-NOC2L	False	False	False
A1CF-NOL10	False	False	False
A1CF-NOL7	False	False	False
A1CF-NOL8	False	False	False
A1CF-NOLC1	False	False	False
A1CF-NONO	False	False	False
A1CF-NOP16	False	False	False
A1CF-NOP2	False	False	False
A1CF-NOP53	False	False	False
A1CF-NOP56	False	False	False
A1CF-NOP58	False	False	False
A1CF-NOP9	False	False	False
A1CF-NOSIP	False	False	False
A1CF-NOVA1	False	False	False
A1CF-NPM1	False	False	False
A1CF-NPM3	False	False	False
A1CF-NSA2	False	False	False
A1CF-NSUN2	False	False	False
A1CF-NSUN5	False	False	False
A1CF-NUDT16	False	False	False
A1CF-NUDT21	False	False	False
A1CF-NUFIP2	False	False	False
A1CF-NUSAP1	False	False	False
A1CF-NVL	False	False	False
A1CF-NXF1	False	False	False
A1CF-NXF2	False	False	False
A1CF-NXF3	False	False	False
A1CF-NXF5	False	False	False
A1CF-NXT1	False	False	False
A1CF-OCIAD1	False	False	False
A1CF-OS9	False	False	False
A1CF-P4HB	False	False	False
A1CF-P53	False	False	False
A1CF-PA2G4	False	False	False
A1CF-PABPC1	False	False	False
A1CF-PABPC5	False	False	False
A1CF-PACSIN2	False	False	False
A1CF-PANK1	False	False	False
A1CF-PARD3B	False	False	False
A1CF-PARD6G	False	False	False
A1CF-PARP12	False	False	False
A1CF-PATL1	False	False	False
A1CF-PCBP1	False	False	False
A1CF-PCBP2	False	False	False
A1CF-PCBP3	False	False	False
A1CF-PCBP4	False	False	False
A1CF-PCGF5	False	False	False
A1CF-PCM1	False	False	False
A1CF-PCNP	False	False	False
A1CF-PDAP1	False	False	False
A1CF-PDIA3	False	False	False
A1CF-PDIA4	False	False	False
A1CF-PDIA6	False	False	False
A1CF-PEBP1	False	False	False
A1CF-PEF1	False	False	False
A1CF-PEG10	False	False	False
A1CF-PES1	False	False	False
A1CF-PFN1	False	False	False
A1CF-PGK1	False	False	False
A1CF-PHB	False	False	False
A1CF-PHC1	False	False	False
A1CF-PHF5A	False	False	False
A1CF-PHF8	False	False	False
A1CF-PIF1	False	False	False
A1CF-PKM	False	False	False
A1CF-PKP2	False	False	False
A1CF-PLRG1	False	False	False
A1CF-PNISR	False	False	False
A1CF-PNKP	False	False	False
A1CF-PNN	False	False	False
A1CF-PNO1	False	False	False
A1CF-POLDIP3	False	False	False
A1CF-POLR2A	False	False	False
A1CF-POLRMT	False	False	False
A1CF-PPAN	False	False	False
A1CF-PPFIBP1	False	False	False
A1CF-PPIA	False	False	False
A1CF-PPIB	False	False	False
A1CF-PPID	False	False	False
A1CF-PPIE	False	False	False
A1CF-PPIG	False	False	False
A1CF-PPIL2	False	False	False
A1CF-PPIL3	False	False	False
A1CF-PPIL4	False	False	False
A1CF-PPM1G	False	False	False
A1CF-PPWD1	False	False	False
A1CF-PQBP1	False	False	False
A1CF-PRC1	False	False	False
A1CF-PRDX1	False	False	False
A1CF-PRDX2	False	False	False
A1CF-PRDX4	False	False	False
