Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
EFTUD2_5_left	EFTUD2	1	127.19779957627816	2.395238517547182e-28	0.0007843406116393565	4.5237087641827105e-28
DDX52_center_right	DDX52	4	126.86616400445735	2.827238956317441e-28	7.392708325193614e-07	5.326972690744682e-28
GEMIN5_center_right	GEMIN5	4	125.79734149958901	4.824522923957975e-28	5.780481444416124e-06	9.06873766602478e-28
NCBP2_5_left	NCBP2	1	124.16986388161152	1.0885707203364553e-27	0.00037187913267283987	2.041390268489776e-27
GARS_3_right	GARS	6	123.72669758675069	1.3585917936580254e-27	0.0002184520578294334	2.5417785435339113e-27
PPIL4_5_right	PPIL4	2	123.24787294256409	1.726093977900789e-27	7.001383227850045e-05	3.221772600437772e-27
DDX47_center_right	DDX47	4	121.63606055145374	3.8642485356893816e-27	0.0	7.195808605010368e-27
WDR43_center_left	WDR43	3	121.47931233466618	4.179289865661121e-27	0.0	7.764321731776022e-27
DDX6_center_right	DDX6	4	120.72068276667395	6.107125031486448e-27	2.5968112781386683e-05	1.131948523277837e-26
DDX55_5_right	DDX55	2	120.20555354110432	7.901248147020411e-27	0.0002454195345024706	1.4610892745186235e-26
EXOSC5_3_right	EXOSC5	6	120.06111567352346	8.492977742251047e-27	0.0	1.5668757547625193e-26
UPF1_5_right	UPF1	2	120.03041228152398	8.624365285108958e-27	0.0004892930442593461	1.5874409081366835e-26
YWHAG_3_right	YWHAG	6	118.63277967688562	1.7346793426512667e-26	0.0	3.1855747375416113e-26
TBRG4_center_right	TBRG4	4	118.55612438641674	1.802456081648924e-26	0.0	3.302431027756764e-26
METAP2_5_right	METAP2	2	117.66726975208975	2.811104711351444e-26	0.004082200179919695	5.1386478324474795e-26
DDX55_center_left	DDX55	3	115.46950065589343	8.4356104959428e-26	0.00035294672513340024	1.5384854840426572e-25
APOBEC3C_5_right	APOBEC3C	2	115.4085756715049	8.696534231462572e-26	0.0027508564652061634	1.582451548510427e-25
AATF_5_left	AATF	1	114.5595184439141	1.3295866479247408e-25	8.089401083129008e-05	2.4138509302870577e-25
KHSRP_3_right	KHSRP	6	114.34680514526492	1.4787908375881625e-25	0.0020512191582636743	2.6786279489949217e-25
HLTF_center_left	HLTF	3	113.64615446284294	2.099186929712039e-25	4.868872687126392e-06	3.7937686688900117e-25
PUM1_5_left	PUM1	1	110.51586004790178	1.0041206746348091e-24	0.00020655006003663057	1.8105976870677438e-24
KHDRBS1_center_right	KHDRBS1	4	110.37706490427223	1.0762790623293488e-24	5.339188909619772e-05	1.936330502655736e-24
LSM11_center_right	LSM11	4	109.09380755171742	2.044469731761037e-24	3.069277166007243e-05	3.669915261742222e-24
RBFOX2_5_left	RBFOX2	1	107.494805932819	4.547780289422913e-24	7.504116090028768e-05	8.145125597011375e-24
MATR3_3_right	MATR3	6	107.05833690593244	5.656887214855742e-24	0.0	1.010883208573997e-23
AGGF1_5_right	AGGF1	2	105.66558396638719	1.1350368934750614e-23	0.00037606504608327063	2.0237682418336106e-23
NOLC1_center_left	NOLC1	3	104.99851386368637	1.5843911594754885e-23	7.460015301563686e-06	2.8186601654061705e-23
YWHAG_5_right	YWHAG	2	102.43052389756582	5.721295067003978e-23	0.00038216846687009483	1.0155617301563853e-22
CSTF2T_3_right	CSTF2T	6	102.20464927897476	6.405343086781269e-23	0.00013300534710480083	1.1344574311477048e-22
DDX1_3_right	DDX1	6	102.18399753687366	6.471826492342259e-23	0.0	1.143690845764253e-22
ZRANB2_5_right	ZRANB2	2	101.44605354245243	9.359860323141234e-23	0.00012531676124490342	1.6504001498990186e-22
GNL3_3_left	GNL3	5	100.16897764659632	1.7724862510308528e-22	0.0	3.118480225323598e-22
SDAD1_center_left	SDAD1	3	99.90029181839407	2.0273431377131832e-22	0.0	3.5590142747960505e-22
SRSF9_center_right	SRSF9	4	99.17333211030902	2.9159801029404217e-22	0.0	5.107771740754981e-22
ELAVL1_3_left	ELAVL1	5	97.05215855753856	8.421540485982062e-22	0.0013113460306070311	1.4719227559929173e-21
ZC3H11A_3_right	ZC3H11A	6	96.66403754159798	1.0225179686947083e-21	0.0010836680214817117	1.783253437745476e-21
AATF_center_left	AATF	3	95.72310141313552	1.6367887553731621e-21	8.776808114904e-05	2.8482983363153064e-21
SERBP1_3_left	SERBP1	5	93.87445218337457	4.124978720834124e-21	0.00022740808454013354	7.162544750555114e-21
FAM120A_5_left	FAM120A	1	92.98712471905039	6.428393055126726e-21	0.0014420255986689178	1.113788970638261e-20
RPS6_5_left	RPS6	1	90.92711624337235	1.8006428466915776e-20	4.183599752285405e-06	3.1130419713952e-20
FASTKD2_center_left	FASTKD2	3	90.57753659617109	2.1445581957013406e-20	5.455037150335543e-05	3.699594982627637e-20
APOBEC3C_5_left	APOBEC3C	1	89.95497208780816	2.927696147569294e-20	9.006436799379165e-05	5.039684297219714e-20
SAFB2_center_right	SAFB2	4	87.99004617869255	7.819954769074239e-20	1.1120147580460853e-05	1.3432120583948637e-19
EIF3G_3_left	EIF3G	5	87.96034669217308	7.936945581619447e-20	0.0	1.3603754039893979e-19
EXOSC10_5_left	EXOSC10	1	87.43822968323116	1.0304565178599566e-19	0.00027160978924346466	1.7623902247519e-19
DDX52_3_right	DDX52	6	86.83719999232746	1.391687125831785e-19	9.137102722628832e-06	2.3751062939784423e-19
EXOSC5_5_right	EXOSC5	2	86.67985169037031	1.5055991445977151e-19	0.00017413503873753926	2.5640224748811516e-19
U2AF2_3_right	U2AF2	6	86.02862476865995	2.0850740757491306e-19	0.003924415878213447	3.543292192690953e-19
FAM120A_center_right	FAM120A	4	85.60737560422564	2.5739172616444897e-19	4.778612641079726e-05	4.36470650538438e-19
ILF3_3_left	ILF3	5	85.20846175083493	3.142082797931167e-19	8.06146367302303e-06	5.316857728134055e-19
