Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
SRSF1_center_left	SRSF1	3	145.18912845296117	2.968802727035911e-32	0.0015993185875568363	6.376653744689809e-32
HNRNPM_5_left	HNRNPM	1	144.83835404439606	3.537944658590461e-32	8.939923563668748e-06	7.572442953474319e-32
FUS_3_left	FUS	5	144.81169605455952	3.5854175853225933e-32	3.6470845587717225e-05	7.647219325338398e-32
XPO5_3_left	XPO5	5	143.38506696111435	7.31692015257856e-32	0.001412811425872613	1.5551642136142583e-31
NIP7_center_right	NIP7	4	142.42949423696433	1.1798540735335583e-31	0.0	2.4989964751926062e-31
TIA1_3_left	TIA1	5	141.62480468177688	1.7642674150474129e-31	0.0004325592967972549	3.7238862393734323e-31
EFTUD2_3_right	EFTUD2	6	140.67980262605508	2.8298864007956993e-31	0.0009090585572465677	5.95251967063923e-31
SUPV3L1_center_right	SUPV3L1	4	140.06994312861838	3.8388249551406074e-31	0.00011567950580548489	8.047021383628078e-31
DDX55_3_right	DDX55	6	139.15527644646184	6.064788439438104e-31	0.00020171901023140478	1.2669592287867272e-30
KHSRP_5_left	KHSRP	1	138.17811629395442	9.885605763606596e-31	0.0007722322190624252	2.058095397883967e-30
SRSF9_center_right	SRSF9	4	137.1602943470436	1.644449398942216e-30	0.0	3.411952834539972e-30
LSM11_5_left	LSM11	1	136.7907731545585	1.9781582054641625e-30	0.0005455548875239212	4.09042883163776e-30
FAM120A_5_left	FAM120A	1	136.14057213711243	2.7381067687458604e-30	0.00013132734372689012	5.6427200301857255e-30
DDX55_center_right	DDX55	4	136.09884526328338	2.79583317830436e-30	6.51628701751801e-05	5.7422836322076085e-30
DKC1_5_right	DKC1	2	131.06932804963284	3.456662997201175e-29	0.0	7.075719558029251e-29
FASTKD2_5_left	FASTKD2	1	130.88441589059119	3.791492539749112e-29	0.00021229260249977893	7.735152004170429e-29
FTO_5_right	FTO	2	128.458527334198	1.2752202856354728e-28	1.2590134325433414e-05	2.589905864055292e-28
AGGF1_center_right	AGGF1	4	128.45421953425088	1.2779699427551524e-28	0.0001610711221814536	2.589905864055292e-28
SRSF1_5_right	SRSF1	2	127.46800444472993	2.092543646001864e-28	0.0003802423657857495	4.226661006824957e-28
CSTF2_center_right	CSTF2	4	126.85274235544802	2.846275866021958e-28	4.0976947631616896e-05	5.730126330935295e-28
NOL12_5_right	NOL12	2	126.07795797987912	4.192946102287865e-28	0.0	8.413477376301307e-28
RBM5_3_left	RBM5	5	125.64591265629785	5.203993313041734e-28	0.00027425159831140854	1.0407986626083468e-27
WDR43_5_right	WDR43	2	125.0393248117448	7.047833030114494e-28	2.109794927592645e-06	1.4049601792058307e-27
FTO_5_left	FTO	1	124.79944462425313	7.945933526539576e-28	0.0	1.5788336974557466e-27
NOLC1_5_right	NOLC1	2	124.59544549944204	8.799191604260459e-28	0.0	1.7426970385061295e-27
SRSF9_5_left	SRSF9	1	123.83274120383041	1.288433203074475e-27	0.000147599952516701	2.543508912218219e-27
FASTKD2_5_right	FASTKD2	2	122.4508788279662	2.571162411529176e-27	0.0001923163921661013	5.0593841001057976e-27
HNRNPC_center_left	HNRNPC	3	122.2502957322856	2.842402498390426e-27	8.878861068976715e-05	5.575130302309195e-27
NOLC1_center_left	NOLC1	3	122.11093512449659	3.0475254961549358e-27	0.0004117432139890064	5.958303053379843e-27
PCBP2_3_right	PCBP2	6	121.03414544680504	5.221187087488237e-27	0.00032635691637321915	1.0175476432485063e-26
LARP4_3_left	LARP4	5	120.65078118690552	6.324347817164761e-27	0.0017284239202413553	1.2286153402772306e-26
NOL12_5_left	NOL12	1	120.05445213042651	8.521321595256295e-27	0.0	1.6501606898750285e-26
SRSF1_3_left	SRSF1	5	119.4031142884343	1.1801661971804766e-26	0.0003966259499644238	2.278168924936996e-26
FUBP3_center_left	FUBP3	3	118.94709068417983	1.482406937301738e-26	0.0	2.852581172725742e-26
DDX6_center_right	DDX6	4	118.4618836724419	1.8894212809447107e-26	0.0	3.6243615766549484e-26
PABPN1_3_left	PABPN1	5	115.71769408855367	7.45112757709007e-26	0.001224189706907315	1.4248237686598566e-25
PCBP1_5_left	PCBP1	1	114.79435713233914	1.1822847068056152e-25	0.0001406198394255372	2.2537302223482037e-25
ZC3H11A_center_left	ZC3H11A	3	113.97762895649875	1.778575648675333e-25	8.400622434660272e-05	3.3703078476011406e-25
PRPF4_center_left	PRPF4	3	113.97706129369077	1.7790805359468316e-25	0.000600110566121955	3.3703078476011406e-25
AGGF1_3_left	AGGF1	5	112.10341876639446	4.539958820573751e-25	0.00038115852373914075	8.573916038854452e-25
STAU2_center_left	STAU2	3	111.73974625430998	5.44530733161267e-25	0.0	1.0251967507048547e-24
SLTM_5_left	SLTM	1	111.49726772997126	6.147180121668092e-25	5.319817903640302e-05	1.153778422836165e-24
GTF2F1_3_right	GTF2F1	6	110.81714702251848	8.636987159327664e-25	9.545369804250774e-05	1.6161233641686731e-24
YBX3_3_right	YBX3	6	110.06765118161923	1.2563574745512474e-24	0.0005706194452369861	2.343663790447281e-24
DKC1_center_right	DKC1	4	110.02311400611744	1.2846486139821759e-24	0.0001153091926790511	2.3891330930766078e-24
HNRNPA1_3_left	HNRNPA1	5	110.01650541556688	1.288900493191311e-24	0.0	2.3897547138197564e-24
DDX59_3_right	DDX59	6	109.03071958767042	2.1099883750585824e-24	0.0002217628978029515	3.900281541774955e-24
SAFB_3_left	SAFB	5	108.43745818529109	2.838606149346835e-24	0.0	5.2312681302162216e-24
HNRNPK_3_left	HNRNPK	5	107.42923086624515	4.6993622063654434e-24	0.0010625657744821482	8.63437031892446e-24
AKAP1_3_right	AKAP1	6	106.6414736283844	6.967840978917787e-24	0.0005662551688836466	1.2763912904323875e-23
XRCC6_center_right	XRCC6	4	105.55561001730719	1.1991969569177824e-23	0.0	2.1901501308977463e-23
FTO_3_right	FTO	6	104.19669472526664	2.365784729047407e-23	2.139041475913999e-05	4.307846820056472e-23
IGF2BP1_3_right	IGF2BP1	6	104.05472539127987	2.539823126128001e-23	0.0006623507814984443	4.610988413506192e-23
CSTF2_3_right	CSTF2	6	103.09961294906947	4.094524790635621e-23	0.0	7.411454368806317e-23
SUB1_3_left	SUB1	5	101.40618299670867	9.548323988539599e-23	0.0009586964762367715	1.7232182346180933e-22
SMNDC1_3_left	SMNDC1	5	100.23871215121542	1.7117495399540023e-22	4.008387862227514e-05	3.0801392901827184e-22
TIA1_center_left	TIA1	3	97.61021674504067	6.371046063861938e-22	0.0005388372330776243	1.1430406173399361e-21
SAFB_5_right	SAFB	2	95.40396081715959	1.9199642081841326e-21	0.0	3.434540079156366e-21
EIF3D_center_left	EIF3D	3	95.03150672106355	2.3129727277949382e-21	0.0	4.125477672382784e-21
LSM11_3_left	LSM11	5	92.72984441790172	7.31088800081897e-21	0.0006137717467645118	1.3001870788628489e-20
LIN28B_5_left	LIN28B	1	92.68500612440835	7.476642971702893e-21	0.0010702906221236109	1.3258000618426642e-20
PTBP1_5_left	PTBP1	1	92.52968924352064	8.080407715625894e-21	7.986423308641911e-05	1.428709770009216e-20
RBFOX2_3_right	RBFOX2	6	91.50950656145962	1.3457460982621543e-20	0.0005619340147993652	2.3725581501153585e-20
FKBP4_3_right	FKBP4	6	91.43816928610795	1.3946133617575232e-20	1.32523758753024e-05	2.451625794444061e-20
DDX59_center_right	DDX59	4	89.7426290463105	3.255634985695486e-20	0.00012807183194702798	5.706716497914501e-20
SRSF7_5_left	SRSF7	1	89.53239187511942	3.616497161099276e-20	0.0	6.321098189886987e-20
SUPV3L1_center_left	SUPV3L1	3	88.86587060322083	5.046861466356058e-20	3.387677793430519e-05	8.79595855564913e-20
FKBP4_3_left	FKBP4	5	87.92030046792043	8.097469665666716e-20	0.0	1.407252562979116e-19
DGCR8_3_left	DGCR8	5	86.92351072022204	1.332905847642418e-19	0.00010365221459489738	2.309865247334872e-19
FASTKD2_3_left	FASTKD2	5	86.75070886369302	1.4531917366566588e-19	0.00219501310176745	2.5111811879902603e-19
IGF2BP1_5_left	IGF2BP1	1	85.53619944453874	2.6671674913059276e-19	0.0010956602791253331	4.5959665810638865e-19
UPF1_5_left	UPF1	1	85.43461560316393	2.806137451417121e-19	0.0006801647183845847	4.821813648913927e-19
ILF3_3_left	ILF3	5	85.08721733504733	3.3384549140202486e-19	1.0065342715568413e-05	5.72038622907964e-19
SMNDC1_3_right	SMNDC1	6	84.9558440653016	3.565109377196223e-19	0.0	6.091643473640604e-19
DGCR8_5_right	DGCR8	2	84.55086301126829	4.365292778928962e-19	7.961596109224724e-05	7.438068701527002e-19
RBM15_center_left	RBM15	3	84.4241511699849	4.650808995037764e-19	0.0	7.90248882165191e-19
NSUN2_3_left	NSUN2	5	84.3931173881558	4.723537894817693e-19	0.0	8.003772543996647e-19
CSTF2_center_left	CSTF2	3	84.00049056124396	5.748112190835389e-19	5.5308132550209064e-06	9.71287655515121e-19
TRA2A_3_right	TRA2A	6	83.94730129325765	5.903032017955811e-19	0.001413130158710187	9.94709815180399e-19
PCBP2_5_left	PCBP2	1	82.7283019651899	1.0858691120758728e-18	0.00037768275962276243	1.8247387282817695e-18
