Feature	RBP	Position	Global SHAP	Chi-Square Statistic	Chi-Square P-Val	Chi-Square FDR P-Val	Kruskal-Wallis Statistic	Kruskal-Wallis P-Val	Kruskal-Wallis FDR P-Val	ANOVA Statistic	ANOVA P-Val	ANOVA FDR P-Val	Linear Regression beta	Linear Regression pvalue	Linear Regression adj_pvalue	Chi-Square Rank	ANOVA Rank	Kruskal-Wallis Rank	Global SHAP Rank	Beta Coefficient Rank
FUS_center_right	FUS	4	6.206227410390591e-06	37.64531867069349	6.689950677886081e-09	8.949276126119538e-09	1553.6004757674448	0.0	0.0	174.49072962088266	1.6826210746507803e-76	2.220668511312367e-76	0.0485652338541739	0.0044245205853236	0.0055468832495252	456.0	344.0	376.0	442.0	155.0
FUS_3_left	FUS	5	3.6470845587717225e-05	144.81169605455952	3.5854175853225933e-32	7.647219325338397e-32	1563.7163577572842	0.0	0.0	16.379356985476775	7.70178834116102e-08	7.964947396098185e-08	-0.0160930561245167	0.2019545974835578	0.2244774150467799	286.0	439.0	375.0	410.0	352.0
FUS_3_right	FUS	6	0.0006008864691551177	44.57843556656302	2.088890673133444e-10	2.9158428160443956e-10	19393.43277023184	0.0	0.0	110.6837457431721	8.574603683828209e-49	1.0492911246517539e-48	0.2135895743553409	2.3168481479898634e-80	1.7537660664530866e-79	437.0	371.0	185.0	238.0	25.0
FXR2_5_left	FXR2	1	0.0006446362285790906	778.6777634726215	8.170940942468194e-170	4.3721701534259633e-169	299.0457129094315	1.1562414207178165e-65	1.2012210640867018e-65	972.785702685126	0.0	0.0	0.0370916784416871	6.815567386866052e-18	1.643431168284637e-17	114.0	164.0	437.0	225.0	182.0
FXR2_5_right	FXR2	2	0.00016703294893326786	2104.6399062081964	0.0	0.0	851.1299617041961	1.5117400702980507e-185	1.678068439890746e-185	482.1960205436004	4.2992423325838884e-210	7.714845924873855e-210	-0.0220192371144915	1.1729960986138042e-10	2.2700701196474267e-10	43.0	253.0	409.0	335.0	373.0
FXR2_center_left	FXR2	3	0.0022861185021590714	1829.80898776758	0.0	0.0	188371.07029849468	0.0	0.0	2871.931522496416	0.0	0.0	0.0156447354978835	0.0036127695797238	0.0045675184115747	50.0	61.0	26.0	122.0	256.0
FXR2_center_right	FXR2	4	0.012434970954509756	4458.682941612314	0.0	0.0	313026.0608698476	0.0	0.0	8149.148479724247	0.0	0.0	0.0827642304078111	2.317587213651842e-109	2.38951233407552e-108	21.0	18.0	17.0	39.0	113.0
FXR2_3_left	FXR2	5	0.002653612348797233	269.050294118155	3.771125234330756e-59	1.085087921198944e-58	14769.781304988295	0.0	0.0	223.16949078035333	1.2277336434277547e-97	1.731028180485095e-97	-0.0595680093438295	5.990054073902224e-39	2.2961873949958527e-38	212.0	322.0	213.0	110.0	468.0
FXR2_3_right	FXR2	6	0.00012445839999843854	895.4598682324438	3.575693050427734e-195	2.117643457049435e-194	182291.51362654063	0.0	0.0	150.54322601554753	4.213396940029533e-66	5.38840059372791e-66	0.0215842346843834	1.6620254566122489e-10	3.1855487918401437e-10	103.0	355.0	29.0	355.0	234.0
G3BP1_5_left	G3BP1	1	0.0005777399805013182	1854.4985921580585	0.0	0.0	689.5651783831345	1.8315722619812632e-150	1.9988793436045516e-150	850.683143723374	0.0	0.0	-0.0100077435879332	0.0023057430679619	0.0029525360913088	48.0	182.0	416.0	245.0	332.0
