Feature	RBP	Position	Global SHAP	Chi-Square Statistic	Chi-Square P-Val	Chi-Square FDR P-Val	Kruskal-Wallis Statistic	Kruskal-Wallis P-Val	Kruskal-Wallis FDR P-Val	ANOVA Statistic	ANOVA P-Val	ANOVA FDR P-Val	Linear Regression beta	Linear Regression pvalue	Linear Regression adj_pvalue	Chi-Square Rank	ANOVA Rank	Kruskal-Wallis Rank	Global SHAP Rank	Beta Coefficient Rank
AQR_3_right	AQR	6	0.005289570738437875	147.91512222309927	7.596950807554235e-33	1.5605076787682283e-32	416.7768632481888	3.148140113699461e-91	3.3052449946134456e-91	4843.596877978245	0.0	0.0	-0.0043655802175934	3.273534744605586e-06	4.451793993071114e-06	388.0	46.0	521.0	69.0	481.0
BUD13_5_left	BUD13	1	0.0017982887776118756	357.52664057705255	2.31247172894652e-78	7.5534424916818695e-78	19643.161987660937	0.0	0.0	1595.3754830382695	0.0	0.0	0.0211821126474702	2.106705602954243e-40	4.604971671379039e-40	244.0	144.0	201.0	158.0	322.0
BUD13_5_right	BUD13	2	0.005616184536402049	191.74464635485984	2.307698547976245e-42	5.2700164548340025e-42	37385.25984553631	0.0	0.0	3195.165155059984	0.0	0.0	-0.0168169152719626	2.3294263601877607e-49	5.433159247923967e-49	349.0	65.0	114.0	65.0	533.0
BUD13_center_left	BUD13	3	0.0012011893907079771	3132.879822881212	0.0	0.0	19824.742382314154	0.0	0.0	1873.357728613192	0.0	0.0	-0.0055883204507446	0.00071445121289	0.0009025215775539	40.0	116.0	199.0	194.0	488.0
BUD13_center_right	BUD13	4	0.06775358862865474	11187.81431177566	0.0	0.0	304043.2954312495	0.0	0.0	23171.270797656645	0.0	0.0	0.0865882559442757	0.0	0.0	10.0	7.0	14.0	8.0	167.0
BUD13_3_left	BUD13	5	0.03606953107453885	175.35169433870084	8.372658507419351e-39	1.8433726050865253e-38	34730.377676182456	0.0	0.0	1740.5674531936534	0.0	0.0	-0.0716556086446659	0.0	0.0	362.0	129.0	120.0	18.0	669.0
BUD13_3_right	BUD13	6	0.011030690220182444	1134.1217880377517	5.3528222792944906e-247	4.1021147659593363e-246	955.1411208063156	3.924107510834411e-208	4.425745996755511e-208	3429.0446838622584	0.0	0.0	0.0211987429715483	3.160065627919176e-66	7.947755419616e-66	104.0	57.0	485.0	42.0	321.0
CPEB4_5_left	CPEB4	1	0.0003540600416898367	20.607077495383397	3.3514286488751137e-05	4.128421380453579e-05	157783.720085591	0.0	0.0	39.3157083899038	8.427579778542157e-18	8.933887866012713e-18	0.212913097747612	4.679254926400427e-47	1.0823207378239212e-46	647.0	516.0	33.0	319.0	62.0
CPEB4_5_right	CPEB4	2	0.0	264.31095237342345	4.032793076320063e-58	1.085856784401044e-57							0.0404922418887966	0.071567066654799	0.0804286684478562	296.0			691.0	265.0
CPEB4_center_left	CPEB4	3	0.0	4.234069195656844	0.1203880988410256	0.1287910265453656							-0.2133069907850063	5.355098413094747e-06	7.235448503129634e-06	743.5			691.0	789.0
CPEB4_center_right	CPEB4	4	0.0	17.817586180066108	0.0001351949036404	0.000163754313376							0.1460119805236751	1.2056463478128748e-07	5.992349407284228e-07	658.0			691.0	94.0
CPEB4_3_left	CPEB4	5	0.00024285614199741123	198.85920806441408	6.580693003885786e-44	1.5158417121667548e-43	3672.1771530828582	0.0	0.0	713.8028826869897	1.25187991886263e-310	2.65417951789866e-310	-0.6745087184802611	5.1319969610018176e-176	1.1276888059043468e-174	346.0	258.0	390.0	362.0	830.0
CPEB4_3_right	CPEB4	6	0.0	27.523097900342133	1.0554440805498302e-06	1.3903949292532474e-06							0.0664683773008531	0.1775119624261777	0.1935019433757943	605.0			691.0	206.0
CPSF6_5_left	CPSF6	1	0.0007120238737680498	1.8357796905983408	0.3993608657902388	0.4101683119005417	8559.655273156244	0.0	0.0	343.5186960790544	6.83089985655101e-150	1.0236992387762746e-149	-0.0902378174570147	6.418131795724064e-39	1.388378251147563e-38	776.0	365.0	309.0	249.0	693.0
