Feature,AUROC,AUPRC,PRC Baseline,AUPRC - Baseline,Total Events,Num Significant
LSM11_2_binding,,,0.0,,64,0
LSM11_3_binding,,,0.0,,69,0
LSM11_4_binding,,,0.0,,81,0
LSM11_5_binding,0.03007518796992481,0.007692307692307693,0.007462686567164179,0.00022962112514351377,134,1
LSM11_6_binding,,,0.0,,155,0
MATR3_1_binding,,,0.0,,2,0
MATR3_2_binding,0.5,0.3333333333333333,0.3333333333333333,0.0,6,2
MATR3_3_binding,0.35714285714285715,0.24285714285714285,0.2222222222222222,0.020634920634920645,9,2
MATR3_4_binding,,,0.0,,2,0
MATR3_5_binding,,,0.0,,4,0
MATR3_6_binding,,,0.0,,3,0
NCBP2_1_binding,0.5525584795321637,0.16534093610335804,0.03184713375796178,0.13349380234539626,471,15
NCBP2_2_binding,0.34813065722156633,0.025161724702509023,0.03354632587859425,-0.008384601176085225,626,21
NCBP2_3_binding,0.9852941176470588,0.5,0.014492753623188406,0.4855072463768116,69,1
NCBP2_4_binding,0.5,0.18181818181818182,0.18181818181818182,0.0,22,4
NCBP2_5_binding,,,0.0,,19,0
NCBP2_6_binding,0.1428571428571429,0.14285714285714285,0.125,0.01785714285714285,8,1
NIP7_1_binding,,,0.0,,19,0
NIP7_2_binding,,,0.0,,36,0
NIP7_3_binding,,,0.0,,20,0
NIP7_4_binding,,,0.0,,32,0
NIP7_5_binding,,,0.0,,21,0
NIP7_6_binding,,,0.0,,17,0
NKRF_1_binding,0.3142857142857143,0.04,0.027777777777777776,0.012222222222222225,36,1
NKRF_2_binding,,,0.0,,136,0
NKRF_3_binding,0.8928571428571429,0.25,0.034482758620689655,0.21551724137931033,29,1
NKRF_4_binding,0.5,0.041666666666666664,0.041666666666666664,0.0,24,1
NKRF_5_binding,,,0.0,,9,0
NKRF_6_binding,,,0.0,,10,0
NOL12_1_binding,,,0.0,,26,0
NOL12_2_binding,,,0.0,,35,0
NOL12_3_binding,,,0.0,,34,0
NOL12_4_binding,,,0.0,,24,0
NOL12_5_binding,,,0.0,,25,0
NOL12_6_binding,,,0.0,,15,0
NSUN2_1_binding,,,0.0,,4,0
NSUN2_2_binding,,,0.0,,6,0
NSUN2_3_binding,,,0.0,,3,0
NSUN2_5_binding,,,0.0,,2,0
PCBP1_1_binding,0.9083333333333333,0.3416666666666667,0.06976744186046512,0.27189922480620154,43,3
PCBP1_2_binding,0.10526315789473684,0.04173290937996821,0.05,-0.008267090620031795,40,2
PCBP1_3_binding,0.5196078431372548,0.057692307692307696,0.05555555555555555,0.002136752136752143,54,3
PCBP1_4_binding,0.6354166666666667,0.07703081232492998,0.04,0.037030812324929975,50,2
PCBP1_5_binding,0.5294117647058824,0.030303030303030304,0.02857142857142857,0.0017316017316017333,70,2
PCBP1_6_binding,0.5868544600938967,0.08663419913419913,0.04054054054054054,0.04609365859365859,74,3
PCBP2_1_binding,0.7391304347826086,0.06886792452830189,0.017094017094017096,0.05177390743428479,117,2
PCBP2_2_binding,0.41391941391941395,0.04047926190567338,0.04294478527607362,-0.0024655233704002424,163,7
PCBP2_3_binding,0.514030612244898,0.0761417256488035,0.058823529411764705,0.0173181962370388,119,7
