Feature,AUROC,AUPRC,PRC Baseline,AUPRC - Baseline,Total Events,Num Significant
SRSF1_5_binding,0.3794444444444445,0.0494418540262342,0.0585774058577405,-0.0091355518315063,478,28
HNRNPM_2_binding,0.1095890410958904,0.0292108236653627,0.0394736842105263,-0.0102628605451635,76,3
U2AF2_2_binding,0.3571428571428571,0.0531046525220698,0.0636363636363636,-0.0105317111142937,110,7
RBM15_1_binding,0.4110073571024334,0.0526890861720434,0.0636550308008213,-0.0109659446287779,487,31
EFTUD2_2_binding,0.3704515050167224,0.0382618058289509,0.0507936507936507,-0.0125318449646998,1575,80
AQR_1_binding,0.4073959671839478,0.046293032286458,0.0596085409252669,-0.0133155086388089,2248,134
AQR_5_binding,0.3770203155438529,0.0575495199641638,0.0710120068610634,-0.0134624868968996,2915,207
RBFOX2_3_binding,0.1574074074074074,0.030330651722727,0.0442477876106194,-0.0139171358878924,113,5
SRSF1_1_binding,0.2964601769911504,0.0349350244944239,0.0504201680672268,-0.0154851435728029,357,18
PTBP1_4_binding,0.3366013071895425,0.088542305129798,0.1052631578947368,-0.0167208527649387,57,6
HNRNPL_5_binding,0.1176470588235294,0.0883458646616541,0.1052631578947368,-0.0169172932330827,19,2
RBFOX2_4_binding,0.30078125,0.0676839902734012,0.0857142857142857,-0.0180302954408844,70,6
AQR_2_binding,0.3785298659260625,0.0501609983253491,0.0685034204854277,-0.0183424221600786,10671,731
SF3B4_5_binding,0.4075648423099592,0.0712706295685324,0.0909317389138017,-0.0196611093452692,4014,365
QKI_4_binding,0.2152777777777778,0.0776863676863676,0.1,-0.0223136323136323,40,4
PTBP1_3_binding,0.344375,0.0886911810076743,0.1111111111111111,-0.0224199301034367,90,10
RBM15_6_binding,0.3526592455163884,0.0608101893985028,0.0833333333333333,-0.0225231439348304,504,42
PTBP1_5_binding,0.2105263157894737,0.0713190733011431,0.0952380952380952,-0.0239190219369521,63,6
SF3B4_2_binding,0.2585551330798479,0.0490086070272247,0.0739436619718309,-0.0249350549446062,284,21
HNRNPK_4_binding,0.0357142857142857,0.0571455837444209,0.0869565217391304,-0.0298109379947094,46,4
HNRNPM_3_binding,0.1999999999999999,0.1062720804100114,0.1379310344827586,-0.0316589540727471,29,4
U2AF1_5_binding,0.3277690288713911,0.0813401643365744,0.1160092807424593,-0.0346691164058849,431,50
HNRNPM_4_binding,0.2023809523809524,0.1245431286549707,0.16,-0.0354568713450292,25,4
HNRNPC_4_binding,0.4166666666666667,0.562962962962963,0.6,-0.0370370370370369,10,6
UTP18_2_binding,0.0,0.0676178057757005,0.1052631578947368,-0.0376453521190363,38,4
AKAP8L_3_binding,0.1098901098901098,0.0996998601812266,0.1521739130434782,-0.0524740528622516,46,7
AARS_1_binding,,,0.0,,2,0
AARS_2_binding,,,0.0,,2,0
AARS_3_binding,,,0.0,,4,0
AARS_5_binding,,,0.0,,3,0
AATF_1_binding,,,0.0,,45,0
AATF_2_binding,,,0.0,,48,0
AATF_3_binding,,,0.0,,70,0
AATF_4_binding,,,0.0,,35,0
AATF_5_binding,,,0.0,,55,0
AATF_6_binding,,,0.0,,32,0
ABCF1_1_binding,,,0.0,,4,0
ABCF1_2_binding,,,0.0,,3,0
ABCF1_3_binding,,,0.0,,3,0
ABCF1_4_binding,,,0.0,,2,0
ABCF1_6_binding,,,0.0,,1,0
AGGF1_6_binding,,,0.0,,75,0
AKAP1_1_binding,,,0.0,,3,0
AKAP1_2_binding,,,0.0,,5,0
AKAP1_3_binding,,,0.0,,3,0
AKAP1_4_binding,,,0.0,,1,0
AKAP1_5_binding,,,0.0,,7,0
AKAP1_6_binding,,,0.0,,19,0
AKAP8L_6_binding,,,0.0,,19,0
APOBEC3C_1_binding,,,0.0,,71,0
APOBEC3C_2_binding,,,0.0,,93,0
APOBEC3C_3_binding,,,0.0,,91,0
APOBEC3C_4_binding,,,0.0,,82,0
APOBEC3C_5_binding,,,0.0,,163,0
APOBEC3C_6_binding,,,0.0,,193,0
CPEB4_2_binding,,,0.0,,3,0
CPEB4_3_binding,,,0.0,,2,0
CPEB4_4_binding,,,0.0,,3,0
CPEB4_5_binding,,,0.0,,1,0
CPEB4_6_binding,,,0.0,,11,0
CPSF6_1_binding,,,0.0,,37,0
CPSF6_2_binding,,,0.0,,54,0
CPSF6_3_binding,,,0.0,,49,0
CPSF6_4_binding,,,0.0,,55,0
CSTF2T_1_binding,,,0.0,,114,0
CSTF2T_3_binding,,,0.0,,142,0
CSTF2T_5_binding,,,0.0,,88,0
DDX1_1_binding,,,0.0,,11,0
DDX1_2_binding,,,0.0,,20,0
DDX1_3_binding,,,0.0,,21,0
DDX1_4_binding,,,0.0,,19,0
DDX1_5_binding,,,0.0,,15,0
DDX1_6_binding,,,0.0,,9,0
