Feature-Feature Interaction	Cell Line	interaction_shap	f1_main_effect	f2_main_effect	abs_difference_interaction_vs_main1	abs_difference_interaction_vs_main2	avg_of_abs_differences	avg_multiplicative_difference	MWU p-value (Both Bound vs F1 Bound Only)	MWU p-value (Both Bound vs F2 Bound Only)	Both MWU Significant	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	Rec-Y2H/Street et al. IP-MS (Union)
KHSRP_2-SND1_6-interaction-shap	K562	-0.19116902351379395	-0.14459437131881714	-0.010280267335474491	0.04657465219497681	0.18088875617831945	0.11373170418664813	9.95891524622613	0.031075193439508295	2.1552225730753152e-26	true	None	None	None	None
IGF2BP1_2-IGF2BP1_5-interaction-shap	HepG2	-0.21977739036083221	-0.09855891764163971	-0.11690355837345123	0.1212184727191925	0.10287383198738098	0.11204615235328674	2.0549488049325118	0.0	0.0	true				
NCBP2_2-U2AF2_4-interaction-shap	HepG2	0.41842156648635864	-0.31789401173591614	-0.2962295114994049	0.1005275547504425	0.12219205498695374	0.11135980486869812	1.3643604724065868	9.226684327673335e-32	3.771947293930562e-12	true	None	False	False	False
DDX3X_1-TIA1_6-interaction-shap	HepG2	-0.17022423446178436	-0.11173701286315918	-0.009425410069525242	0.05848722159862518	0.16079882439225912	0.10964302299544215	9.791788688246994	3.0448068603563553e-53	7.239068924579205e-136	true	False	False	False	False
PTBP1_2-PRPF4_6-interaction-shap	HepG2	-0.1798648089170456	-0.05313890054821968	0.08815328031778336	0.1267259083688259	0.09171152859926224	0.10921871848404408	2.712584596857212	0.0	0.0	true	False	False	False	False
DDX3X_2-NKRF_2-interaction-shap	HepG2	0.2587779462337494	-0.1320383995771408	-0.16771523654460907	0.12673954665660858	0.09106270968914032	0.10890112817287445	1.7514145583395688	0.9999999999999967	1.3684054105549072e-27	false	False	False	False	False
EFTUD2_5-RBM22_6-interaction-shap	HepG2	-0.16411487758159637	0.06256677955389023	-0.05091492459177971	0.10154809802770615	0.11319995298981667	0.1073740255087614	2.923175567068415	0.0	5.483022116093058e-265	true	False	False	False	False
PRPF8_2-ZC3H11A_6-interaction-shap	HepG2	-0.25812920928001404	-0.17347882688045502	-0.13103632628917694	0.08465038239955902	0.1270928829908371	0.10587163269519806	1.7289318651319847	1.3344938357297502e-14	1.6485030525241293e-98	true	None	False	False	False
SF3B4_1-RBFOX2_5-interaction-shap	K562	-0.13319239020347595	0.04066191986203194	-0.025373460724949837	0.09253047034144402	0.10781892947852612	0.10017469990998507	4.26244233561896	4.285294185951416e-135	1.868153269426819e-33	true	Different-Position	False	False	Different-Position
U2AF2_4-GRWD1_6-interaction-shap	HepG2	0.38278114795684814	-0.2962295114994049	-0.2737436294555664	0.08655163645744324	0.10903751850128174	0.09779457747936249	1.3452487344123765	2.7774714391764378e-105	1.6645702459079774e-30	true	None	False	False	False
SND1_2-U2AF2_5-interaction-shap	HepG2	-0.2626337707042694	-0.18224208056926727	-0.14822599291801453	0.08039169013500214	0.11440777778625488	0.09739973396062851	1.6064863836670469	5.912826433629908e-80	0.9998567593409009	false	None	False	False	False
HNRNPK_1-EFTUD2_5-interaction-shap	HepG2	-0.14313223958015442	-0.03131905570626259	0.06256677955389023	0.11181318387389183	0.08056546002626419	0.09618932195007801	3.428902092631723	8.637145654500412e-10	1.464505587372904e-37	true	False	None	None	False
YBX3_2-ILF3_6-interaction-shap	K562	-0.1651485413312912	-0.12133116275072098	-0.016847705468535423	0.04381737858057022	0.14830083586275578	0.096059107221663	5.581786956956555	1.020321601102171e-99	3.241156144865789e-90	true	None	None	None	None
PRPF8_1-HNRNPK_4-interaction-shap	K562	-0.3107929527759552	0.19428347051143646	-0.23724599182605743	0.11650948226451874	0.07354696094989777	0.09502822160720825	1.45484552481177	1.5483599623154743e-132	3.885315125715364e-62	true	None	False	False	False
DDX43_2-EWSR1_5-interaction-shap	K562	-0.15634803473949432	-0.08699648082256317	-0.036918431520462036	0.06935155391693115	0.11942960321903229	0.09439057856798172	3.0160676488061755	0.0	6.778448023654128e-290	true	None	False	False	False
PUM2_1-DDX43_6-interaction-shap	K562	-0.2769356369972229	-0.22497674822807312	-0.14127664268016815	0.05195888876914978	0.13565899431705475	0.09380894154310226	1.5955943998831812	1.6951325867074266e-17	5.848909115302978e-21	true	None	False	False	False
