Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
K562	U2AF1_5-BUD13_6-interaction-shap	interaction	BUD13-U2AF1	U2AF1	5	BUD13	6	144	0.1417679339647293	false	0.1417679339647293
K562	CSTF2T_3-FAM120A_5-interaction-shap	interaction	CSTF2T-FAM120A	CSTF2T	3	FAM120A	5	67	0.14128750562667847	false	0.14128750562667847
K562	LIN28B_4-DDX3X_5-interaction-shap	interaction	DDX3X-LIN28B	LIN28B	4	DDX3X	5	14	0.1406998336315155	false	0.1406998336315155
K562	SRSF7_1-ELAVL1_3-interaction-shap	interaction	ELAVL1-SRSF7	SRSF7	1	ELAVL1	3	17	0.138040691614151	false	0.138040691614151
K562	XRN2_2-IGF2BP2_4-interaction-shap	interaction	IGF2BP2-XRN2	XRN2	2	IGF2BP2	4	87	0.13788630068302155	false	0.13788630068302155
K562	RBFOX2_2-SF3B4_3-interaction-shap	interaction	RBFOX2-SF3B4	RBFOX2	2	SF3B4	3	557	0.13667352497577667	true	0.13667352497577667
K562	TRA2A_2-U2AF1_5-interaction-shap	interaction	TRA2A-U2AF1	TRA2A	2	U2AF1	5	82	0.13643932342529297	false	0.13643932342529297
K562	ILF3_3-UCHL5_6-interaction-shap	interaction	ILF3-UCHL5	ILF3	3	UCHL5	6	14	0.1363348811864853	false	0.1363348811864853
K562	XRN2_2-BUD13_6-interaction-shap	interaction	BUD13-XRN2	XRN2	2	BUD13	6	235	0.13582994043827057	false	0.13582994043827057
K562	FAM120A_2-NONO_3-interaction-shap	interaction	FAM120A-NONO	FAM120A	2	NONO	3	41	0.1351228803396225	false	0.1351228803396225
K562	TRA2A_2-UCHL5_3-interaction-shap	interaction	TRA2A-UCHL5	TRA2A	2	UCHL5	3	1011	0.13433504104614258	false	0.13433504104614258
K562	NOLC1_1-LIN28B_6-interaction-shap	interaction	LIN28B-NOLC1	NOLC1	1	LIN28B	6	74	0.1339547485113144	false	0.1339547485113144
K562	FXR2_2-DDX3X_3-interaction-shap	interaction	DDX3X-FXR2	FXR2	2	DDX3X	3	124	0.13339456915855408	false	0.13339456915855408
K562	UCHL5_4-RBM22_6-interaction-shap	interaction	RBM22-UCHL5	UCHL5	4	RBM22	6	486	0.1333819478750229	false	0.1333819478750229
K562	EIF4E_2-IGF2BP2_3-interaction-shap	interaction	EIF4E-IGF2BP2	EIF4E	2	IGF2BP2	3	125	0.13329565525054932	false	0.13329565525054932
K562	SF3B4_1-RBFOX2_5-interaction-shap	interaction	RBFOX2-SF3B4	SF3B4	1	RBFOX2	5	173	0.13319239020347595	true	0.13319239020347595
K562	GTF2F1_5-DDX3X_6-interaction-shap	interaction	DDX3X-GTF2F1	GTF2F1	5	DDX3X	6	11	0.13240160048007965	false	0.13240160048007965
K562	SF3B4_1-FXR2_4-interaction-shap	interaction	FXR2-SF3B4	SF3B4	1	FXR2	4	517	0.1321416199207306	false	0.1321416199207306
K562	BUD13_1-EFTUD2_5-interaction-shap	interaction	BUD13-EFTUD2	BUD13	1	EFTUD2	5	467	0.13117969036102295	false	0.13117969036102295
K562	BUD13_3-EFTUD2_4-interaction-shap	interaction	BUD13-EFTUD2	BUD13	3	EFTUD2	4	1252	0.13090939819812775	false	0.13090939819812775
K562	PUM2_1-TIA1_2-interaction-shap	interaction	PUM2-TIA1	PUM2	1	TIA1	2	30	0.12948161363601685	false	0.12948161363601685
K562	XRN2_2-IGF2BP2_3-interaction-shap	interaction	IGF2BP2-XRN2	XRN2	2	IGF2BP2	3	65	0.1279996782541275	false	0.1279996782541275
K562	RBFOX2_5-DDX3X_6-interaction-shap	interaction	DDX3X-RBFOX2	RBFOX2	5	DDX3X	6	11	0.12704434990882874	false	0.12704434990882874
K562	PUM2_1-IGF2BP1_2-interaction-shap	interaction	IGF2BP1-PUM2	PUM2	1	IGF2BP1	2	30	0.12631995975971222	false	0.12631995975971222
K562	NONO_3-U2AF1_5-interaction-shap	interaction	NONO-U2AF1	NONO	3	U2AF1	5	25	0.1252601146697998	false	0.1252601146697998
K562	IGF2BP2_4-FXR2_5-interaction-shap	interaction	FXR2-IGF2BP2	IGF2BP2	4	FXR2	5	72	0.12515763938426971	false	0.12515763938426971
K562	UCHL5_2-ZC3H11A_6-interaction-shap	interaction	UCHL5-ZC3H11A	UCHL5	2	ZC3H11A	6	174	0.12498394399881363	false	0.12498394399881363
K562	CSTF2T_5-AKAP1_6-interaction-shap	interaction	AKAP1-CSTF2T	CSTF2T	5	AKAP1	6	4	0.12469388544559479	false	0.12469388544559479
K562	PUM2_1-TIA1_6-interaction-shap	interaction	PUM2-TIA1	PUM2	1	TIA1	6	11	0.12382397055625916	false	0.12382397055625916
K562	ELAC2_2-LIN28B_4-interaction-shap	interaction	ELAC2-LIN28B	ELAC2	2	LIN28B	4	55	0.12373479455709457	false	0.12373479455709457
K562	RBM22_2-SF3B4_3-interaction-shap	interaction	RBM22-SF3B4	RBM22	2	SF3B4	3	1474	0.12368596345186234	false	0.12368596345186234
K562	RBM22_4-IGF2BP1_6-interaction-shap	interaction	IGF2BP1-RBM22	RBM22	4	IGF2BP1	6	163	0.12324447184801102	false	0.12324447184801102
K562	DDX3X_4-RBM15_6-interaction-shap	interaction	DDX3X-RBM15	DDX3X	4	RBM15	6	77	0.12289579212665558	false	0.12289579212665558
K562	U2AF1_2-DDX3X_4-interaction-shap	interaction	DDX3X-U2AF1	U2AF1	2	DDX3X	4	17	0.12276791036128998	false	0.12276791036128998
K562	SRSF1_3-EFTUD2_4-interaction-shap	interaction	EFTUD2-SRSF1	SRSF1	3	EFTUD2	4	256	0.12272109091281891	false	0.12272109091281891
K562	SRSF1_3-LIN28B_4-interaction-shap	interaction	LIN28B-SRSF1	SRSF1	3	LIN28B	4	230	0.12244236469268799	false	0.12244236469268799
K562	SF3B4_3-UCHL5_4-interaction-shap	interaction	SF3B4-UCHL5	SF3B4	3	UCHL5	4	2017	0.12236905097961426	false	0.12236905097961426
K562	ELAVL1_5-RBM15_6-interaction-shap	interaction	ELAVL1-RBM15	ELAVL1	5	RBM15	6	76	0.12211906909942627	false	0.12211906909942627
K562	SMNDC1_3-RPS3_6-interaction-shap	interaction	RPS3-SMNDC1	SMNDC1	3	RPS3	6	122	0.12177535146474838	false	0.12177535146474838
K562	UCHL5_3-PTBP1_6-interaction-shap	interaction	PTBP1-UCHL5	UCHL5	3	PTBP1	6	32	0.12168125063180923	false	0.12168125063180923
K562	DDX3X_1-PUM2_4-interaction-shap	interaction	DDX3X-PUM2	DDX3X	1	PUM2	4	137	0.12157486379146576	false	0.12157486379146576
K562	EFTUD2_5-XRN2_6-interaction-shap	interaction	EFTUD2-XRN2	EFTUD2	5	XRN2	6	96	0.12036967277526855	false	0.12036967277526855
K562	EIF4E_2-IGF2BP1_3-interaction-shap	interaction	EIF4E-IGF2BP1	EIF4E	2	IGF2BP1	3	73	0.11924713104963303	false	0.11924713104963303
K562	FMR1_5-RBM15_6-interaction-shap	interaction	FMR1-RBM15	FMR1	5	RBM15	6	95	0.11902112513780594	false	0.11902112513780594
K562	HNRNPK_1-ILF3_3-interaction-shap	interaction	HNRNPK-ILF3	HNRNPK	1	ILF3	3	26	0.11882542073726654	false	0.11882542073726654
K562	DDX3X_3-FXR1_4-interaction-shap	interaction	DDX3X-FXR1	DDX3X	3	FXR1	4	55	0.11879824846982956	false	0.11879824846982956
K562	LIN28B_1-PCBP1_6-interaction-shap	interaction	LIN28B-PCBP1	LIN28B	1	PCBP1	6	49	0.11831644177436829	false	0.11831644177436829
K562	IGF2BP1_1-EFTUD2_4-interaction-shap	interaction	EFTUD2-IGF2BP1	IGF2BP1	1	EFTUD2	4	107	0.11776916682720184	false	0.11776916682720184
K562	FUS_2-IGF2BP1_4-interaction-shap	interaction	FUS-IGF2BP1	FUS	2	IGF2BP1	4	112	0.11696585267782211	false	0.11696585267782211
K562	RPS3_2-RBM15_6-interaction-shap	interaction	RBM15-RPS3	RPS3	2	RBM15	6	56	0.11623116582632065	false	0.11623116582632065
K562	SF3B4_3-FMR1_4-interaction-shap	interaction	FMR1-SF3B4	SF3B4	3	FMR1	4	545	0.11547040194272995	false	0.11547040194272995
