Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
K562	EFTUD2_1-CPSF6_5-interaction-shap	interaction	CPSF6-EFTUD2	EFTUD2	1	CPSF6	5	28	0.008196827955543995	false	0.008196827955543995
K562	FUS_2-BUD13_5-interaction-shap	interaction	BUD13-FUS	FUS	2	BUD13	5	226	0.008195523172616959	false	0.008195523172616959
K562	RBFOX2_2-EFTUD2_3-interaction-shap	interaction	EFTUD2-RBFOX2	RBFOX2	2	EFTUD2	3	287	0.008163304068148136	false	0.008163304068148136
K562	IGF2BP2_4-MBNL1_6-interaction-shap	interaction	IGF2BP2-MBNL1	IGF2BP2	4	MBNL1	6	12	0.008121891878545284	false	0.008121891878545284
K562	SRSF1_4-MBNL1_6-interaction-shap	interaction	MBNL1-SRSF1	SRSF1	4	MBNL1	6	5	0.008109800517559052	false	0.008109800517559052
K562	GTF2F1_1-FAM120A_2-interaction-shap	interaction	FAM120A-GTF2F1	GTF2F1	1	FAM120A	2	87	0.008057800121605396	false	0.008057800121605396
K562	DDX1_1-DHX30_3-interaction-shap	interaction	DDX1-DHX30	DDX1	1	DHX30	3	6	0.008048980496823788	false	0.008048980496823788
K562	U2AF2_1-FXR1_4-interaction-shap	interaction	FXR1-U2AF2	U2AF2	1	FXR1	4	88	0.008023848757147789	false	0.008023848757147789
K562	IGF2BP1_4-ZC3H11A_6-interaction-shap	interaction	IGF2BP1-ZC3H11A	IGF2BP1	4	ZC3H11A	6	36	0.007937120273709297	false	0.007937120273709297
K562	FAM120A_2-DDX52_3-interaction-shap	interaction	DDX52-FAM120A	FAM120A	2	DDX52	3	12	0.00791314896196127	false	0.00791314896196127
K562	RBM15_3-DDX42_5-interaction-shap	interaction	DDX42-RBM15	RBM15	3	DDX42	5	2	0.007887564599514008	false	0.007887564599514008
K562	FASTKD2_1-EWSR1_2-interaction-shap	interaction	EWSR1-FASTKD2	FASTKD2	1	EWSR1	2	93	0.007877008989453316	false	0.007877008989453316
K562	NONO_3-FXR2_4-interaction-shap	interaction	FXR2-NONO	NONO	3	FXR2	4	2	0.007869221270084381	false	0.007869221270084381
