Feature	Statistic	P-Val	RBP	Position	FDR P-Val
GTF2F1_center_left_shap	24630.67733694999	0.0	GTF2F1	3	0.0
TAF15_center_left_shap	24496.9359967764	0.0	TAF15	3	0.0
HLTF_3_left_shap	24353.42358975711	0.0	HLTF	5	0.0
PRPF4_5_left_shap	24247.612904906393	0.0	PRPF4	1	0.0
GRSF1_5_left_shap	24241.928078936162	0.0	GRSF1	1	0.0
LSM11_3_left_shap	23918.187556350225	0.0	LSM11	5	0.0
SND1_5_right_shap	23067.50921176288	0.0	SND1	2	0.0
UPF1_3_right_shap	22997.17152991565	0.0	UPF1	6	0.0
TARDBP_3_left_shap	22533.260906308922	0.0	TARDBP	5	0.0
XPO5_5_right_shap	21987.07068518605	0.0	XPO5	2	0.0
CSTF2_5_right_shap	21637.001438202995	0.0	CSTF2	2	0.0
NSUN2_5_left_shap	21370.98034359789	0.0	NSUN2	1	0.0
IGF2BP3_5_left_shap	21200.807758931223	0.0	IGF2BP3	1	0.0
TRA2A_5_right_shap	21114.480656744065	0.0	TRA2A	2	0.0
NKRF_5_right_shap	20663.80620246015	0.0	NKRF	2	0.0
SDAD1_3_left_shap	20252.390132040742	0.0	SDAD1	5	0.0
CDC40_center_left_shap	20037.72564994353	0.0	CDC40	3	0.0
U2AF1_3_right_shap	19762.308849263856	0.0	U2AF1	6	0.0
SND1_5_left_shap	19454.021463032615	0.0	SND1	1	0.0
FUS_3_right_shap	19393.432770231837	0.0	FUS	6	0.0
HNRNPC_center_left_shap	19134.560147535693	0.0	HNRNPC	3	0.0
RBFOX2_5_left_shap	18957.81294432347	0.0	RBFOX2	1	0.0
TIAL1_center_left_shap	18783.388118010134	0.0	TIAL1	3	0.0
ILF3_5_right_shap	18753.089335642177	0.0	ILF3	2	0.0
RBM5_5_left_shap	18718.740940043986	0.0	RBM5	1	0.0
SUB1_3_left_shap	18706.51040968042	0.0	SUB1	5	0.0
DROSHA_center_right_shap	18365.77270441841	0.0	DROSHA	4	0.0
TRA2A_center_right_shap	18267.76647904317	0.0	TRA2A	4	0.0
KHSRP_3_right_shap	18204.372203882467	0.0	KHSRP	6	0.0
SUGP2_5_left_shap	18150.69611101285	0.0	SUGP2	1	0.0
FAM120A_center_left_shap	17807.177517963686	0.0	FAM120A	3	0.0
U2AF1_5_left_shap	17708.280221372737	0.0	U2AF1	1	0.0
U2AF1_center_left_shap	17687.629254075713	0.0	U2AF1	3	0.0
SUGP2_center_right_shap	17033.94130403337	0.0	SUGP2	4	0.0
AQR_5_right_shap	16717.23117475808	0.0	AQR	2	0.0
BUD13_center_left_shap	16548.991213845457	0.0	BUD13	3	0.0
