Feature	Statistic	P-Val	RBP	Position	FDR P-Val
RPS3_5_left_shap	12404.694328110492	0.0	RPS3	1	0.0
APOBEC3C_center_right_shap	12397.279671219161	0.0	APOBEC3C	4	0.0
UPF1_3_right_shap	12356.808401921642	0.0	UPF1	6	0.0
RBM22_5_left_shap	12193.885986470877	0.0	RBM22	1	0.0
DDX6_center_right_shap	11891.933656664649	0.0	DDX6	4	0.0
SRSF1_3_left_shap	11776.076186309163	0.0	SRSF1	5	0.0
SAFB_center_left_shap	11741.04900381705	0.0	SAFB	3	0.0
HNRNPM_3_right_shap	11662.884740280771	0.0	HNRNPM	6	0.0
IGF2BP1_3_right_shap	11640.925976389048	0.0	IGF2BP1	6	0.0
PPIL4_5_right_shap	11615.463474780841	0.0	PPIL4	2	0.0
SLTM_center_right_shap	11596.787359542306	0.0	SLTM	4	0.0
IGF2BP1_3_left_shap	11460.874270485696	0.0	IGF2BP1	5	0.0
PUM2_3_right_shap	11421.946717678376	0.0	PUM2	6	0.0
RPS3_center_left_shap	11416.60000833326	0.0	RPS3	3	0.0
TROVE2_3_right_shap	11358.364695883414	0.0	TROVE2	6	0.0
HNRNPK_5_left_shap	11255.340957753186	0.0	HNRNPK	1	0.0
PTBP1_center_left_shap	11177.64322507604	0.0	PTBP1	3	0.0
ZNF800_3_left_shap	11121.468570527946	0.0	ZNF800	5	0.0
HNRNPC_3_right_shap	11073.091920265586	0.0	HNRNPC	6	0.0
APOBEC3C_3_right_shap	11046.891925569453	0.0	APOBEC3C	6	0.0
TAF15_center_right_shap	11046.386512043002	0.0	TAF15	4	0.0
TROVE2_3_left_shap	11009.734606562177	0.0	TROVE2	5	0.0
ILF3_5_left_shap	10753.120928978335	0.0	ILF3	1	0.0
DDX3X_5_right_shap	10737.941521354272	0.0	DDX3X	2	0.0
PUM1_3_right_shap	10736.490994348404	0.0	PUM1	6	0.0
LIN28B_3_left_shap	10625.439127714739	0.0	LIN28B	5	0.0
NCBP2_5_right_shap	10531.650886425481	0.0	NCBP2	2	0.0
UPF1_center_right_shap	10437.805499659386	0.0	UPF1	4	0.0
EIF3G_5_left_shap	10285.482231842305	0.0	EIF3G	1	0.0
RBFOX2_5_right_shap	10274.265548692223	0.0	RBFOX2	2	0.0
CSTF2T_center_left_shap	10241.058985386788	0.0	CSTF2T	3	0.0
SRSF7_3_left_shap	10185.876161842914	0.0	SRSF7	5	0.0
HLTF_3_right_shap	10076.931302771074	0.0	HLTF	6	0.0
NOLC1_3_right_shap	10021.784857236806	0.0	NOLC1	6	0.0
DDX55_3_left_shap	10008.437200320872	0.0	DDX55	5	0.0
HNRNPK_3_right_shap	10001.276541559984	0.0	HNRNPK	6	0.0
YBX3_3_right_shap	9930.247445158513	0.0	YBX3	6	0.0
FASTKD2_5_right_shap	9746.74872025089	0.0	FASTKD2	2	0.0
CPSF6_3_right_shap	9502.827162847518	0.0	CPSF6	6	0.0
ELAVL1_5_right_shap	9493.888667388936	0.0	ELAVL1	2	0.0
WDR43_5_right_shap	9393.883990731802	0.0	WDR43	2	0.0
DDX52_5_right_shap	9153.197493356734	0.0	DDX52	2	0.0
MBNL1_center_right_shap	9137.063621712932	0.0	MBNL1	4	0.0
PABPC4_3_right_shap	9083.796853694448	0.0	PABPC4	6	0.0
PCBP1_5_left_shap	9038.892127023817	0.0	PCBP1	1	0.0
KHSRP_3_right_shap	8995.417635774997	0.0	KHSRP	6	0.0
TAF15_5_left_shap	8988.301440864967	0.0	TAF15	1	0.0
UTP18_center_right_shap	8913.480352663952	0.0	UTP18	4	0.0
FTO_3_right_shap	8691.51687168642	0.0	FTO	6	0.0
HNRNPM_5_left_shap	8682.84431029522	0.0	HNRNPM	1	0.0
YBX3_3_left_shap	8667.612268567984	0.0	YBX3	5	0.0
TAF15_center_left_shap	8596.943539759352	0.0	TAF15	3	0.0
LARP4_3_right_shap	8580.32676638075	0.0	LARP4	6	0.0
CPSF6_5_left_shap	8559.655273156244	0.0	CPSF6	1	0.0
TROVE2_center_right_shap	8528.470554065523	0.0	TROVE2	4	0.0
DDX24_5_right_shap	8527.25039752272	0.0	DDX24	2	0.0
SND1_3_left_shap	8523.437411653795	0.0	SND1	5	0.0
EXOSC5_5_right_shap	8448.739200222873	0.0	EXOSC5	2	0.0
SF3B1_3_left_shap	8384.475611774775	0.0	SF3B1	5	0.0
ELAVL1_center_right_shap	8356.0323421176	0.0	ELAVL1	4	0.0
NCBP2_center_left_shap	8318.4229921565	0.0	NCBP2	3	0.0
YWHAG_center_right_shap	8251.999327623002	0.0	YWHAG	4	0.0
YBX3_5_left_shap	8250.5426616114	0.0	YBX3	1	0.0
GEMIN5_3_left_shap	8173.4856872632845	0.0	GEMIN5	5	0.0
ELAC2_5_left_shap	8140.93159586586	0.0	ELAC2	1	0.0
NONO_5_left_shap	7928.811059414633	0.0	NONO	1	0.0
PUM1_center_left_shap	7866.074091294836	0.0	PUM1	3	0.0
FXR1_3_left_shap	7773.413110891792	0.0	FXR1	5	0.0
HNRNPC_5_left_shap	7502.551278036214	0.0	HNRNPC	1	0.0
HNRNPL_center_left_shap	7324.842146291084	0.0	HNRNPL	3	0.0
ELAVL1_3_left_shap	7296.916892332599	0.0	ELAVL1	5	0.0
YWHAG_center_left_shap	7153.863245358679	0.0	YWHAG	3	0.0
NONO_center_right_shap	7113.115578019942	0.0	NONO	4	0.0
PTBP1_5_right_shap	7077.290784224311	0.0	PTBP1	2	0.0
ZNF800_3_right_shap	7024.571956415303	0.0	ZNF800	6	0.0
EIF3G_center_right_shap	6943.481148538414	0.0	EIF3G	4	0.0
AQR_3_left_shap	6904.7395752730245	0.0	AQR	5	0.0
TIA1_5_left_shap	6752.592023746516	0.0	TIA1	1	0.0
UTP18_center_left_shap	6489.223627673369	0.0	UTP18	3	0.0
CSTF2T_3_left_shap	6395.475917135149	0.0	CSTF2T	5	0.0
RBM15_5_right_shap	6355.945133592004	0.0	RBM15	2	0.0
U2AF1_center_right_shap	6321.289913802512	0.0	U2AF1	4	0.0
LIN28B_5_left_shap	6315.102365536258	0.0	LIN28B	1	0.0
SRSF1_5_right_shap	6230.918112116845	0.0	SRSF1	2	0.0
SF3B4_3_right_shap	6169.514818602644	0.0	SF3B4	6	0.0
RBM22_5_right_shap	6146.180848104559	0.0	RBM22	2	0.0
SRSF7_5_left_shap	6091.523656357044	0.0	SRSF7	1	0.0
AGGF1_5_right_shap	6056.70258698198	0.0	AGGF1	2	0.0
GEMIN5_5_right_shap	5990.423161763313	0.0	GEMIN5	2	0.0
NONO_3_right_shap	5988.331839736708	0.0	NONO	6	0.0
HNRNPM_3_left_shap	5958.591851125117	0.0	HNRNPM	5	0.0
DROSHA_3_left_shap	5944.456457208943	0.0	DROSHA	5	0.0
NOLC1_5_left_shap	5784.980044365274	0.0	NOLC1	1	0.0
ELAC2_center_left_shap	5733.595974053249	0.0	ELAC2	3	0.0
HNRNPU_5_left_shap	5691.352332921266	0.0	HNRNPU	1	0.0
HNRNPM_5_right_shap	5603.046488803082	0.0	HNRNPM	2	0.0
U2AF2_5_left_shap	5549.510222125813	0.0	U2AF2	1	0.0
PTBP1_3_left_shap	5399.441205746501	0.0	PTBP1	5	0.0
IGF2BP1_center_left_shap	5366.061013328841	0.0	IGF2BP1	3	0.0
FUS_3_right_shap	5343.470432212811	0.0	FUS	6	0.0
TARDBP_5_left_shap	5339.622499482175	0.0	TARDBP	1	0.0
FTO_center_right_shap	5306.405487493971	0.0	FTO	4	0.0
SAFB2_5_left_shap	5240.97019401965	0.0	SAFB2	1	0.0
DGCR8_5_left_shap	5211.885658960819	0.0	DGCR8	1	0.0
PUM2_3_left_shap	4901.145974581319	0.0	PUM2	5	0.0
DDX52_3_right_shap	4876.355912655152	0.0	DDX52	6	0.0
RPS3_3_right_shap	4803.221529855679	0.0	RPS3	6	0.0
ZC3H11A_center_left_shap	4782.618121865026	0.0	ZC3H11A	3	0.0
GRWD1_center_left_shap	4768.002708845101	0.0	GRWD1	3	0.0
MBNL1_5_left_shap	4688.687180258962	0.0	MBNL1	1	0.0
FAM120A_center_right_shap	4533.19265037064	0.0	FAM120A	4	0.0
EIF3G_3_right_shap	4531.892222375472	0.0	EIF3G	6	0.0
U2AF2_center_left_shap	4498.396565035289	0.0	U2AF2	3	0.0
EFTUD2_3_left_shap	4497.777838126171	0.0	EFTUD2	5	0.0
GRWD1_3_left_shap	4481.654236227254	0.0	GRWD1	5	0.0
RPS6_center_left_shap	4462.653699995974	0.0	RPS6	3	0.0
EIF4G2_5_right_shap	4386.660843747679	0.0	EIF4G2	2	0.0
ILF3_3_left_shap	4375.46856517874	0.0	ILF3	5	0.0
PCBP1_3_right_shap	4360.462857288658	0.0	PCBP1	6	0.0
DGCR8_5_right_shap	4275.886641575434	0.0	DGCR8	2	0.0
GARS_center_right_shap	4260.441650448635	0.0	GARS	4	0.0
