Interaction	RBP 1	RBP 2	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	K562 - Both eCLIP	HepG2 - Both eCLIP
ABCF1-METTL1	ABCF1	METTL1				true	false
ABCF1-MORC2	ABCF1	MORC2				true	false
ABCF1-MTPAP	ABCF1	MTPAP				true	false
ABCF1-NCBP2	ABCF1	NCBP2				true	false
ABCF1-NIPBL	ABCF1	NIPBL				true	false
ABCF1-NOLC1	ABCF1	NOLC1				true	false
ABCF1-NONO	ABCF1	NONO				true	false
ABCF1-NPM1	ABCF1	NPM1				true	false
ABCF1-NSUN2	ABCF1	NSUN2				true	false
ABCF1-PABPC4	ABCF1	PABPC4				true	false
ABCF1-PCBP1	ABCF1	PCBP1				true	false
ABCF1-PHF6	ABCF1	PHF6				true	false
ABCF1-PPIL4	ABCF1	PPIL4				true	false
ABCF1-PRPF8	ABCF1	PRPF8		false	false	true	false
ABCF1-PTBP1	ABCF1	PTBP1		false	false	true	false
ABCF1-PUM1	ABCF1	PUM1				true	false
ABCF1-PUM2	ABCF1	PUM2		false	false	true	false
ABCF1-PUS1	ABCF1	PUS1				true	false
ABCF1-QKI	ABCF1	QKI				true	false
ABCF1-RBFOX2	ABCF1	RBFOX2		false	false	true	false
ABCF1-RBM15	ABCF1	RBM15				true	false
ABCF1-RBM22	ABCF1	RBM22		false	false	true	false
ABCF1-RNF187	ABCF1	RNF187				true	false
ABCF1-RPS10	ABCF1	RPS10				true	false
ABCF1-RPS11	ABCF1	RPS11				true	false
ABCF1-RPS3	ABCF1	RPS3		false	false	true	false
ABCF1-RPS6	ABCF1	RPS6		false	false	true	false
ABCF1-RYBP	ABCF1	RYBP				true	false
ABCF1-SAFB	ABCF1	SAFB				true	false
ABCF1-SAFB2	ABCF1	SAFB2				true	false
ABCF1-SBDS	ABCF1	SBDS				true	false
ABCF1-SDAD1	ABCF1	SDAD1				true	false
ABCF1-SERBP1	ABCF1	SERBP1				true	false
ABCF1-SF3B1	ABCF1	SF3B1				true	false
ABCF1-SF3B4	ABCF1	SF3B4		false	false	true	false
ABCF1-SLBP	ABCF1	SLBP				true	false
ABCF1-SLTM	ABCF1	SLTM				true	false
ABCF1-SMNDC1	ABCF1	SMNDC1				true	false
ABCF1-SND1	ABCF1	SND1				true	false
ABCF1-SRSF1	ABCF1	SRSF1		false	false	true	false
ABCF1-SRSF7	ABCF1	SRSF7				true	false
ABCF1-SRSF9	ABCF1	SRSF9				true	false
ABCF1-SSB	ABCF1	SSB				true	false
ABCF1-SUPV3L1	ABCF1	SUPV3L1				true	false
ABCF1-TAF15	ABCF1	TAF15		false	false	true	false
ABCF1-TARDBP	ABCF1	TARDBP				true	false
ABCF1-TBRG4	ABCF1	TBRG4				true	false
ABCF1-TIA1	ABCF1	TIA1		false	false	true	false
ABCF1-TRA2A	ABCF1	TRA2A				true	false
ABCF1-TROVE2	ABCF1	TROVE2				true	false
ABCF1-U2AF1	ABCF1	U2AF1				true	false
ABCF1-U2AF2	ABCF1	U2AF2		false	false	true	false
ABCF1-UCHL5	ABCF1	UCHL5				true	false
ABCF1-UPF1	ABCF1	UPF1				true	false
ABCF1-UTP18	ABCF1	UTP18				true	false
ABCF1-UTP3	ABCF1	UTP3				true	false
