Interaction	RBP 1	RBP 2	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	K562 - Both eCLIP	HepG2 - Both eCLIP
RBFOX2-SERBP1	RBFOX2	SERBP1	false	false	false	true	false
RBFOX2-SF3A3	RBFOX2	SF3A3	false	false	false	false	true
RBFOX2-SF3B1	RBFOX2	SF3B1		false	false	true	false
RBFOX2-SF3B4	RBFOX2	SF3B4	true	false	false	true	true
RBFOX2-SFPQ	RBFOX2	SFPQ	false	false	false	false	true
RBFOX2-SLBP	RBFOX2	SLBP		false	false	true	false
RBFOX2-SLTM	RBFOX2	SLTM		false	false	true	true
RBFOX2-SMNDC1	RBFOX2	SMNDC1	false	false	false	true	true
RBFOX2-SND1	RBFOX2	SND1		false	false	true	true
RBFOX2-SRSF1	RBFOX2	SRSF1	false	false	false	true	true
RBFOX2-SRSF7	RBFOX2	SRSF7	false	false	false	true	true
RBFOX2-SRSF9	RBFOX2	SRSF9	false	false	false	true	true
RBFOX2-SSB	RBFOX2	SSB		false	false	true	true
RBFOX2-STAU2	RBFOX2	STAU2	false	false	false	false	true
RBFOX2-SUB1	RBFOX2	SUB1	false	false	false	false	true
RBFOX2-SUGP2	RBFOX2	SUGP2	false	false	false	false	true
RBFOX2-SUPV3L1	RBFOX2	SUPV3L1	true	false	false	true	true
RBFOX2-TAF15	RBFOX2	TAF15	false	false	false	true	true
RBFOX2-TARDBP	RBFOX2	TARDBP	false	false	false	true	true
RBFOX2-TBRG4	RBFOX2	TBRG4	false	false	false	true	true
RBFOX2-TIA1	RBFOX2	TIA1	false	false	false	true	true
RBFOX2-TIAL1	RBFOX2	TIAL1	false	false	false	false	true
RBFOX2-TRA2A	RBFOX2	TRA2A	false	false	false	true	true
RBFOX2-TROVE2	RBFOX2	TROVE2		false	false	true	true
RBFOX2-U2AF1	RBFOX2	U2AF1	false	false	false	true	true
RBFOX2-U2AF2	RBFOX2	U2AF2	false	false	false	true	true
RBFOX2-UCHL5	RBFOX2	UCHL5	false	false	false	true	true
RBFOX2-UPF1	RBFOX2	UPF1		false	false	true	true
RBFOX2-UTP18	RBFOX2	UTP18	false	false	false	true	true
RBFOX2-UTP3	RBFOX2	UTP3	false	false	false	true	false
RBFOX2-WDR3	RBFOX2	WDR3	false	false	false	true	false
RBFOX2-WDR43	RBFOX2	WDR43		false	false	true	true
RBFOX2-WRN	RBFOX2	WRN		false	false	true	false
RBFOX2-XPO5	RBFOX2	XPO5	false	false	false	false	true
RBFOX2-XRCC6	RBFOX2	XRCC6	false	false	false	true	true
RBFOX2-XRN2	RBFOX2	XRN2	false	false	false	true	true
RBFOX2-YBX3	RBFOX2	YBX3		false	false	true	true
RBFOX2-YWHAG	RBFOX2	YWHAG	false	false	false	true	false
RBFOX2-ZC3H11A	RBFOX2	ZC3H11A	false	false	false	true	true
RBFOX2-ZC3H8	RBFOX2	ZC3H8	false	false	false	true	false
RBFOX2-ZNF622	RBFOX2	ZNF622		false	false	true	false
RBFOX2-ZNF800	RBFOX2	ZNF800		false	false	true	true
RBFOX2-ZRANB2	RBFOX2	ZRANB2	false	false	false	true	false
RBM15-RBM22	RBM15	RBM22	false	false	false	true	true
RBM15-RBM5	RBM15	RBM5	false			false	true
RBM15-RNF187	RBM15	RNF187				true	false
RBM15-RPS10	RBM15	RPS10	false			true	false
RBM15-RPS11	RBM15	RPS11	false			true	false
RBM15-RPS3	RBM15	RPS3	false	false	false	true	true
RBM15-RPS6	RBM15	RPS6	false	false	false	true	false
RBM15-RYBP	RBM15	RYBP	false			true	false
RBM15-SAFB	RBM15	SAFB				true	true
RBM15-SAFB2	RBM15	SAFB2	false			true	false
RBM15-SBDS	RBM15	SBDS	false			true	false
RBM15-SDAD1	RBM15	SDAD1				true	true
RBM15-SERBP1	RBM15	SERBP1	false			true	false
RBM15-SF3A3	RBM15	SF3A3	false			false	true
RBM15-SF3B1	RBM15	SF3B1				true	false
RBM15-SF3B4	RBM15	SF3B4	false	false	false	true	true
RBM15-SFPQ	RBM15	SFPQ	false			false	true
RBM15-SLBP	RBM15	SLBP				true	false
RBM15-SLTM	RBM15	SLTM				true	true
RBM15-SMNDC1	RBM15	SMNDC1	false			true	true
RBM15-SND1	RBM15	SND1				true	true
RBM15-SRSF1	RBM15	SRSF1	false	false	false	true	true
RBM15-SRSF7	RBM15	SRSF7	false			true	true
RBM15-SRSF9	RBM15	SRSF9	true			true	true
RBM15-SSB	RBM15	SSB				true	true
RBM15-STAU2	RBM15	STAU2	false			false	true
RBM15-SUB1	RBM15	SUB1	false			false	true
RBM15-SUGP2	RBM15	SUGP2	false			false	true
RBM15-SUPV3L1	RBM15	SUPV3L1	false			true	true
RBM15-TAF15	RBM15	TAF15	false	false	false	true	true
RBM15-TARDBP	RBM15	TARDBP	false			true	true
RBM15-TBRG4	RBM15	TBRG4	false			true	true
RBM15-TIA1	RBM15	TIA1	false	false	false	true	true
RBM15-TIAL1	RBM15	TIAL1	false			false	true
RBM15-TRA2A	RBM15	TRA2A	false			true	true
RBM15-TROVE2	RBM15	TROVE2				true	true
RBM15-U2AF1	RBM15	U2AF1	false			true	true
RBM15-U2AF2	RBM15	U2AF2	false	false	false	true	true
RBM15-UCHL5	RBM15	UCHL5	false			true	true
RBM15-UPF1	RBM15	UPF1				true	true
RBM15-UTP18	RBM15	UTP18	false			true	true
RBM15-UTP3	RBM15	UTP3	false			true	false
RBM15-WDR3	RBM15	WDR3	false			true	false
RBM15-WDR43	RBM15	WDR43				true	true
RBM15-WRN	RBM15	WRN				true	false
RBM15-XPO5	RBM15	XPO5	false	false	false	false	true
RBM15-XRCC6	RBM15	XRCC6	false			true	true
RBM15-XRN2	RBM15	XRN2	false			true	true
RBM15-YBX3	RBM15	YBX3				true	true
RBM15-YWHAG	RBM15	YWHAG	false			true	false
RBM15-ZC3H11A	RBM15	ZC3H11A	false			true	true
RBM15-ZC3H8	RBM15	ZC3H8	false			true	false
RBM15-ZNF622	RBM15	ZNF622				true	false
RBM15-ZNF800	RBM15	ZNF800				true	true
RBM15-ZRANB2	RBM15	ZRANB2	false			true	false
RBM22-RBM5	RBM22	RBM5	false	false	false	false	true
RBM22-RNF187	RBM22	RNF187		false	false	true	false
RBM22-RPS10	RBM22	RPS10	false	false	false	true	false
RBM22-RPS11	RBM22	RPS11	false	false	false	true	false
RBM22-RPS3	RBM22	RPS3	false	false	false	true	true
RBM22-RPS6	RBM22	RPS6	false	false	false	true	false
RBM22-RYBP	RBM22	RYBP	false	false	false	true	false
RBM22-SAFB	RBM22	SAFB		true	false	true	true
RBM22-SAFB2	RBM22	SAFB2	false	true	false	true	false
RBM22-SBDS	RBM22	SBDS	false	false	false	true	false
RBM22-SDAD1	RBM22	SDAD1		false	false	true	true
RBM22-SERBP1	RBM22	SERBP1	false	false	false	true	false
RBM22-SF3A3	RBM22	SF3A3	false	false	false	false	true
RBM22-SF3B1	RBM22	SF3B1		false	false	true	false
RBM22-SF3B4	RBM22	SF3B4	false	false	false	true	true
RBM22-SFPQ	RBM22	SFPQ	false	false	false	false	true
RBM22-SLBP	RBM22	SLBP		false	false	true	false
RBM22-SLTM	RBM22	SLTM		false	false	true	true
RBM22-SMNDC1	RBM22	SMNDC1	false	false	false	true	true
RBM22-SND1	RBM22	SND1		false	false	true	true
RBM22-SRSF1	RBM22	SRSF1	false	false	false	true	true
RBM22-SRSF7	RBM22	SRSF7	false	false	false	true	true
RBM22-SRSF9	RBM22	SRSF9	false	false	false	true	true
RBM22-SSB	RBM22	SSB		false	false	true	true
RBM22-STAU2	RBM22	STAU2	false	false	false	false	true
RBM22-SUB1	RBM22	SUB1	false	false	false	false	true
RBM22-SUGP2	RBM22	SUGP2	false	false	false	false	true
RBM22-SUPV3L1	RBM22	SUPV3L1	false	false	false	true	true
RBM22-TAF15	RBM22	TAF15	false	false	false	true	true
RBM22-TARDBP	RBM22	TARDBP	false	false	false	true	true
RBM22-TBRG4	RBM22	TBRG4	false	false	false	true	true
RBM22-TIA1	RBM22	TIA1	true	false	false	true	true
RBM22-TIAL1	RBM22	TIAL1	false	false	false	false	true
RBM22-TRA2A	RBM22	TRA2A	false	false	false	true	true
RBM22-TROVE2	RBM22	TROVE2		false	false	true	true
RBM22-U2AF1	RBM22	U2AF1	false	false	false	true	true
RBM22-U2AF2	RBM22	U2AF2	false	false	false	true	true
RBM22-UCHL5	RBM22	UCHL5	false	false	false	true	true
RBM22-UPF1	RBM22	UPF1		false	false	true	true
RBM22-UTP18	RBM22	UTP18	false	false	false	true	true
RBM22-UTP3	RBM22	UTP3	false	false	false	true	false
RBM22-WDR3	RBM22	WDR3	false	false	false	true	false
RBM22-WDR43	RBM22	WDR43		false	false	true	true
RBM22-WRN	RBM22	WRN		false	false	true	false
RBM22-XPO5	RBM22	XPO5	false	false	false	false	true
RBM22-XRCC6	RBM22	XRCC6	false	false	false	true	true
RBM22-XRN2	RBM22	XRN2	false	false	false	true	true
RBM22-YBX3	RBM22	YBX3		false	false	true	true
RBM22-YWHAG	RBM22	YWHAG	false	false	false	true	false
RBM22-ZC3H11A	RBM22	ZC3H11A	false	false	false	true	true
RBM22-ZC3H8	RBM22	ZC3H8	false	false	false	true	false
RBM22-ZNF622	RBM22	ZNF622		false	false	true	false
RBM22-ZNF800	RBM22	ZNF800		false	false	true	true
RBM22-ZRANB2	RBM22	ZRANB2	false	false	false	true	false
RBM5-RPS3	RBM5	RPS3	false	false	false	false	true
RBM5-SAFB	RBM5	SAFB				false	true
RBM5-SDAD1	RBM5	SDAD1				false	true
RBM5-SF3A3	RBM5	SF3A3	false			false	true
RBM5-SF3B4	RBM5	SF3B4	false	false	false	false	true
RBM5-SFPQ	RBM5	SFPQ	false			false	true
RBM5-SLTM	RBM5	SLTM				false	true
RBM5-SMNDC1	RBM5	SMNDC1	false			false	true
RBM5-SND1	RBM5	SND1				false	true
RBM5-SRSF1	RBM5	SRSF1	false	false	false	false	true
RBM5-SRSF7	RBM5	SRSF7	false			false	true
RBM5-SRSF9	RBM5	SRSF9	false			false	true
RBM5-SSB	RBM5	SSB				false	true
RBM5-STAU2	RBM5	STAU2	false			false	true
RBM5-SUB1	RBM5	SUB1	false			false	true
RBM5-SUGP2	RBM5	SUGP2	false			false	true
RBM5-SUPV3L1	RBM5	SUPV3L1	false			false	true
RBM5-TAF15	RBM5	TAF15	false	false	false	false	true
RBM5-TARDBP	RBM5	TARDBP	false			false	true
RBM5-TBRG4	RBM5	TBRG4	false			false	true
RBM5-TIA1	RBM5	TIA1	false	false	false	false	true
RBM5-TIAL1	RBM5	TIAL1	false			false	true
RBM5-TRA2A	RBM5	TRA2A	false			false	true
RBM5-TROVE2	RBM5	TROVE2				false	true
RBM5-U2AF1	RBM5	U2AF1	false			false	true
RBM5-U2AF2	RBM5	U2AF2	false	false	false	false	true
RBM5-UCHL5	RBM5	UCHL5	false			false	true
RBM5-UPF1	RBM5	UPF1				false	true
RBM5-UTP18	RBM5	UTP18	false			false	true
RBM5-WDR43	RBM5	WDR43				false	true
RBM5-XPO5	RBM5	XPO5	false	false	false	false	true
RBM5-XRCC6	RBM5	XRCC6	false			false	true
RBM5-XRN2	RBM5	XRN2	false			false	true
RBM5-YBX3	RBM5	YBX3				false	true
RBM5-ZC3H11A	RBM5	ZC3H11A	false			false	true
RBM5-ZNF800	RBM5	ZNF800				false	true
RNF187-RPS10	RNF187	RPS10				true	false
RNF187-RPS11	RNF187	RPS11				true	false
RNF187-RPS3	RNF187	RPS3		false	false	true	false
RNF187-RPS6	RNF187	RPS6		false	false	true	false
RNF187-RYBP	RNF187	RYBP				true	false
RNF187-SAFB	RNF187	SAFB				true	false
RNF187-SAFB2	RNF187	SAFB2				true	false
RNF187-SBDS	RNF187	SBDS				true	false
RNF187-SDAD1	RNF187	SDAD1				true	false
RNF187-SERBP1	RNF187	SERBP1				true	false
RNF187-SF3B1	RNF187	SF3B1				true	false
RNF187-SF3B4	RNF187	SF3B4		false	false	true	false
RNF187-SLBP	RNF187	SLBP				true	false
RNF187-SLTM	RNF187	SLTM				true	false
RNF187-SMNDC1	RNF187	SMNDC1				true	false
RNF187-SND1	RNF187	SND1				true	false
RNF187-SRSF1	RNF187	SRSF1		false	false	true	false
RNF187-SRSF7	RNF187	SRSF7				true	false
RNF187-SRSF9	RNF187	SRSF9				true	false
RNF187-SSB	RNF187	SSB				true	false
RNF187-SUPV3L1	RNF187	SUPV3L1				true	false
RNF187-TAF15	RNF187	TAF15		false	false	true	false
RNF187-TARDBP	RNF187	TARDBP				true	false
RNF187-TBRG4	RNF187	TBRG4				true	false
RNF187-TIA1	RNF187	TIA1		false	false	true	false
RNF187-TRA2A	RNF187	TRA2A				true	false
RNF187-TROVE2	RNF187	TROVE2				true	false
RNF187-U2AF1	RNF187	U2AF1				true	false
RNF187-U2AF2	RNF187	U2AF2		false	false	true	false
RNF187-UCHL5	RNF187	UCHL5				true	false
RNF187-UPF1	RNF187	UPF1				true	false
RNF187-UTP18	RNF187	UTP18				true	false
RNF187-UTP3	RNF187	UTP3				true	false
RNF187-WDR3	RNF187	WDR3				true	false
RNF187-WDR43	RNF187	WDR43				true	false
RNF187-WRN	RNF187	WRN				true	false
RNF187-XRCC6	RNF187	XRCC6				true	false
RNF187-XRN2	RNF187	XRN2				true	false
RNF187-YBX3	RNF187	YBX3				true	false
RNF187-YWHAG	RNF187	YWHAG				true	false
RNF187-ZC3H11A	RNF187	ZC3H11A				true	false
RNF187-ZC3H8	RNF187	ZC3H8				true	false
RNF187-ZNF622	RNF187	ZNF622				true	false
RNF187-ZNF800	RNF187	ZNF800				true	false
RNF187-ZRANB2	RNF187	ZRANB2				true	false
RPS10-RPS11	RPS10	RPS11	false			true	false
RPS10-RPS3	RPS10	RPS3	false	false	false	true	false
RPS10-RPS6	RPS10	RPS6	false	true	false	true	false
RPS10-RYBP	RPS10	RYBP	false			true	false
RPS10-SAFB	RPS10	SAFB				true	false
RPS10-SAFB2	RPS10	SAFB2	false			true	false
RPS10-SBDS	RPS10	SBDS	false			true	false
RPS10-SDAD1	RPS10	SDAD1				true	false
RPS10-SERBP1	RPS10	SERBP1	false			true	false
RPS10-SF3B1	RPS10	SF3B1				true	false
RPS10-SF3B4	RPS10	SF3B4	false	false	false	true	false
RPS10-SLBP	RPS10	SLBP				true	false
RPS10-SLTM	RPS10	SLTM				true	false
RPS10-SMNDC1	RPS10	SMNDC1	false			true	false
RPS10-SND1	RPS10	SND1				true	false
RPS10-SRSF1	RPS10	SRSF1	false	false	false	true	false
RPS10-SRSF7	RPS10	SRSF7	false			true	false
RPS10-SRSF9	RPS10	SRSF9	false			true	false
RPS10-SSB	RPS10	SSB				true	false
RPS10-SUPV3L1	RPS10	SUPV3L1	false			true	false
RPS10-TAF15	RPS10	TAF15	false	false	false	true	false
RPS10-TARDBP	RPS10	TARDBP	false			true	false
RPS10-TBRG4	RPS10	TBRG4	false			true	false
RPS10-TIA1	RPS10	TIA1	false	false	false	true	false
RPS10-TRA2A	RPS10	TRA2A	false			true	false
RPS10-TROVE2	RPS10	TROVE2				true	false
RPS10-U2AF1	RPS10	U2AF1	false			true	false
RPS10-U2AF2	RPS10	U2AF2	false	false	false	true	false
RPS10-UCHL5	RPS10	UCHL5	false			true	false
RPS10-UPF1	RPS10	UPF1				true	false
RPS10-UTP18	RPS10	UTP18	false			true	false
RPS10-UTP3	RPS10	UTP3	false			true	false
RPS10-WDR3	RPS10	WDR3	false			true	false
RPS10-WDR43	RPS10	WDR43				true	false
RPS10-WRN	RPS10	WRN				true	false
RPS10-XRCC6	RPS10	XRCC6	false			true	false
RPS10-XRN2	RPS10	XRN2	false			true	false
RPS10-YBX3	RPS10	YBX3				true	false
RPS10-YWHAG	RPS10	YWHAG	false			true	false
RPS10-ZC3H11A	RPS10	ZC3H11A	false			true	false
RPS10-ZC3H8	RPS10	ZC3H8	false			true	false
RPS10-ZNF622	RPS10	ZNF622				true	false
RPS10-ZNF800	RPS10	ZNF800				true	false
RPS10-ZRANB2	RPS10	ZRANB2	false			true	false
RPS11-RPS3	RPS11	RPS3	false	false	false	true	false
RPS11-RPS6	RPS11	RPS6	false	true	true	true	false
RPS11-RYBP	RPS11	RYBP	false			true	false
RPS11-SAFB	RPS11	SAFB				true	false
RPS11-SAFB2	RPS11	SAFB2	false			true	false
RPS11-SBDS	RPS11	SBDS	false			true	false
RPS11-SDAD1	RPS11	SDAD1				true	false
RPS11-SERBP1	RPS11	SERBP1	false			true	false
RPS11-SF3B1	RPS11	SF3B1				true	false
RPS11-SF3B4	RPS11	SF3B4	false	false	false	true	false
RPS11-SLBP	RPS11	SLBP				true	false
RPS11-SLTM	RPS11	SLTM				true	false
RPS11-SMNDC1	RPS11	SMNDC1	false			true	false
RPS11-SND1	RPS11	SND1				true	false
RPS11-SRSF1	RPS11	SRSF1	false	false	false	true	false
RPS11-SRSF7	RPS11	SRSF7	false			true	false
RPS11-SRSF9	RPS11	SRSF9	false			true	false
RPS11-SSB	RPS11	SSB				true	false
RPS11-SUPV3L1	RPS11	SUPV3L1	false			true	false
RPS11-TAF15	RPS11	TAF15	false	false	false	true	false
RPS11-TARDBP	RPS11	TARDBP	false			true	false
RPS11-TBRG4	RPS11	TBRG4	false			true	false
RPS11-TIA1	RPS11	TIA1	false	false	false	true	false
RPS11-TRA2A	RPS11	TRA2A	false			true	false
RPS11-TROVE2	RPS11	TROVE2				true	false
RPS11-U2AF1	RPS11	U2AF1	false			true	false
RPS11-U2AF2	RPS11	U2AF2	false	false	false	true	false
RPS11-UCHL5	RPS11	UCHL5	false			true	false
RPS11-UPF1	RPS11	UPF1				true	false
RPS11-UTP18	RPS11	UTP18	false			true	false
RPS11-UTP3	RPS11	UTP3	false			true	false
RPS11-WDR3	RPS11	WDR3	false			true	false
RPS11-WDR43	RPS11	WDR43				true	false
RPS11-WRN	RPS11	WRN				true	false
RPS11-XRCC6	RPS11	XRCC6	false			true	false
RPS11-XRN2	RPS11	XRN2	false			true	false
RPS11-YBX3	RPS11	YBX3				true	false
RPS11-YWHAG	RPS11	YWHAG	false			true	false
RPS11-ZC3H11A	RPS11	ZC3H11A	false			true	false
RPS11-ZC3H8	RPS11	ZC3H8	false			true	false
RPS11-ZNF622	RPS11	ZNF622				true	false
RPS11-ZNF800	RPS11	ZNF800				true	false
RPS11-ZRANB2	RPS11	ZRANB2	false			true	false
RPS3-RPS6	RPS3	RPS6	false	true	true	true	false
RPS3-RYBP	RPS3	RYBP	false	false	false	true	false
RPS3-SAFB	RPS3	SAFB		false	false	true	true
RPS3-SAFB2	RPS3	SAFB2	false	false	false	true	false
RPS3-SBDS	RPS3	SBDS	false	false	false	true	false
RPS3-SDAD1	RPS3	SDAD1		false	false	true	true
RPS3-SERBP1	RPS3	SERBP1	false	false	false	true	false
RPS3-SF3A3	RPS3	SF3A3	false	false	false	false	true
RPS3-SF3B1	RPS3	SF3B1		false	false	true	false
RPS3-SF3B4	RPS3	SF3B4	false	false	false	true	true
RPS3-SFPQ	RPS3	SFPQ	false	false	false	false	true
RPS3-SLBP	RPS3	SLBP		false	false	true	false
RPS3-SLTM	RPS3	SLTM		false	false	true	true
RPS3-SMNDC1	RPS3	SMNDC1	false	false	false	true	true
RPS3-SND1	RPS3	SND1		false	false	true	true
RPS3-SRSF1	RPS3	SRSF1	false	true	true	true	true
RPS3-SRSF7	RPS3	SRSF7	false	false	false	true	true
RPS3-SRSF9	RPS3	SRSF9	false	false	false	true	true
RPS3-SSB	RPS3	SSB		false	false	true	true
RPS3-STAU2	RPS3	STAU2	false	true	false	false	true
RPS3-SUB1	RPS3	SUB1	false	false	false	false	true
RPS3-SUGP2	RPS3	SUGP2	false	false	false	false	true
RPS3-SUPV3L1	RPS3	SUPV3L1	false	false	false	true	true
RPS3-TAF15	RPS3	TAF15	false	false	false	true	true
RPS3-TARDBP	RPS3	TARDBP	false	false	false	true	true
RPS3-TBRG4	RPS3	TBRG4	false	false	false	true	true
RPS3-TIA1	RPS3	TIA1	false	false	false	true	true
RPS3-TIAL1	RPS3	TIAL1	false	false	false	false	true
RPS3-TRA2A	RPS3	TRA2A	false	false	false	true	true
RPS3-TROVE2	RPS3	TROVE2		false	false	true	true
RPS3-U2AF1	RPS3	U2AF1	false	false	false	true	true
RPS3-U2AF2	RPS3	U2AF2	false	false	false	true	true
RPS3-UCHL5	RPS3	UCHL5	false	false	false	true	true
RPS3-UPF1	RPS3	UPF1		false	false	true	true
RPS3-UTP18	RPS3	UTP18	false	false	false	true	true
RPS3-UTP3	RPS3	UTP3	false	false	false	true	false
RPS3-WDR3	RPS3	WDR3	false	false	false	true	false
RPS3-WDR43	RPS3	WDR43		false	false	true	true
RPS3-WRN	RPS3	WRN		false	false	true	false
RPS3-XPO5	RPS3	XPO5	false	false	false	false	true
RPS3-XRCC6	RPS3	XRCC6	false	false	false	true	true
RPS3-XRN2	RPS3	XRN2	false	false	false	true	true
RPS3-YBX3	RPS3	YBX3		false	false	true	true
RPS3-YWHAG	RPS3	YWHAG	false	false	false	true	false
RPS3-ZC3H11A	RPS3	ZC3H11A	false	true	true	true	true
RPS3-ZC3H8	RPS3	ZC3H8	false	false	false	true	false
RPS3-ZNF622	RPS3	ZNF622		false	false	true	false
RPS3-ZNF800	RPS3	ZNF800		false	false	true	true
RPS3-ZRANB2	RPS3	ZRANB2	false	false	false	true	false
RPS6-RYBP	RPS6	RYBP	false	false	false	true	false
RPS6-SAFB	RPS6	SAFB		false	false	true	false
RPS6-SAFB2	RPS6	SAFB2	false	false	false	true	false
RPS6-SBDS	RPS6	SBDS	false	false	false	true	false
RPS6-SDAD1	RPS6	SDAD1		false	false	true	false
RPS6-SERBP1	RPS6	SERBP1	false	false	false	true	false
RPS6-SF3B1	RPS6	SF3B1		false	false	true	false
RPS6-SF3B4	RPS6	SF3B4	false	false	false	true	false
RPS6-SLBP	RPS6	SLBP		false	false	true	false
RPS6-SLTM	RPS6	SLTM		false	false	true	false
RPS6-SMNDC1	RPS6	SMNDC1	false	false	false	true	false
RPS6-SND1	RPS6	SND1		false	false	true	false
RPS6-SRSF1	RPS6	SRSF1	false	false	false	true	false
RPS6-SRSF7	RPS6	SRSF7	false	false	false	true	false
RPS6-SRSF9	RPS6	SRSF9	false	false	false	true	false
RPS6-SSB	RPS6	SSB		false	false	true	false
RPS6-SUPV3L1	RPS6	SUPV3L1	false	false	false	true	false
RPS6-TAF15	RPS6	TAF15	false	false	false	true	false
RPS6-TARDBP	RPS6	TARDBP	false	false	false	true	false
RPS6-TBRG4	RPS6	TBRG4	false	false	false	true	false
RPS6-TIA1	RPS6	TIA1	false	false	false	true	false
RPS6-TRA2A	RPS6	TRA2A	false	false	false	true	false
RPS6-TROVE2	RPS6	TROVE2		false	false	true	false
RPS6-U2AF1	RPS6	U2AF1	false	false	false	true	false
RPS6-U2AF2	RPS6	U2AF2	false	false	false	true	false
RPS6-UCHL5	RPS6	UCHL5	false	false	false	true	false
RPS6-UPF1	RPS6	UPF1		false	false	true	false
RPS6-UTP18	RPS6	UTP18	false	false	false	true	false
RPS6-UTP3	RPS6	UTP3	false	false	false	true	false
RPS6-WDR3	RPS6	WDR3	false	false	false	true	false
RPS6-WDR43	RPS6	WDR43		false	false	true	false
RPS6-WRN	RPS6	WRN		false	false	true	false
RPS6-XRCC6	RPS6	XRCC6	false	false	false	true	false
RPS6-XRN2	RPS6	XRN2	false	false	false	true	false
RPS6-YBX3	RPS6	YBX3		false	false	true	false
RPS6-YWHAG	RPS6	YWHAG	false	false	false	true	false
RPS6-ZC3H11A	RPS6	ZC3H11A	false	false	false	true	false
RPS6-ZC3H8	RPS6	ZC3H8	false	false	false	true	false
RPS6-ZNF622	RPS6	ZNF622		false	false	true	false
RPS6-ZNF800	RPS6	ZNF800		false	false	true	false
RPS6-ZRANB2	RPS6	ZRANB2	false	false	false	true	false
RYBP-SAFB	RYBP	SAFB				true	false
RYBP-SAFB2	RYBP	SAFB2	false			true	false
RYBP-SBDS	RYBP	SBDS	false			true	false
RYBP-SDAD1	RYBP	SDAD1				true	false
RYBP-SERBP1	RYBP	SERBP1	false			true	false
RYBP-SF3B1	RYBP	SF3B1				true	false
RYBP-SF3B4	RYBP	SF3B4	false	false	false	true	false
RYBP-SLBP	RYBP	SLBP				true	false
RYBP-SLTM	RYBP	SLTM				true	false
RYBP-SMNDC1	RYBP	SMNDC1	false			true	false
RYBP-SND1	RYBP	SND1				true	false
RYBP-SRSF1	RYBP	SRSF1	false	false	false	true	false
RYBP-SRSF7	RYBP	SRSF7	false			true	false
RYBP-SRSF9	RYBP	SRSF9	false			true	false
RYBP-SSB	RYBP	SSB				true	false
RYBP-SUPV3L1	RYBP	SUPV3L1	false			true	false
RYBP-TAF15	RYBP	TAF15	false	false	false	true	false
RYBP-TARDBP	RYBP	TARDBP	false			true	false
RYBP-TBRG4	RYBP	TBRG4	false			true	false
RYBP-TIA1	RYBP	TIA1	false	false	false	true	false
RYBP-TRA2A	RYBP	TRA2A	false			true	false
RYBP-TROVE2	RYBP	TROVE2				true	false
RYBP-U2AF1	RYBP	U2AF1	false			true	false
RYBP-U2AF2	RYBP	U2AF2	false	false	false	true	false
RYBP-UCHL5	RYBP	UCHL5	false			true	false
RYBP-UPF1	RYBP	UPF1				true	false
RYBP-UTP18	RYBP	UTP18	false			true	false
RYBP-UTP3	RYBP	UTP3	false			true	false
RYBP-WDR3	RYBP	WDR3	false			true	false
RYBP-WDR43	RYBP	WDR43				true	false
RYBP-WRN	RYBP	WRN				true	false
RYBP-XRCC6	RYBP	XRCC6	false			true	false
RYBP-XRN2	RYBP	XRN2	false			true	false
RYBP-YBX3	RYBP	YBX3				true	false
RYBP-YWHAG	RYBP	YWHAG	false			true	false
RYBP-ZC3H11A	RYBP	ZC3H11A	false			true	false
RYBP-ZC3H8	RYBP	ZC3H8	false			true	false
RYBP-ZNF622	RYBP	ZNF622				true	false
RYBP-ZNF800	RYBP	ZNF800				true	false
RYBP-ZRANB2	RYBP	ZRANB2	false			true	false
SAFB-SAFB2	SAFB	SAFB2				true	false
SAFB-SBDS	SAFB	SBDS				true	false
SAFB-SDAD1	SAFB	SDAD1				true	true
SAFB-SERBP1	SAFB	SERBP1				true	false
SAFB-SF3A3	SAFB	SF3A3				false	true
SAFB-SF3B1	SAFB	SF3B1				true	false
SAFB-SF3B4	SAFB	SF3B4		false	false	true	true
SAFB-SFPQ	SAFB	SFPQ				false	true
SAFB-SLBP	SAFB	SLBP				true	false
SAFB-SLTM	SAFB	SLTM				true	true
SAFB-SMNDC1	SAFB	SMNDC1				true	true
SAFB-SND1	SAFB	SND1				true	true
SAFB-SRSF1	SAFB	SRSF1		false	false	true	true
SAFB-SRSF7	SAFB	SRSF7				true	true
SAFB-SRSF9	SAFB	SRSF9				true	true
SAFB-SSB	SAFB	SSB				true	true
SAFB-STAU2	SAFB	STAU2				false	true
SAFB-SUB1	SAFB	SUB1				false	true
SAFB-SUGP2	SAFB	SUGP2				false	true
SAFB-SUPV3L1	SAFB	SUPV3L1				true	true
SAFB-TAF15	SAFB	TAF15		true	false	true	true
SAFB-TARDBP	SAFB	TARDBP				true	true
SAFB-TBRG4	SAFB	TBRG4				true	true
SAFB-TIA1	SAFB	TIA1		false	false	true	true
SAFB-TIAL1	SAFB	TIAL1				false	true
SAFB-TRA2A	SAFB	TRA2A				true	true
SAFB-TROVE2	SAFB	TROVE2				true	true
SAFB-U2AF1	SAFB	U2AF1				true	true
SAFB-U2AF2	SAFB	U2AF2		false	false	true	true
SAFB-UCHL5	SAFB	UCHL5				true	true
SAFB-UPF1	SAFB	UPF1				true	true
SAFB-UTP18	SAFB	UTP18				true	true
SAFB-UTP3	SAFB	UTP3				true	false
SAFB-WDR3	SAFB	WDR3				true	false
