Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	# Rows - RBP 1 Bound	% Rows - RBP 1 Bound	# Rows - RBP 2 Bound	% Rows - RBP 2 Bound	# Rows - PPI Interaction	% Rows - PPI Interaction	Intercept Beta Coefficient	Intercept Param P-value	Intercept Param FDR BH	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 1 Param FDR BH	RBP 2 Beta Coefficient	RBP 2 Param P-value	RBP 2 Param FDR BH	Interaction Beta Coefficient	Interaction Param P-value	Interaction Param FDR BH
All	K562	IGF2BP2-PCBP1	1	2252043	13206	0.5864008813330829	8129	0.36096113617723996	1084	0.04813407204036513	0.7212442454314718	0.0	0.0	-0.027157502319788848	1.2423084096684031e-17	1.715149199163942e-17	-0.048809327049642776	9.327468582892523e-32	1.4802287098938135e-31	0.15753208578296357	1.493714198961275e-40	2.492368834838242e-40
All	K562	HNRNPK-QKI	3	2252043	23871	1.059970879774498	8638	0.3835628360559723	108	0.004795645553837115	0.7221869369024382	0.0	0.0	-0.06631370961633412	6.094975978277191e-187	1.5819848761395021e-186	-0.13578740583562382	3.6136958253585106e-282	1.0396051044381134e-281	0.44700214151246104	7.70029367631471e-40	1.281188463523587e-39
All	K562	EWSR1-NONO	2	2252043	11644	0.5170416373044386	16098	0.7148176122747213	5248	0.23303285061608503	0.7218186635503409	0.0	0.0	0.04804382863226316	3.600336925815469e-28	5.59201267201126e-28	-0.1204266819835219	4.526071798926548e-282	1.295698985575051e-281	-0.09509453733323726	1.06253982669141e-38	1.752890561547411e-38
All	HepG2	PCBP2-QKI	5	2083000	18053	0.8666826692270764	13906	0.6675948151704273	148	0.0071051368218915025	0.706555817382016	0.0	0.0	-0.05403571126641568	4.4493887806331084e-92	9.414648724238171e-92	-0.09444508180997883	7.612967072806603e-214	2.0488353781193808e-213	0.3776648405592449	6.919582217362488e-38	1.138320004208364e-37
All	K562	APOBEC3C-PCBP1	2	2252043	8089	0.3591849711573003	17296	0.7680137546219143	691	0.030683250719457843	0.7214551951669896	0.0	0.0	-0.05838909622133429	7.478913323814736e-47	1.3116172315639057e-46	-0.04120846225521657	5.797525964405e-52	1.0580484885039125e-51	0.18138187126903282	1.1255751418662928e-37	1.8464491091289748e-37
All	HepG2	FUBP3-U2AF2	4	2083000	664	0.03187710033605377	166791	8.007249159865578	80	0.0038406144983197314	0.7082290584013046	0.0	0.0	-0.24189515429169953	2.4430238350170364e-61	4.6322270118504844e-61	-0.033580771845520385	1.698529921774444e-302	4.984630524202388e-302	0.5407781177359641	1.2353437098770074e-37	2.0208423713394185e-37
All	HepG2	PCBP1-RBFOX2	6	2083000	4597	0.22069131060969754	14707	0.7060489678348536	341	0.016370619299087855	0.7053442845259071	0.0	0.0	0.004858370549289303	0.37084902691831245	0.38196795717864984	0.012284317729421632	3.368516709361736e-05	3.895472788648028e-05	0.25706141429216256	2.4592582271270227e-37	4.011750850955813e-37
All	K562	QKI-RBFOX2	3	2252043	8638	0.3835628360559723	24510	1.0883451159680344	62	0.0027530557809064926	0.7216359417960788	0.0	0.0	-0.12634157379234237	8.584455737128607e-246	2.3872962621348126e-245	-0.013895104099754035	5.783573097624408e-10	7.263670298951945e-10	-0.5622218445491302	1.3900278206802106e-36	2.2612151734742146e-36
All	K562	EWSR1-NONO	4	2252043	11296	0.5015890016309635	12761	0.566641045486254	3939	0.17490785033855927	0.7223996182667428	0.0	0.0	-0.046973629412598104	7.836005570109006e-31	1.2334844347557034e-30	-0.23846842352632855	0.0	0.0	0.0982767581045086	3.119394156079313e-36	5.0603505198619966e-36
All	K562	RBM22-TIA1	5	2252043	23253	1.0325291302164301	39408	1.7498777776445655	4907	0.2178910438210993	0.7219462415844039	0.0	0.0	-0.04362265606166624	7.272826529525574e-64	1.4064008918022965e-63	-0.020436560705595082	3.439028179697354e-27	5.2991885407473745e-27	-0.07048137982020337	9.981467484608623e-33	1.605833887330974e-32
