Parameter Name	Beta_K562	Beta_HepG2	Raw_P_K562	Raw_P_HepG2	FDR_K562	FDR_HepG2
RBM22-TIA1_3_interaction	-0.15790654186941744		2.8992188445057644e-98		1.5758657267716816e-97	
RBM22-TIA1_4_interaction	-0.023329356024657594	0.08941909278701723	0.003730985645438754	4.235815214631379e-06	0.004490507723260214	5.826407050329692e-06
RBM22-TIA1_5_interaction	-0.04516030431816927	0.07545132708437309	1.6432545541936933e-14	7.0749571910849575e-12	2.796852448299367e-14	1.1353621778074432e-11
RBM22-TIA1_6_interaction	-0.07907334212397372	-0.06924295970030744	6.214694372543484e-20	1.1555704177648177e-05	1.1832497195181661e-19	1.5577089231469744e-05
RBM22_1	-0.027717725724554988		2.747702595338675e-20		5.2912901407379046e-20	
RBM22_2	-0.09128958526178958	-0.12402606822899036	0.0	0.0	0.0	0.0
RBM22_3	0.07417337735011316		4.605748011748659e-133		3.104274159918596e-132	
RBM22_4	0.16485263445791573	0.15348318854612378	0.0	0.0	0.0	0.0
RBM22_5	-0.07049764737513176	-0.12049873318259509	7.275707574451667e-166	0.0	6.810870701639477e-165	0.0
RBM22_6	0.015263400026601554	-0.032700186650320893	2.2766003133406315e-07	3.524173517678656e-46	3.250908074558444e-07	1.0150824576561598e-45
SF3B4-TAF15_3_interaction		0.29187670501381513		9.512165644492969e-23		1.9195208516132517e-22
SF3B4-TAF15_5_interaction		0.34092966934215824		4.311354740570201e-20		8.255264474841804e-20
SF3B4_1	0.042478125478636906	0.05036422009815825	2.0829332119101302e-299	3.5580603572545747e-259	2.599809231161903e-298	3.996887801315972e-258
SF3B4_2	-0.01711028188038256	-0.037480893007459534	6.946992405888498e-95	8.363631806918985e-229	3.7160895885467046e-94	9.092077157844188e-228
SF3B4_3	0.0736664655937553	0.10853124752189935	0.0	0.0	0.0	0.0
SF3B4_4	0.1558181177893782	0.14835342227655943	0.0	0.0	0.0	0.0
SF3B4_5	-0.05612117037023549	-0.059248537184968454	0.0	0.0	0.0	0.0
SF3B4_6	0.026083663622932636	0.06730564120479111	6.127056337701202e-170	0.0	5.899479959443728e-169	0.0
SRSF9_6		-0.0828496160622156		1.9964148630304461e-94		1.0512372013144692e-93
TAF15_3	0.012736721178036366	-0.1518285171557516	0.3995702880701494	1.617731032837441e-36	0.4168891240855738	4.0383359856756857e-36
TAF15_4	-0.031477718723922285		0.08691208317664573		0.09603072796894954	
TAF15_5		0.010865376569379193		0.6831328994328341		0.6934210455086297
TIA1_1	-0.050380635895985036		8.648622294152572e-90		4.350127930043905e-89	
TIA1_2	-0.023451289803736265	-0.031582555216141756	3.944038724144753e-33	1.5289848242421358e-15	9.42653226976441e-33	2.656020029740205e-15
TIA1_3	-0.013251230117740253		1.2560440128626618e-10		1.968775964347521e-10	
TIA1_4	0.010188840541686272	0.01889989522767855	6.45031518538842e-07	5.319083519432211e-06	9.095214299062333e-07	7.286711975807541e-06
TIA1_5	-0.026788072752121257	-0.0945631559274881	1.8298003920388034e-44	1.2308456863948366e-124	5.096220926587411e-44	7.976826852212691e-124
