RBP	Cell Line	Feature	Global SHAP	ElasticNet Coefficient	Binding Sum	# RBP Differential Events
G3BP1	HepG2	G3BP1_3	0.062340204	0.08913366507714152	119797	572.0
G3BP1	HepG2	G3BP1_4	0.061379734	0.0923293606342846	129576	572.0
G3BP1	HepG2	G3BP1_5	0.0090886345	-0.028008961090262772	155340	572.0
G3BP1	HepG2	G3BP1_6	0.004097531	-0.014253340166511728	154025	572.0
GRSF1	HepG2	GRSF1_1	0.0011558639	0.005515525073222036	7551	243.0
GRSF1	HepG2	GRSF1_2	1.7966035e-05	0.0	12711	243.0
GRSF1	HepG2	GRSF1_3	0.0	0.0	6641	243.0
GRSF1	HepG2	GRSF1_4	4.5481283e-06	-0.0	5600	243.0
GRSF1	HepG2	GRSF1_5	8.881936e-06	0.0	8901	243.0
GRSF1	HepG2	GRSF1_6	6.8671166e-06	0.0	8197	243.0
GRWD1	HepG2	GRWD1_1	0.003276997	-0.010109781210239761	419415	127.0
GRWD1	HepG2	GRWD1_2	0.042701263	-0.03551238692534302	584307	127.0
GRWD1	HepG2	GRWD1_3	0.114402644	0.09378087963859105	304130	127.0
GRWD1	HepG2	GRWD1_4	0.12776388	0.0886794200159289	378064	127.0
GRWD1	HepG2	GRWD1_5	0.058942843	-0.054001903094949226	426379	127.0
GRWD1	HepG2	GRWD1_6	0.058196854	-0.04523705720175132	518955	127.0
GTF2F1	HepG2	GTF2F1_1	3.7375456e-05	0.002225392454515363	23043	112.0
GTF2F1	HepG2	GTF2F1_2	0.00038887872	0.022143350366899135	58636	112.0
GTF2F1	HepG2	GTF2F1_3	2.2936665e-06	-0.0	14732	112.0
GTF2F1	HepG2	GTF2F1_4	0.00015861558	0.0	13243	112.0
GTF2F1	HepG2	GTF2F1_5	0.00013393274	0.0	8073	112.0
GTF2F1	HepG2	GTF2F1_6	0.00013896934	0.0	8448	112.0
HLTF	HepG2	HLTF_1	0.0	-0.0	10888	175.0
HLTF	HepG2	HLTF_2	0.0010794589	0.012671104414712597	11877	175.0
HLTF	HepG2	HLTF_3	0.001081412	-0.011973204412098102	9587	175.0
HLTF	HepG2	HLTF_4	0.0015857691	-0.0	10211	175.0
HLTF	HepG2	HLTF_5	0.0	-0.0	12100	175.0
HLTF	HepG2	HLTF_6	0.0017447828	-0.016849683779298224	13094	175.0
HNRNPA1	HepG2	HNRNPA1_1	0.0	0.0	0	384.0
HNRNPA1	HepG2	HNRNPA1_2	0.0	0.0	1	384.0
HNRNPA1	HepG2	HNRNPA1_3	0.0	0.0	0	384.0
HNRNPA1	HepG2	HNRNPA1_4	0.0	0.0	0	384.0
HNRNPA1	HepG2	HNRNPA1_5	0.0	0.0	220	384.0
HNRNPA1	HepG2	HNRNPA1_6	0.0	0.0	180	384.0
HNRNPC	HepG2	HNRNPC_1	5.948195e-06	0.0	1952	1223.0
HNRNPC	HepG2	HNRNPC_2	0.0002486786	-0.0	2259	1223.0
HNRNPC	HepG2	HNRNPC_3	0.0045711445	-0.371148166730276	4268	1223.0
HNRNPC	HepG2	HNRNPC_4	3.6267986e-06	-0.031437604702661034	4860	1223.0
HNRNPC	HepG2	HNRNPC_5	6.2004415e-06	0.0	660	1223.0
HNRNPC	HepG2	HNRNPC_6	0.0006056196	0.0	4449	1223.0
HNRNPK	HepG2	HNRNPK_1	0.0014293346	-0.01661800170628435	16601	1322.0
HNRNPK	HepG2	HNRNPK_2	0.0019406895	-0.02958214728102251	25012	1322.0
HNRNPK	HepG2	HNRNPK_3	0.005453546	-0.08173774564610656	21963	1322.0
HNRNPK	HepG2	HNRNPK_4	5.6479683e-05	-0.0	22672	1322.0
HNRNPK	HepG2	HNRNPK_5	0.0	0.0	12305	1322.0
HNRNPK	HepG2	HNRNPK_6	0.0	0.0	13512	1322.0
HNRNPL	HepG2	HNRNPL_1	0.00021415626	-0.0	2110	473.0
HNRNPL	HepG2	HNRNPL_2	0.0	0.0	3349	473.0
HNRNPL	HepG2	HNRNPL_3	0.0	-0.0	2833	473.0
HNRNPL	HepG2	HNRNPL_4	3.059112e-06	-0.0	5413	473.0
HNRNPL	HepG2	HNRNPL_5	0.0	0.0	1847	473.0
HNRNPL	HepG2	HNRNPL_6	0.0013007456	0.005846316334633915	8118	473.0
HNRNPM	HepG2	HNRNPM_1	0.0	-0.0	1734	423.0
