Feature	Statistic	P-Val	RBP	Position	FDR P-Val
SRSF1_5_right_shap	706.0450734228457	2.967620605491553e-307	SRSF1	2	6.873978341291658e-307
FUBP3_5_left_shap	703.9812727157562	2.3339917892938526e-306	FUBP3	1	5.3788440220274577e-306
RBM15_3_right_shap	703.5493455316574	3.59381938940917e-306	RBM15	6	8.240373751473552e-306
TIAL1_5_left_shap	700.2850358971995	9.381517943756179e-305	TIAL1	1	2.1403061037514097e-304
DROSHA_center_right_shap	700.0989500210161	1.1298866757078738e-304	DROSHA	4	2.5648427538568735e-304
KHSRP_5_right_shap	700.0039675699118	1.2423888167349304e-304	KHSRP	2	2.8061916557097434e-304
GTF2F1_5_left_shap	690.9281964665054	1.0794054425415768e-300	GTF2F1	1	2.4259904500686925e-300
HLTF_center_right_shap	685.9379853003065	1.5811540479443379e-298	HLTF	4	3.5361770333336427e-298
TIA1_center_right_shap	670.9776100235177	4.919862075171073e-292	TIA1	4	1.094910481435131e-291
G3BP1_3_left_shap	668.3488412273434	6.805798972554143e-291	G3BP1	5	1.507235479775405e-290
SRSF7_center_left_shap	668.0100803201635	9.547876286598274e-291	SRSF7	3	2.1042406961726295e-290
UPF1_5_left_shap	660.4823774687874	1.766293489782169e-287	UPF1	1	3.8738997312130664e-287
SRSF9_3_right_shap	659.4595935597353	4.9087507755951594e-287	SRSF9	6	1.0714292558270204e-286
TIA1_center_left_shap	655.1789468204948	3.538829789549432e-285	TIA1	3	7.687218777298766e-285
HNRNPM_3_left_shap	654.6848240164338	5.79855287229863e-285	HNRNPM	5	1.2535919066778944e-284
RBFOX2_5_left_shap	644.8423101628553	1.0844360831364258e-280	RBFOX2	1	2.3333364063693714e-280
SMNDC1_center_right_shap	644.4002100000148	1.686890364571752e-280	SMNDC1	4	3.61249162979045e-280
SF3A3_3_right_shap	638.3175559766518	7.364176516702203e-278	SF3A3	6	1.5696413796163382e-277
LIN28B_5_right_shap	635.2531300627255	1.5746144951925173e-276	LIN28B	2	3.3405372935392657e-276
RBM5_center_right_shap	618.8791322186986	2.0138738080913443e-269	RBM5	4	4.2525521342952105e-269
AGGF1_3_left_shap	614.5890088036156	1.4659073859061173e-267	AGGF1	5	3.08112015371008e-267
YBX3_5_right_shap	603.4525721162248	9.99477511542583e-263	YBX3	2	2.0910727660844825e-262
