Feature	Statistic	P-Val	RBP	Position	FDR P-Val
AKAP8L_5_right_shap	1113.3423413686571	0.0	AKAP8L	2	0.0
GPKOW_3_right_shap	1075.9067156701888	0.0	GPKOW	6	0.0
RBM15_3_left_shap	1066.072002667118	0.0	RBM15	5	0.0
RBFOX2_center_left_shap	1061.5873547002773	0.0	RBFOX2	3	0.0
KHSRP_3_right_shap	1056.6331286428363	0.0	KHSRP	6	0.0
HNRNPL_center_left_shap	1046.9157568306937	0.0	HNRNPL	3	0.0
QKI_3_left_shap	1035.2355959813353	0.0	QKI	5	0.0
FTO_5_right_shap	1031.396816663811	0.0	FTO	2	0.0
FUS_3_right_shap	1030.8656095775464	0.0	FUS	6	0.0
HNRNPK_5_left_shap	1025.495479106886	0.0	HNRNPK	1	0.0
IGF2BP1_5_left_shap	1019.5901564426767	0.0	IGF2BP1	1	0.0
MTPAP_center_right_shap	1013.5186051160374	0.0	MTPAP	4	0.0
GPKOW_5_right_shap	981.0171921653979	0.0	GPKOW	2	0.0
METAP2_5_left_shap	974.3992568054589	0.0	METAP2	1	0.0
RBM22_3_left_shap	968.1360331026341	0.0	RBM22	5	0.0
ZRANB2_center_left_shap	966.1420702919216	0.0	ZRANB2	3	0.0
PUM1_5_left_shap	965.7674981061368	0.0	PUM1	1	0.0
EIF3G_3_right_shap	959.2717547383546	0.0	EIF3G	6	0.0
TRA2A_5_right_shap	953.7795936457568	0.0	TRA2A	2	0.0
TARDBP_center_left_shap	953.3554165371587	0.0	TARDBP	3	0.0
XRN2_5_right_shap	949.84461125129	0.0	XRN2	2	0.0
SRSF7_3_right_shap	939.4917877247359	0.0	SRSF7	6	0.0
PUM1_3_left_shap	932.5011983768304	0.0	PUM1	5	0.0
SMNDC1_3_left_shap	929.9040274321129	0.0	SMNDC1	5	0.0
GEMIN5_5_left_shap	926.0672602359309	0.0	GEMIN5	1	0.0
AGGF1_5_right_shap	924.3698865556548	0.0	AGGF1	2	0.0
IGF2BP2_5_right_shap	918.6145008594746	0.0	IGF2BP2	2	0.0
IGF2BP2_3_left_shap	909.7493896624079	0.0	IGF2BP2	5	0.0
FXR2_3_right_shap	907.099959239362	0.0	FXR2	6	0.0
GPKOW_center_left_shap	898.8961084634815	0.0	GPKOW	3	0.0
EIF4G2_center_left_shap	892.551719049775	0.0	EIF4G2	3	0.0
DDX6_5_right_shap	884.7509911787223	0.0	DDX6	2	0.0
DGCR8_5_left_shap	880.745791460921	0.0	DGCR8	1	0.0
EWSR1_center_right_shap	862.4312966917914	0.0	EWSR1	4	0.0
DDX24_5_left_shap	862.1222416190781	0.0	DDX24	1	0.0
PCBP1_3_left_shap	858.3970067294638	0.0	PCBP1	5	0.0
XRN2_5_left_shap	857.8961029576126	0.0	XRN2	1	0.0
HNRNPK_center_left_shap	847.1613201436834	0.0	HNRNPK	3	0.0
TAF15_center_left_shap	842.1137735041727	0.0	TAF15	3	0.0
PUM2_5_left_shap	827.5960593851777	0.0	PUM2	1	0.0
HNRNPL_3_left_shap	827.4819133498168	0.0	HNRNPL	5	0.0
METAP2_3_right_shap	824.9138375411354	0.0	METAP2	6	0.0
ELAC2_5_right_shap	824.2936940852695	0.0	ELAC2	2	0.0
RBM22_center_left_shap	822.205877646949	0.0	RBM22	3	0.0
TARDBP_3_left_shap	819.6621189470687	0.0	TARDBP	5	0.0
SF3B1_3_left_shap	809.7117500138731	0.0	SF3B1	5	0.0
PUM2_center_left_shap	806.8670102661398	0.0	PUM2	3	0.0
SMNDC1_5_left_shap	800.1069007073834	0.0	SMNDC1	1	0.0
ILF3_center_right_shap	797.7315028119574	0.0	ILF3	4	0.0
RBM22_3_right_shap	791.8482699732317	0.0	RBM22	6	0.0
FXR2_3_left_shap	783.2756768069452	0.0	FXR2	5	0.0
FXR1_center_left_shap	782.0828492984688	0.0	FXR1	3	0.0
FXR2_5_left_shap	760.0933771535821	0.0	FXR2	1	0.0
PABPC4_5_left_shap	756.4339809816188	0.0	PABPC4	1	0.0
UPF1_3_left_shap	741.6349992227792	1.04e-322	UPF1	5	2.2e-322
NIPBL_5_left_shap	730.0539452924706	1.107485e-317	NIPBL	1	2.3756643e-317
TIA1_3_right_shap	728.6147547331409	4.6662267e-317	TIA1	6	9.970414e-317
GARS_5_left_shap	723.4644425987782	8.021889966e-315	GARS	1	1.707382806e-314
CPEB4_3_left_shap	713.8028826869897	1.25187991886263e-310	CPEB4	5	2.65417951789866e-310
U2AF1_center_left_shap	713.1352853776293	2.4395678927276e-310	U2AF1	3	5.15229203599224e-310
EIF4E_3_right_shap	710.2953709538888	4.16766693435843e-309	EIF4E	6	8.76813005036178e-309
RBM22_5_left_shap	708.2058571784149	3.363458539109707e-308	RBM22	1	7.049087436371685e-308
TROVE2_3_right_shap	697.8615604962354	1.0386133732185433e-303	TROVE2	6	2.168402729582226e-303
SRSF1_5_left_shap	695.094898932277	1.6491381060549547e-302	SRSF1	1	3.429956441110495e-302
PUM2_3_left_shap	691.4562782385931	6.259182090049182e-301	PUM2	5	1.2968835618397358e-300
SLTM_3_right_shap	690.6465473409629	1.4059295540376704e-300	SLTM	6	2.902050815315493e-300
PUM2_3_right_shap	681.3718715920503	1.4909105814317895e-296	PUM2	6	3.065895067831537e-296
CPSF6_center_left_shap	676.7767698966311	1.4718925933144172e-294	CPSF6	3	3.0154503690748547e-294
SRSF1_3_right_shap	674.7613374071744	1.1031697562925493e-293	SRSF1	6	2.2516188682538228e-293
MBNL1_5_right_shap	670.1350642220457	1.1235906728687545e-291	MBNL1	2	2.284773598733118e-291
SRSF9_5_left_shap	668.9520928872438	3.664888312092771e-291	SRSF9	1	7.42479224709165e-291
RPS3_3_left_shap	668.6546257472621	4.933696102857173e-291	RPS3	5	9.958419809088095e-291
PTBP1_5_left_shap	667.0204123482969	2.5262804916307567e-290	PTBP1	1	5.080424371036852e-290
FMR1_5_right_shap	666.4836505697671	4.3197269426082335e-290	FMR1	2	8.655277060830417e-290
ELAC2_3_left_shap	665.6384410642928	1.0053311038583228e-289	ELAC2	5	2.006993116096725e-289
DDX55_3_right_shap	665.2905153755339	1.4233839985838655e-289	DDX55	6	2.831240171728634e-289
AKAP8L_5_left_shap	664.834409182193	2.2453784824307347e-289	AKAP8L	1	4.450079818440623e-289
ILF3_5_right_shap	653.8276317236105	1.3448533053468858e-284	ILF3	2	2.6557211481037783e-284
RBM15_3_right_shap	649.6819936654778	8.473466943787641e-283	RBM15	6	1.6672613015294386e-282
MATR3_3_left_shap	646.8320449945869	1.4623992957071962e-281	MATR3	5	2.867141271511958e-281
QKI_5_left_shap	642.9848004966635	6.838276074245701e-280	QKI	1	1.3359060759329994e-279
LIN28B_5_left_shap	642.0614452038076	1.7207827670047242e-279	LIN28B	1	3.3497088026746767e-279
CPSF6_5_right_shap	639.6466630918809	1.92245450055084e-278	CPSF6	2	3.7290163539053526e-278
GRWD1_5_right_shap	625.9424736394825	1.7067390642051706e-272	GRWD1	2	3.298891406785259e-272
HLTF_center_right_shap	624.8998496083613	4.8386212851213524e-272	HLTF	4	9.319457193525986e-272
ZNF800_5_left_shap	624.7085661462005	5.8579938796241444e-272	ZNF800	1	1.1243237375980375e-271
EXOSC5_center_right_shap	621.2545715183946	1.8491419963059658e-270	EXOSC5	4	3.5366457062215504e-270
XRCC6_3_right_shap	618.7226868430191	2.322462476650094e-269	XRCC6	6	4.426435452012548e-269
ELAVL1_3_left_shap	611.1355775813231	4.5623639269594196e-266	ELAVL1	5	8.665323152940287e-266
SLTM_center_right_shap	605.8228965616913	9.23021562302742e-264	SLTM	4	1.7470338912788922e-263
U2AF1_5_left_shap	602.7027643629259	2.0870904038961195e-262	U2AF1	1	3.936684313555784e-262
AGGF1_3_left_shap	599.7233880596381	4.099939564225719e-261	AGGF1	5	7.706759249592676e-261
GARS_center_right_shap	598.5304913790465	1.3507357551948225e-260	GARS	4	2.53031663729989e-260
PHF6_3_right_shap	598.4584630138696	1.4515610293586734e-260	PHF6	6	2.7099108636832575e-260
NCBP2_5_left_shap	592.8491112250504	3.9505524416377234e-258	NCBP2	1	7.350177501958621e-258
HNRNPM_5_left_shap	591.612306560983	1.3599185967746578e-257	HNRNPM	1	2.521611770968603e-257
NOLC1_3_right_shap	581.1498406119335	4.730849900141333e-253	NOLC1	6	8.742482754653071e-253
DDX1_5_right_shap	580.4420603788469	9.597668657389948e-253	DDX1	2	1.7676514328593608e-252
DDX47_3_left_shap	573.8347266217448	7.083115572763202e-250	DDX47	5	1.300155777953514e-249
PCBP1_5_right_shap	571.1189601046271	1.0692208230875157e-248	PCBP1	2	1.956066188056425e-248
SRSF7_center_right_shap	563.0553796468481	3.382775127168204e-245	SRSF7	4	6.1679266485366925e-245
YBX3_5_left_shap	559.4881911380165	1.1959460397490323e-243	YBX3	1	2.1733637333645205e-243
TRA2A_3_left_shap	553.1706020226244	6.607707001645863e-241	TRA2A	5	1.196826400629234e-240
DDX55_center_right_shap	552.9233891365459	8.45982275038959e-241	DDX55	4	1.5272353282056453e-240
DHX30_3_left_shap	551.8919897253628	2.3717706828858592e-240	DHX30	5	4.2676268537452794e-240
LSM11_3_left_shap	545.9626924566936	8.889535490977691e-238	LSM11	5	1.5942871847753435e-237
DDX42_5_left_shap	543.4693893902568	1.0744427094525735e-236	DDX42	1	1.9206541244135873e-236
FXR2_5_right_shap	538.2546955950389	1.971554171628856e-234	FXR2	2	3.512834305801252e-234
PCBP1_center_right_shap	536.4834194708594	1.1579697795844833e-233	PCBP1	4	2.05652425140491e-233
PCBP1_5_left_shap	534.334376380348	9.921360053189891e-233	PCBP1	1	1.756305485143971e-232
