Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
HepG2	FUS_4-PRPF8_4-interaction-shap	interaction	FUS	4	PRPF8	4	85	-0.447441965341568	false	0.447441965341568	FUS-PRPF8
HepG2	SRSF1_3-QKI_4-interaction-shap	interaction	SRSF1	3	QKI	4	33	0.4360436201095581	false	0.4360436201095581	QKI-SRSF1
HepG2	GTF2F1_4-IGF2BP1_4-interaction-shap	interaction	GTF2F1	4	IGF2BP1	4	23	-0.43437787890434265	false	0.43437787890434265	GTF2F1-IGF2BP1
HepG2	U2AF2_4-GRWD1_6-interaction-shap	interaction	U2AF2	4	GRWD1	6	322	0.4334048628807068	false	0.4334048628807068	GRWD1-U2AF2
HepG2	DDX3X_3-TIA1_6-interaction-shap	interaction	DDX3X	3	TIA1	6	32	-0.42889294028282166	false	0.42889294028282166	DDX3X-TIA1
HepG2	BUD13_2-G3BP1_3-interaction-shap	interaction	BUD13	2	G3BP1	3	228	-0.4285966157913208	false	0.4285966157913208	BUD13-G3BP1
HepG2	BUD13_3-CDC40_3-interaction-shap	interaction	BUD13	3	CDC40	3	70	-0.42468470335006714	false	0.42468470335006714	BUD13-CDC40
HepG2	AGGF1_3-U2AF2_3-interaction-shap	interaction	AGGF1	3	U2AF2	3	7	-0.4223349094390869	false	0.4223349094390869	AGGF1-U2AF2
HepG2	LIN28B_4-SDAD1_4-interaction-shap	interaction	LIN28B	4	SDAD1	4	240	-0.42138853669166565	false	0.42138853669166565	LIN28B-SDAD1
HepG2	PTBP1_2-UCHL5_2-interaction-shap	interaction	PTBP1	2	UCHL5	2	56	0.4198358654975891	false	0.4198358654975891	PTBP1-UCHL5
HepG2	SUGP2_3-PRPF8_6-interaction-shap	interaction	SUGP2	3	PRPF8	6	22	0.41414156556129456	false	0.41414156556129456	PRPF8-SUGP2
HepG2	GRWD1_3-PRPF8_4-interaction-shap	interaction	GRWD1	3	PRPF8	4	3458	-0.40992018580436707	false	0.40992018580436707	GRWD1-PRPF8
HepG2	DDX3X_1-YBX3_5-interaction-shap	interaction	DDX3X	1	YBX3	5	165	0.4051540195941925	false	0.4051540195941925	DDX3X-YBX3
HepG2	PRPF4_3-IGF2BP1_4-interaction-shap	interaction	PRPF4	3	IGF2BP1	4	47	-0.40452003479003906	false	0.40452003479003906	IGF2BP1-PRPF4
HepG2	QKI_3-PTBP1_4-interaction-shap	interaction	QKI	3	PTBP1	4	5	0.40141719579696655	false	0.40141719579696655	PTBP1-QKI
HepG2	U2AF2_2-KHSRP_6-interaction-shap	interaction	U2AF2	2	KHSRP	6	23	-0.3988639712333679	false	0.3988639712333679	KHSRP-U2AF2
