Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
K562	DDX21_2-TIA1_6-interaction-shap	interaction	DDX21	2	TIA1	6	1	0.0	false	0.0
K562	DDX21_2-UCHL5_6-interaction-shap	interaction	DDX21	2	UCHL5	6	7	0.0	false	0.0
K562	DDX21_2-UTP18_6-interaction-shap	interaction	DDX21	2	UTP18	6	5	0.0	false	0.0
K562	PRPF8_1-RBFOX2_3-interaction-shap	interaction	PRPF8	1	RBFOX2	3	78	0.0	false	0.0
K562	DDX24_2-CSTF2T_6-interaction-shap	interaction	DDX24	2	CSTF2T	6	115	0.0	false	0.0
K562	PRPF8_1-PUM2_3-interaction-shap	interaction	PRPF8	1	PUM2	3	10	0.0	false	0.0
K562	DDX24_2-DGCR8_6-interaction-shap	interaction	DDX24	2	DGCR8	6	23	0.0	false	0.0
K562	DDX24_2-EIF4E_6-interaction-shap	interaction	DDX24	2	EIF4E	6	4	0.0	false	0.0
K562	DDX24_2-EIF4G2_6-interaction-shap	interaction	DDX24	2	EIF4G2	6	29	0.0	false	0.0
K562	DDX24_2-EWSR1_6-interaction-shap	interaction	DDX24	2	EWSR1	6	44	0.0	false	0.0
K562	DDX24_2-EXOSC10_6-interaction-shap	interaction	DDX24	2	EXOSC10	6	91	0.0	false	0.0
K562	DDX24_2-FUS_6-interaction-shap	interaction	DDX24	2	FUS	6	46	0.0	false	0.0
K562	DDX24_2-GPKOW_6-interaction-shap	interaction	DDX24	2	GPKOW	6	154	0.0	false	0.0
K562	DDX24_2-HNRNPC_6-interaction-shap	interaction	DDX24	2	HNRNPC	6	4	0.0	false	0.0
K562	PRPF8_1-PUM1_3-interaction-shap	interaction	PRPF8	1	PUM1	3	31	0.0	false	0.0
K562	DDX24_2-IGF2BP1_6-interaction-shap	interaction	DDX24	2	IGF2BP1	6	177	0.0	false	0.0
K562	PPIL4_1-EWSR1_3-interaction-shap	interaction	PPIL4	1	EWSR1	3	1	0.0	false	0.0
K562	PRPF8_1-PABPC4_3-interaction-shap	interaction	PRPF8	1	PABPC4	3	63	0.0	false	0.0
K562	PRPF8_1-NOLC1_3-interaction-shap	interaction	PRPF8	1	NOLC1	3	6	0.0	false	0.0
K562	DDX24_2-PTBP1_6-interaction-shap	interaction	DDX24	2	PTBP1	6	68	0.0	false	0.0
