Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	UCHL5_4-TIAL1_6-interaction-shap	interaction	TIAL1-UCHL5	UCHL5	4	TIAL1	6	133	-0.3191690146923065	false	0.3191690146923065
HepG2	RBFOX2_2-SUB1_6-interaction-shap	interaction	RBFOX2-SUB1	RBFOX2	2	SUB1	6	56	-0.31869861483573914	false	0.31869861483573914
HepG2	U2AF1_4-U2AF2_4-interaction-shap	interaction	U2AF1-U2AF2	U2AF1	4	U2AF2	4	262	0.31701046228408813	true	0.31701046228408813
HepG2	PRPF4_2-U2AF1_4-interaction-shap	interaction	PRPF4-U2AF1	PRPF4	2	U2AF1	4	45	0.3165823519229889	false	0.3165823519229889
HepG2	UCHL5_2-ILF3_3-interaction-shap	interaction	ILF3-UCHL5	UCHL5	2	ILF3	3	6	0.3119576871395111	false	0.3119576871395111
HepG2	SUB1_2-FUBP3_6-interaction-shap	interaction	FUBP3-SUB1	SUB1	2	FUBP3	6	20	-0.30598947405815125	false	0.30598947405815125
HepG2	SF3B4_4-PRPF4_5-interaction-shap	interaction	PRPF4-SF3B4	SF3B4	4	PRPF4	5	80	0.3029116988182068	false	0.3029116988182068
HepG2	STAU2_1-SF3B4_3-interaction-shap	interaction	SF3B4-STAU2	STAU2	1	SF3B4	3	34	-0.30227744579315186	false	0.30227744579315186
HepG2	SUPV3L1_3-RBM22_5-interaction-shap	interaction	RBM22-SUPV3L1	SUPV3L1	3	RBM22	5	5	0.3003719747066498	false	0.3003719747066498
HepG2	SUB1_3-NOLC1_5-interaction-shap	interaction	NOLC1-SUB1	SUB1	3	NOLC1	5	126	-0.2998802959918976	false	0.2998802959918976
HepG2	G3BP1_1-IGF2BP1_1-interaction-shap	interaction	G3BP1-IGF2BP1	G3BP1	1	IGF2BP1	1	52	0.2995587885379791	false	0.2995587885379791
HepG2	G3BP1_4-PPIG_4-interaction-shap	interaction	G3BP1-PPIG	G3BP1	4	PPIG	4	879	-0.29937073588371277	false	0.29937073588371277
HepG2	FUBP3_4-PPIG_4-interaction-shap	interaction	FUBP3-PPIG	FUBP3	4	PPIG	4	11	-0.29927513003349304	false	0.29927513003349304
HepG2	IGF2BP3_1-RPS3_1-interaction-shap	interaction	IGF2BP3-RPS3	IGF2BP3	1	RPS3	1	200	0.2953799366950989	false	0.2953799366950989
HepG2	PCBP1_4-RPS3_4-interaction-shap	interaction	PCBP1-RPS3	PCBP1	4	RPS3	4	214	-0.294046550989151	false	0.294046550989151
HepG2	RBM22_2-G3BP1_3-interaction-shap	interaction	G3BP1-RBM22	RBM22	2	G3BP1	3	291	-0.2939441502094269	false	0.2939441502094269
HepG2	FXR2_3-G3BP1_4-interaction-shap	interaction	FXR2-G3BP1	FXR2	3	G3BP1	4	277	-0.291891485452652	false	0.291891485452652
HepG2	SF3B4_3-RBFOX2_5-interaction-shap	interaction	RBFOX2-SF3B4	SF3B4	3	RBFOX2	5	368	-0.29114511609077454	true	0.29114511609077454
HepG2	EFTUD2_2-G3BP1_5-interaction-shap	interaction	EFTUD2-G3BP1	EFTUD2	2	G3BP1	5	743	0.289887934923172	false	0.289887934923172
HepG2	BUD13_2-PCBP1_2-interaction-shap	interaction	BUD13-PCBP1	BUD13	2	PCBP1	2	43	0.28784844279289246	false	0.28784844279289246
HepG2	DDX52_2-HNRNPC_6-interaction-shap	interaction	DDX52-HNRNPC	DDX52	2	HNRNPC	6	2	-0.28633999824523926	false	0.28633999824523926
HepG2	HNRNPK_3-PCBP2_3-interaction-shap	interaction	HNRNPK-PCBP2	HNRNPK	3	PCBP2	3	289	0.28572356700897217	false	0.28572356700897217
HepG2	SRSF1_2-SRSF9_6-interaction-shap	interaction	SRSF1-SRSF9	SRSF1	2	SRSF9	6	42	0.28226906061172485	false	0.28226906061172485
HepG2	IGF2BP3_4-NOLC1_4-interaction-shap	interaction	IGF2BP3-NOLC1	IGF2BP3	4	NOLC1	4	101	0.2806713879108429	false	0.2806713879108429
HepG2	QKI_3-FASTKD2_6-interaction-shap	interaction	FASTKD2-QKI	QKI	3	FASTKD2	6	15	-0.2756589949131012	false	0.2756589949131012
HepG2	EFTUD2_3-RBM22_4-interaction-shap	interaction	EFTUD2-RBM22	EFTUD2	3	RBM22	4	440	-0.27562206983566284	false	0.27562206983566284
HepG2	IGF2BP3_1-TIA1_2-interaction-shap	interaction	IGF2BP3-TIA1	IGF2BP3	1	TIA1	2	44	0.2755544185638428	false	0.2755544185638428
HepG2	HNRNPK_3-PPIG_5-interaction-shap	interaction	HNRNPK-PPIG	HNRNPK	3	PPIG	5	205	0.27466702461242676	false	0.27466702461242676
HepG2	PRPF4_6-SUB1_6-interaction-shap	interaction	PRPF4-SUB1	PRPF4	6	SUB1	6	38	-0.2735137343406677	false	0.2735137343406677
HepG2	QKI_3-U2AF2_3-interaction-shap	interaction	QKI-U2AF2	QKI	3	U2AF2	3	103	-0.2728436589241028	false	0.2728436589241028
HepG2	PCBP2_6-U2AF1_6-interaction-shap	interaction	PCBP2-U2AF1	PCBP2	6	U2AF1	6	14	-0.27113038301467896	false	0.27113038301467896
HepG2	G3BP1_3-FXR2_4-interaction-shap	interaction	FXR2-G3BP1	G3BP1	3	FXR2	4	292	-0.2701214551925659	false	0.2701214551925659
HepG2	SF3A3_3-SF3B4_3-interaction-shap	interaction	SF3A3-SF3B4	SF3A3	3	SF3B4	3	3425	-0.2689610421657562	false	0.2689610421657562
HepG2	BUD13_6-PCBP2_6-interaction-shap	interaction	BUD13-PCBP2	BUD13	6	PCBP2	6	26	-0.26650238037109375	false	0.26650238037109375
HepG2	FUBP3_3-SF3A3_3-interaction-shap	interaction	FUBP3-SF3A3	FUBP3	3	SF3A3	3	25	0.2624472975730896	false	0.2624472975730896
HepG2	RBFOX2_2-IGF2BP1_6-interaction-shap	interaction	IGF2BP1-RBFOX2	RBFOX2	2	IGF2BP1	6	54	-0.261077880859375	false	0.261077880859375
HepG2	DDX3X_1-RBM22_3-interaction-shap	interaction	DDX3X-RBM22	DDX3X	1	RBM22	3	22	-0.2595093548297882	false	0.2595093548297882
HepG2	EFTUD2_4-RBM5_4-interaction-shap	interaction	EFTUD2-RBM5	EFTUD2	4	RBM5	4	209	0.25819507241249084	false	0.25819507241249084
HepG2	SUB1_4-NOLC1_5-interaction-shap	interaction	NOLC1-SUB1	SUB1	4	NOLC1	5	153	-0.25421246886253357	false	0.25421246886253357
HepG2	DDX6_3-EIF3D_3-interaction-shap	interaction	DDX6-EIF3D	DDX6	3	EIF3D	3	7	-0.24883994460105896	false	0.24883994460105896
HepG2	EFTUD2_2-QKI_5-interaction-shap	interaction	EFTUD2-QKI	EFTUD2	2	QKI	5	97	-0.24678967893123627	false	0.24678967893123627
HepG2	BUD13_3-PRPF4_3-interaction-shap	interaction	BUD13-PRPF4	BUD13	3	PRPF4	3	758	-0.24618692696094513	false	0.24618692696094513
HepG2	RPS3_2-U2AF2_4-interaction-shap	interaction	RPS3-U2AF2	RPS3	2	U2AF2	4	66	0.24410349130630493	false	0.24410349130630493
HepG2	CSTF2T_2-RBFOX2_4-interaction-shap	interaction	CSTF2T-RBFOX2	CSTF2T	2	RBFOX2	4	76	0.2427794337272644	false	0.2427794337272644
HepG2	LARP4_3-RPS3_3-interaction-shap	interaction	LARP4-RPS3	LARP4	3	RPS3	3	605	-0.24262721836566925	false	0.24262721836566925
HepG2	BUD13_5-FUBP3_6-interaction-shap	interaction	BUD13-FUBP3	BUD13	5	FUBP3	6	38	-0.24199306964874268	false	0.24199306964874268
HepG2	NIP7_2-UCHL5_2-interaction-shap	interaction	NIP7-UCHL5	NIP7	2	UCHL5	2	24	0.24184250831604004	false	0.24184250831604004
HepG2	SF3A3_3-SUGP2_3-interaction-shap	interaction	SF3A3-SUGP2	SF3A3	3	SUGP2	3	9	-0.24025924503803253	false	0.24025924503803253
HepG2	ILF3_3-UCHL5_4-interaction-shap	interaction	ILF3-UCHL5	ILF3	3	UCHL5	4	6	0.23887935280799866	false	0.23887935280799866
HepG2	RBM22_2-SUGP2_4-interaction-shap	interaction	RBM22-SUGP2	RBM22	2	SUGP2	4	8	0.23707886040210724	false	0.23707886040210724
HepG2	EIF3D_6-ZC3H11A_6-interaction-shap	interaction	EIF3D-ZC3H11A	EIF3D	6	ZC3H11A	6	3	-0.2361000031232834	false	0.2361000031232834
