Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
K562	UCHL5_1-SERBP1_2-interaction-shap	interaction	SERBP1-UCHL5	UCHL5	1	SERBP1	2	3	-4.25924866931382e-7	false	4.25924866931382e-7	SERBP1-UCHL5
K562	EWSR1_2-FMR1_3-interaction-shap	interaction	EWSR1-FMR1	EWSR1	2	FMR1	3	4	-2.4656765162944794e-7	false	2.4656765162944794e-7	EWSR1-FMR1
K562	HNRNPK_3-GTF2F1_4-interaction-shap	interaction	GTF2F1-HNRNPK	HNRNPK	3	GTF2F1	4	18	-2.2608017502534494e-7	false	2.2608017502534494e-7	GTF2F1-HNRNPK
K562	ZC3H8_1-PCBP1_2-interaction-shap	interaction	PCBP1-ZC3H8	ZC3H8	1	PCBP1	2	1	2.9802322387695312e-8	false	2.9802322387695312e-8	PCBP1-ZC3H8
K562	APOBEC3C_1-PCBP1_2-interaction-shap	interaction	APOBEC3C-PCBP1	APOBEC3C	1	PCBP1	2	9	0.0	true	0.0	APOBEC3C-PCBP1
K562	DDX42_1-RBFOX2_2-interaction-shap	interaction	DDX42-RBFOX2	DDX42	1	RBFOX2	2	2	0.0	true	0.0	DDX42-RBFOX2
K562	FMR1_1-RYBP_2-interaction-shap	interaction	FMR1-RYBP	FMR1	1	RYBP	2	4	0.0	true	0.0	FMR1-RYBP
K562	MBNL1_1-RBFOX2_2-interaction-shap	interaction	MBNL1-RBFOX2	MBNL1	1	RBFOX2	2	4	0.0	true	0.0	MBNL1-RBFOX2
K562	PTBP1_1-TARDBP_2-interaction-shap	interaction	PTBP1-TARDBP	PTBP1	1	TARDBP	2	1	0.0	true	0.0	PTBP1-TARDBP
K562	MBNL1_3-QKI_6-interaction-shap	interaction	MBNL1-QKI	MBNL1	3	QKI	6	10	0.0	true	0.0	MBNL1-QKI
K562	TAF15_3-CPSF6_4-interaction-shap	interaction	CPSF6-TAF15	TAF15	3	CPSF6	4	12	0.0	true	0.0	CPSF6-TAF15
K562	CSTF2T_2-CPEB4_6-interaction-shap	interaction	CPEB4-CSTF2T	CSTF2T	2	CPEB4	6	1	0.0	true	0.0	CPEB4-CSTF2T
K562	RBFOX2_2-SUPV3L1_5-interaction-shap	interaction	RBFOX2-SUPV3L1	RBFOX2	2	SUPV3L1	5	2	0.0	true	0.0	RBFOX2-SUPV3L1
K562	NONO_2-CPSF6_3-interaction-shap	interaction	CPSF6-NONO	NONO	2	CPSF6	3	15	0.0	true	0.0	CPSF6-NONO
K562	PPIL4_1-RBFOX2_6-interaction-shap	interaction	PPIL4-RBFOX2	PPIL4	1	RBFOX2	6	1	0.0	true	0.0	PPIL4-RBFOX2
K562	PCBP1_1-QKI_5-interaction-shap	interaction	PCBP1-QKI	PCBP1	1	QKI	5	8	0.0	true	0.0	PCBP1-QKI
K562	TAF15_1-HNRNPK_4-interaction-shap	interaction	HNRNPK-TAF15	TAF15	1	HNRNPK	4	1	0.0	true	0.0	HNRNPK-TAF15
K562	HNRNPK_1-QKI_4-interaction-shap	interaction	HNRNPK-QKI	HNRNPK	1	QKI	4	2	0.0	true	0.0	HNRNPK-QKI
K562	SRSF9_1-TRA2A_3-interaction-shap	interaction	SRSF9-TRA2A	SRSF9	1	TRA2A	3	3	0.0	true	0.0	SRSF9-TRA2A
K562	PTBP1_1-QKI_3-interaction-shap	interaction	PTBP1-QKI	PTBP1	1	QKI	3	4	0.0	true	0.0	PTBP1-QKI
K562	HNRNPK_1-SRSF7_3-interaction-shap	interaction	HNRNPK-SRSF7	HNRNPK	1	SRSF7	3	8	0.0	true	0.0	HNRNPK-SRSF7
K562	DDX21_1-RBFOX2_3-interaction-shap	interaction	DDX21-RBFOX2	DDX21	1	RBFOX2	3	1	0.0	true	0.0	DDX21-RBFOX2
K562	TAF15_1-SRSF1_2-interaction-shap	interaction	SRSF1-TAF15	TAF15	1	SRSF1	2	3	0.0	true	0.0	SRSF1-TAF15
K562	PTBP1_1-ZC3H8_2-interaction-shap	interaction	PTBP1-ZC3H8	PTBP1	1	ZC3H8	2	12	0.0	true	0.0	PTBP1-ZC3H8
K562	DDX1_1-ELAC2_2-interaction-shap	interaction	DDX1-ELAC2	DDX1	1	ELAC2	2	129	0.0	false	0.0	DDX1-ELAC2
K562	YWHAG_1-FAM120A_2-interaction-shap	interaction	FAM120A-YWHAG	YWHAG	1	FAM120A	2	21	0.0	false	0.0	FAM120A-YWHAG
K562	APEX1_1-EWSR1_2-interaction-shap	interaction	APEX1-EWSR1	APEX1	1	EWSR1	2	19	0.0	false	0.0	APEX1-EWSR1
K562	APEX1_1-FAM120A_2-interaction-shap	interaction	APEX1-FAM120A	APEX1	1	FAM120A	2	20	0.0	false	0.0	APEX1-FAM120A
K562	APEX1_1-FASTKD2_2-interaction-shap	interaction	APEX1-FASTKD2	APEX1	1	FASTKD2	2	20	0.0	false	0.0	APEX1-FASTKD2
K562	APEX1_1-FMR1_2-interaction-shap	interaction	APEX1-FMR1	APEX1	1	FMR1	2	51	0.0	false	0.0	APEX1-FMR1
K562	APEX1_1-FXR1_2-interaction-shap	interaction	APEX1-FXR1	APEX1	1	FXR1	2	30	0.0	false	0.0	APEX1-FXR1
K562	APEX1_1-FXR2_2-interaction-shap	interaction	APEX1-FXR2	APEX1	1	FXR2	2	53	0.0	false	0.0	APEX1-FXR2
K562	APEX1_1-GTF2F1_2-interaction-shap	interaction	APEX1-GTF2F1	APEX1	1	GTF2F1	2	19	0.0	false	0.0	APEX1-GTF2F1
K562	APEX1_1-HNRNPK_2-interaction-shap	interaction	APEX1-HNRNPK	APEX1	1	HNRNPK	2	20	0.0	false	0.0	APEX1-HNRNPK
K562	APEX1_1-NONO_2-interaction-shap	interaction	APEX1-NONO	APEX1	1	NONO	2	19	0.0	false	0.0	APEX1-NONO
K562	APEX1_1-PTBP1_2-interaction-shap	interaction	APEX1-PTBP1	APEX1	1	PTBP1	2	9	0.0	false	0.0	APEX1-PTBP1
K562	APEX1_1-RBFOX2_2-interaction-shap	interaction	APEX1-RBFOX2	APEX1	1	RBFOX2	2	10	0.0	false	0.0	APEX1-RBFOX2
K562	APEX1_1-RBM15_2-interaction-shap	interaction	APEX1-RBM15	APEX1	1	RBM15	2	4	0.0	false	0.0	APEX1-RBM15
K562	APEX1_1-RBM22_2-interaction-shap	interaction	APEX1-RBM22	APEX1	1	RBM22	2	28	0.0	false	0.0	APEX1-RBM22
K562	APEX1_1-RPS3_2-interaction-shap	interaction	APEX1-RPS3	APEX1	1	RPS3	2	25	0.0	false	0.0	APEX1-RPS3
K562	APEX1_1-SMNDC1_2-interaction-shap	interaction	APEX1-SMNDC1	APEX1	1	SMNDC1	2	30	0.0	false	0.0	APEX1-SMNDC1
