Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	HLTF_1-RPS3_1-interaction-shap	interaction	HLTF	1	RPS3	1	2	0.0	false	0.0
HepG2	HLTF_1-RBM22_1-interaction-shap	interaction	HLTF	1	RBM22	1	2	0.0	false	0.0
HepG2	HNRNPK_2-RBFOX2_2-interaction-shap	interaction	HNRNPK	2	RBFOX2	2	41	0.0	false	0.0
HepG2	HNRNPK_2-RBM22_2-interaction-shap	interaction	HNRNPK	2	RBM22	2	170	0.0	false	0.0
HepG2	HNRNPK_2-RPS3_2-interaction-shap	interaction	HNRNPK	2	RPS3	2	53	0.0	false	0.0
HepG2	HNRNPK_2-SF3B4_2-interaction-shap	interaction	HNRNPK	2	SF3B4	2	5	0.0	false	0.0
HepG2	HNRNPK_2-SRSF1_2-interaction-shap	interaction	HNRNPK	2	SRSF1	2	82	0.0	false	0.0
HepG2	HNRNPK_2-TIA1_2-interaction-shap	interaction	HNRNPK	2	TIA1	2	2	0.0	false	0.0
HepG2	GRWD1_1-TIA1_1-interaction-shap	interaction	GRWD1	1	TIA1	1	14	0.0	false	0.0
HepG2	HLTF_1-PRPF8_1-interaction-shap	interaction	HLTF	1	PRPF8	1	3	0.0	false	0.0
HepG2	HLTF_1-LIN28B_1-interaction-shap	interaction	HLTF	1	LIN28B	1	3	0.0	false	0.0
HepG2	GTF2F1_1-XPO5_1-interaction-shap	interaction	GTF2F1	1	XPO5	1	39	0.0	false	0.0
HepG2	HNRNPL_2-LSM11_2-interaction-shap	interaction	HNRNPL	2	LSM11	2	14	0.0	false	0.0
HepG2	HNRNPL_2-NKRF_2-interaction-shap	interaction	HNRNPL	2	NKRF	2	9	0.0	false	0.0
HepG2	HNRNPL_2-PABPN1_2-interaction-shap	interaction	HNRNPL	2	PABPN1	2	14	0.0	false	0.0
HepG2	HNRNPL_2-PCBP1_2-interaction-shap	interaction	HNRNPL	2	PCBP1	2	13	0.0	false	0.0
HepG2	GTF2F1_1-U2AF2_1-interaction-shap	interaction	GTF2F1	1	U2AF2	1	55	0.0	false	0.0
HepG2	HNRNPL_2-PRPF4_2-interaction-shap	interaction	HNRNPL	2	PRPF4	2	46	0.0	false	0.0
HepG2	HNRNPL_2-PRPF8_2-interaction-shap	interaction	HNRNPL	2	PRPF8	2	79	0.0	false	0.0
HepG2	HNRNPL_2-RBM22_2-interaction-shap	interaction	HNRNPL	2	RBM22	2	57	0.0	false	0.0
HepG2	HNRNPL_2-RPS3_2-interaction-shap	interaction	HNRNPL	2	RPS3	2	2	0.0	false	0.0
HepG2	HNRNPL_2-SDAD1_2-interaction-shap	interaction	HNRNPL	2	SDAD1	2	14	0.0	false	0.0
HepG2	HNRNPL_2-SND1_2-interaction-shap	interaction	HNRNPL	2	SND1	2	2	0.0	false	0.0
HepG2	HNRNPL_2-SRSF1_2-interaction-shap	interaction	HNRNPL	2	SRSF1	2	14	0.0	false	0.0
HepG2	HNRNPL_2-TIA1_2-interaction-shap	interaction	HNRNPL	2	TIA1	2	2	0.0	false	0.0
HepG2	HNRNPL_2-TIAL1_2-interaction-shap	interaction	HNRNPL	2	TIAL1	2	4	0.0	false	0.0
HepG2	HNRNPL_2-U2AF2_2-interaction-shap	interaction	HNRNPL	2	U2AF2	2	1	0.0	false	0.0
HepG2	HNRNPL_2-XPO5_2-interaction-shap	interaction	HNRNPL	2	XPO5	2	3	0.0	false	0.0
HepG2	HNRNPL_2-YBX3_2-interaction-shap	interaction	HNRNPL	2	YBX3	2	26	0.0	false	0.0
HepG2	HNRNPM_2-IGF2BP1_2-interaction-shap	interaction	HNRNPM	2	IGF2BP1	2	3	0.0	false	0.0
HepG2	HNRNPM_2-PRPF8_2-interaction-shap	interaction	HNRNPM	2	PRPF8	2	183	0.0	false	0.0
HepG2	HNRNPM_2-RBFOX2_2-interaction-shap	interaction	HNRNPM	2	RBFOX2	2	69	0.0	false	0.0
HepG2	HNRNPM_2-RBM22_2-interaction-shap	interaction	HNRNPM	2	RBM22	2	119	0.0	false	0.0
HepG2	HNRNPM_2-RPS3_2-interaction-shap	interaction	HNRNPM	2	RPS3	2	50	0.0	false	0.0
HepG2	HNRNPM_2-SF3B4_2-interaction-shap	interaction	HNRNPM	2	SF3B4	2	2	0.0	false	0.0
HepG2	GTF2F1_1-TAF15_1-interaction-shap	interaction	GTF2F1	1	TAF15	1	43	0.0	false	0.0
HepG2	HNRNPM_2-TIA1_2-interaction-shap	interaction	HNRNPM	2	TIA1	2	3	0.0	false	0.0
HepG2	HNRNPM_2-XPO5_2-interaction-shap	interaction	HNRNPM	2	XPO5	2	1	0.0	false	0.0
HepG2	HNRNPU_2-LIN28B_2-interaction-shap	interaction	HNRNPU	2	LIN28B	2	2	0.0	false	0.0
HepG2	HNRNPU_2-RBFOX2_2-interaction-shap	interaction	HNRNPU	2	RBFOX2	2	2	0.0	false	0.0
HepG2	HNRNPU_2-RPS3_2-interaction-shap	interaction	HNRNPU	2	RPS3	2	2	0.0	false	0.0
HepG2	HNRNPUL1_2-IGF2BP1_2-interaction-shap	interaction	HNRNPUL1	2	IGF2BP1	2	1	0.0	false	0.0
HepG2	HNRNPUL1_2-PRPF8_2-interaction-shap	interaction	HNRNPUL1	2	PRPF8	2	5	0.0	false	0.0
HepG2	HNRNPUL1_2-RBFOX2_2-interaction-shap	interaction	HNRNPUL1	2	RBFOX2	2	12	0.0	false	0.0
HepG2	HNRNPUL1_2-RBM22_2-interaction-shap	interaction	HNRNPUL1	2	RBM22	2	6	0.0	false	0.0
HepG2	GTF2F1_1-SRSF1_1-interaction-shap	interaction	GTF2F1	1	SRSF1	1	89	0.0	false	0.0
HepG2	HNRNPUL1_2-TAF15_2-interaction-shap	interaction	HNRNPUL1	2	TAF15	2	12	0.0	false	0.0
HepG2	HNRNPUL1_2-TIA1_2-interaction-shap	interaction	HNRNPUL1	2	TIA1	2	3	0.0	false	0.0
HepG2	GTF2F1_1-SF3B4_1-interaction-shap	interaction	GTF2F1	1	SF3B4	1	210	0.0	false	0.0
HepG2	IGF2BP1_2-KHSRP_2-interaction-shap	interaction	IGF2BP1	2	KHSRP	2	9	0.0	false	0.0
HepG2	IGF2BP1_2-LARP4_2-interaction-shap	interaction	IGF2BP1	2	LARP4	2	5	0.0	false	0.0
HepG2	IGF2BP1_2-LIN28B_2-interaction-shap	interaction	IGF2BP1	2	LIN28B	2	34	0.0	false	0.0
HepG2	GTF2F1_1-RPS3_1-interaction-shap	interaction	GTF2F1	1	RPS3	1	50	0.0	false	0.0
HepG2	IGF2BP1_2-NKRF_2-interaction-shap	interaction	IGF2BP1	2	NKRF	2	10	0.0	false	0.0
HepG2	IGF2BP1_2-NOLC1_2-interaction-shap	interaction	IGF2BP1	2	NOLC1	2	32	0.0	false	0.0
HepG2	IGF2BP1_2-PCBP1_2-interaction-shap	interaction	IGF2BP1	2	PCBP1	2	19	0.0	false	0.0
HepG2	IGF2BP1_2-PCBP2_2-interaction-shap	interaction	IGF2BP1	2	PCBP2	2	29	0.0	false	0.0
HepG2	IGF2BP1_2-PPIG_2-interaction-shap	interaction	IGF2BP1	2	PPIG	2	152	0.0	false	0.0
HepG2	IGF2BP1_2-PRPF4_2-interaction-shap	interaction	IGF2BP1	2	PRPF4	2	12	0.0	false	0.0
HepG2	GTF2F1_1-RBM22_1-interaction-shap	interaction	GTF2F1	1	RBM22	1	15	0.0	false	0.0
HepG2	IGF2BP1_2-PTBP1_2-interaction-shap	interaction	IGF2BP1	2	PTBP1	2	8	0.0	false	0.0
HepG2	IGF2BP1_2-QKI_2-interaction-shap	interaction	IGF2BP1	2	QKI	2	7	0.0	false	0.0
HepG2	IGF2BP1_2-RBFOX2_2-interaction-shap	interaction	IGF2BP1	2	RBFOX2	2	26	0.0	false	0.0
HepG2	IGF2BP1_2-RBM15_2-interaction-shap	interaction	IGF2BP1	2	RBM15	2	20	0.0	false	0.0
HepG2	IGF2BP1_2-RBM22_2-interaction-shap	interaction	IGF2BP1	2	RBM22	2	23	0.0	false	0.0
HepG2	IGF2BP1_2-RPS3_2-interaction-shap	interaction	IGF2BP1	2	RPS3	2	130	0.0	false	0.0
HepG2	IGF2BP1_2-SDAD1_2-interaction-shap	interaction	IGF2BP1	2	SDAD1	2	103	0.0	false	0.0
HepG2	IGF2BP1_2-SFPQ_2-interaction-shap	interaction	IGF2BP1	2	SFPQ	2	4	0.0	false	0.0
HepG2	GTF2F1_1-RBFOX2_1-interaction-shap	interaction	GTF2F1	1	RBFOX2	1	285	0.0	false	0.0
HepG2	IGF2BP1_2-SRSF7_2-interaction-shap	interaction	IGF2BP1	2	SRSF7	2	37	0.0	false	0.0
HepG2	IGF2BP1_2-STAU2_2-interaction-shap	interaction	IGF2BP1	2	STAU2	2	3	0.0	false	0.0
HepG2	IGF2BP1_2-SUB1_2-interaction-shap	interaction	IGF2BP1	2	SUB1	2	3	0.0	false	0.0
HepG2	IGF2BP1_2-SUPV3L1_2-interaction-shap	interaction	IGF2BP1	2	SUPV3L1	2	21	0.0	false	0.0
HepG2	IGF2BP1_2-TARDBP_2-interaction-shap	interaction	IGF2BP1	2	TARDBP	2	51	0.0	false	0.0
HepG2	IGF2BP1_2-TIA1_2-interaction-shap	interaction	IGF2BP1	2	TIA1	2	63	0.0	false	0.0
HepG2	IGF2BP1_2-TIAL1_2-interaction-shap	interaction	IGF2BP1	2	TIAL1	2	93	0.0	false	0.0
HepG2	IGF2BP1_2-U2AF2_2-interaction-shap	interaction	IGF2BP1	2	U2AF2	2	19	0.0	false	0.0
HepG2	IGF2BP1_2-UCHL5_2-interaction-shap	interaction	IGF2BP1	2	UCHL5	2	16	0.0	false	0.0
