Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	IGF2BP1_2-NKRF_2-interaction-shap	interaction	IGF2BP1-NKRF	IGF2BP1	2	NKRF	2	10	0.0	false	0.0
HepG2	IGF2BP1_2-NOLC1_2-interaction-shap	interaction	IGF2BP1-NOLC1	IGF2BP1	2	NOLC1	2	32	0.0	false	0.0
HepG2	IGF2BP1_2-PCBP1_2-interaction-shap	interaction	IGF2BP1-PCBP1	IGF2BP1	2	PCBP1	2	19	0.0	false	0.0
HepG2	IGF2BP1_2-PCBP2_2-interaction-shap	interaction	IGF2BP1-PCBP2	IGF2BP1	2	PCBP2	2	29	0.0	false	0.0
HepG2	IGF2BP1_2-PPIG_2-interaction-shap	interaction	IGF2BP1-PPIG	IGF2BP1	2	PPIG	2	152	0.0	false	0.0
HepG2	IGF2BP1_2-PRPF4_2-interaction-shap	interaction	IGF2BP1-PRPF4	IGF2BP1	2	PRPF4	2	12	0.0	false	0.0
HepG2	G3BP1_1-GTF2F1_1-interaction-shap	interaction	G3BP1-GTF2F1	G3BP1	1	GTF2F1	1	4	0.0	false	0.0
HepG2	FXR2_1-XRN2_1-interaction-shap	interaction	FXR2-XRN2	FXR2	1	XRN2	1	52	0.0	false	0.0
HepG2	IGF2BP1_2-QKI_2-interaction-shap	interaction	IGF2BP1-QKI	IGF2BP1	2	QKI	2	7	0.0	false	0.0
HepG2	IGF2BP1_2-RBFOX2_2-interaction-shap	interaction	IGF2BP1-RBFOX2	IGF2BP1	2	RBFOX2	2	26	0.0	false	0.0
HepG2	IGF2BP1_2-RBM15_2-interaction-shap	interaction	IGF2BP1-RBM15	IGF2BP1	2	RBM15	2	20	0.0	false	0.0
HepG2	IGF2BP1_2-RBM22_2-interaction-shap	interaction	IGF2BP1-RBM22	IGF2BP1	2	RBM22	2	23	0.0	false	0.0
HepG2	IGF2BP1_2-RPS3_2-interaction-shap	interaction	IGF2BP1-RPS3	IGF2BP1	2	RPS3	2	130	0.0	false	0.0
HepG2	IGF2BP1_2-SDAD1_2-interaction-shap	interaction	IGF2BP1-SDAD1	IGF2BP1	2	SDAD1	2	103	0.0	false	0.0
HepG2	IGF2BP1_2-SFPQ_2-interaction-shap	interaction	IGF2BP1-SFPQ	IGF2BP1	2	SFPQ	2	4	0.0	false	0.0
HepG2	FXR2_1-XPO5_1-interaction-shap	interaction	FXR2-XPO5	FXR2	1	XPO5	1	1	0.0	false	0.0
HepG2	IGF2BP1_2-SRSF7_2-interaction-shap	interaction	IGF2BP1-SRSF7	IGF2BP1	2	SRSF7	2	37	0.0	false	0.0
HepG2	IGF2BP1_2-STAU2_2-interaction-shap	interaction	IGF2BP1-STAU2	IGF2BP1	2	STAU2	2	3	0.0	false	0.0
HepG2	IGF2BP1_2-SUB1_2-interaction-shap	interaction	IGF2BP1-SUB1	IGF2BP1	2	SUB1	2	3	0.0	false	0.0
HepG2	IGF2BP1_2-SUPV3L1_2-interaction-shap	interaction	IGF2BP1-SUPV3L1	IGF2BP1	2	SUPV3L1	2	21	0.0	false	0.0
HepG2	IGF2BP1_2-TARDBP_2-interaction-shap	interaction	IGF2BP1-TARDBP	IGF2BP1	2	TARDBP	2	51	0.0	false	0.0
HepG2	IGF2BP1_2-TIA1_2-interaction-shap	interaction	IGF2BP1-TIA1	IGF2BP1	2	TIA1	2	63	0.0	false	0.0
HepG2	IGF2BP1_2-TIAL1_2-interaction-shap	interaction	IGF2BP1-TIAL1	IGF2BP1	2	TIAL1	2	93	0.0	false	0.0
HepG2	IGF2BP1_2-U2AF2_2-interaction-shap	interaction	IGF2BP1-U2AF2	IGF2BP1	2	U2AF2	2	19	0.0	false	0.0
HepG2	IGF2BP1_2-UCHL5_2-interaction-shap	interaction	IGF2BP1-UCHL5	IGF2BP1	2	UCHL5	2	16	0.0	false	0.0
HepG2	IGF2BP1_2-WDR43_2-interaction-shap	interaction	IGF2BP1-WDR43	IGF2BP1	2	WDR43	2	10	0.0	false	0.0
HepG2	IGF2BP1_2-XRN2_2-interaction-shap	interaction	IGF2BP1-XRN2	IGF2BP1	2	XRN2	2	21	0.0	false	0.0
HepG2	IGF2BP1_2-YBX3_2-interaction-shap	interaction	IGF2BP1-YBX3	IGF2BP1	2	YBX3	2	24	0.0	false	0.0
HepG2	IGF2BP1_2-ZNF800_2-interaction-shap	interaction	IGF2BP1-ZNF800	IGF2BP1	2	ZNF800	2	76	0.0	false	0.0
