RBP	Position	Cell Line	Feature	Global SHAP	ElasticNet Coefficient	Binding Percentage	# RBP Diff. Events	# RBP Diff. Events w/ RBP KD	# RBP Diff. Events w/ RBP KD at Position
FASTKD2	1	HepG2	FASTKD2_1	0.0	0.0	0.0018686155546809276	121.0	1.0	1.0
FASTKD2	2	HepG2	FASTKD2_2	5.7243105e-05	0.0033057458336078834	0.002792208549971728	121.0	1.0	0.0
FASTKD2	3	HepG2	FASTKD2_3	0.0	-0.0	0.0011958121115228464	121.0	1.0	0.0
FASTKD2	4	HepG2	FASTKD2_4	0.0	0.0	0.001091422551751867	121.0	1.0	0.0
FASTKD2	5	HepG2	FASTKD2_5	2.3081793e-05	0.0	0.0012726190640372662	121.0	1.0	0.0
FASTKD2	6	HepG2	FASTKD2_6	0.00059270713	0.0	0.0014309007949095238	121.0	1.0	0.0
FKBP4	1	HepG2	FKBP4_1	0.0	0.0	0.00042625736906483293	92.0	0.0	0.0
FKBP4	2	HepG2	FKBP4_2	0.0019323521	-0.15650968579300079	0.0021418955404228415	92.0	0.0	0.0
FKBP4	3	HepG2	FKBP4_3	0.0005225941	-0.0	0.00035539128580567203	92.0	0.0	0.0
FKBP4	4	HepG2	FKBP4_4	0.0	-0.0	0.00054910605830751	92.0	0.0	0.0
FKBP4	5	HepG2	FKBP4_5	0.0	0.0	9.632695149598514e-05	92.0	0.0	0.0
FKBP4	6	HepG2	FKBP4_6	0.0	-0.0	0.00014364173163608357	92.0	0.0	0.0
FTO	1	HepG2	FTO_1	4.3329434e-05	-0.0	0.00216523466963993	568.0	2.0	1.0
FTO	2	HepG2	FTO_2	0.0	0.0	0.001988918157099922	568.0	2.0	1.0
FTO	3	HepG2	FTO_3	0.00028193276	0.0	0.0017020590416317021	568.0	2.0	0.0
FTO	4	HepG2	FTO_4	0.0	0.017061304231090358	0.0014820347052851457	568.0	2.0	0.0
FTO	5	HepG2	FTO_5	0.00079787074	-0.0	0.001351759929473395	568.0	2.0	0.0
FTO	6	HepG2	FTO_6	7.868969e-05	0.0	0.0014018329703391493	568.0	2.0	0.0
FUBP3	1	HepG2	FUBP3_1	0.0001122935	-0.0	0.0002159930322090592	334.0	8.0	0.0
FUBP3	2	HepG2	FUBP3_2	0.0	0.0	1.4003477530253346e-05	334.0	8.0	0.0
FUBP3	3	HepG2	FUBP3_3	0.00017287405	-0.0	0.0002637321601531047	334.0	8.0	2.0
FUBP3	4	HepG2	FUBP3_4	2.2171223e-05	-0.0	0.00014364173163608357	334.0	8.0	0.0
FUBP3	5	HepG2	FUBP3_5	0.0	0.0	0.00021769042342484747	334.0	8.0	0.0
FUBP3	6	HepG2	FUBP3_6	0.0019105548	0.027953503967627948	0.0055160971035079776	334.0	8.0	6.0
FUS	1	HepG2	FUS_1	3.3795328e-05	0.0	0.00034329737339318053	323.0	1.0	0.0
FUS	2	HepG2	FUS_2	0.0	0.0	0.0015081320952278906	323.0	1.0	0.0
FUS	3	HepG2	FUS_3	0.0	-0.0	0.00039167302304314664	323.0	1.0	0.0
FUS	4	HepG2	FUS_4	0.00031127647	-0.0	0.0008523025642276923	323.0	1.0	0.0
FUS	5	HepG2	FUS_5	0.0	-0.0	0.0003594225899431692	323.0	1.0	0.0
FUS	6	HepG2	FUS_6	0.0	0.0	0.0005406191022285686	323.0	1.0	1.0
FXR2	1	HepG2	FXR2_1	9.69336e-05	-0.0	0.009407154291800645	0.0	0.0	0.0
FXR2	2	HepG2	FXR2_2	0.00041243664	-0.013998276183212408	0.011111335072452082	0.0	0.0	0.0
FXR2	3	HepG2	FXR2_3	0.005267181	0.006333866897016873	0.008140688270920612	0.0	0.0	0.0
FXR2	4	HepG2	FXR2_4	0.009731019	0.04371557096897177	0.009693589059464918	0.0	0.0	0.0
FXR2	5	HepG2	FXR2_5	0.00024673692	0.00674109731075193	0.010645825531522147	0.0	0.0	0.0
FXR2	6	HepG2	FXR2_6	0.0016583905	0.015438301538937067	0.01337777669333339	0.0	0.0	0.0
G3BP1	1	HepG2	G3BP1_1	0.00031634848	0.011182483477245042	0.023966527445224654	572.0	18.0	10.0
G3BP1	2	HepG2	G3BP1_2	0.000700743	-0.006162558644876843	0.02685951859863381	572.0	18.0	5.0
G3BP1	3	HepG2	G3BP1_3	0.062340204	0.08913366507714152	0.025417796934723638	572.0	18.0	0.0
G3BP1	4	HepG2	G3BP1_4	0.061379734	0.0923293606342846	0.02749264552212284	572.0	18.0	2.0
G3BP1	5	HepG2	G3BP1_5	0.0090886345	-0.028008961090262772	0.03295909393256901	572.0	18.0	6.0
G3BP1	6	HepG2	G3BP1_6	0.004097531	-0.014253340166511728	0.03268008525147381	572.0	18.0	3.0
GRSF1	1	HepG2	GRSF1_1	0.0011558639	0.005515525073222036	0.0016021251338021669	243.0	1.0	1.0
GRSF1	2	HepG2	GRSF1_2	1.7966035e-05	0.0	0.0026969424679856102	243.0	1.0	0.0
GRSF1	3	HepG2	GRSF1_3	0.0	0.0	0.0014090468830062497	243.0	1.0	0.0
GRSF1	4	HepG2	GRSF1_4	4.5481283e-06	-0.0	0.0011881738510517992	243.0	1.0	0.0
GRSF1	5	HepG2	GRSF1_5	8.881936e-06	0.0	0.0018885599014664398	243.0	1.0	0.0
GRSF1	6	HepG2	GRSF1_6	6.8671166e-06	0.0	0.0017391894744770708	243.0	1.0	0.0
GRWD1	1	HepG2	GRWD1_1	0.003276997	-0.010109781210239761	0.08898891709623041	127.0	43.0	15.0
GRWD1	2	HepG2	GRWD1_2	0.042701263	-0.03551238692534302	0.12397469614045063	127.0	43.0	20.0
GRWD1	3	HepG2	GRWD1_3	0.114402644	0.09378087963859105	0.06452844880721137	127.0	43.0	2.0
GRWD1	4	HepG2	GRWD1_4	0.12776388	0.0886794200159289	0.08021531407572274	127.0	43.0	4.0
GRWD1	5	HepG2	GRWD1_5	0.058942843	-0.054001903094949226	0.09046649614957411	127.0	43.0	14.0
GRWD1	6	HepG2	GRWD1_6	0.058196854	-0.04523705720175132	0.11010870729867614	127.0	43.0	13.0
GTF2F1	1	HepG2	GTF2F1_1	3.7375456e-05	0.002225392454515363	0.004889123223176179	112.0	2.0	0.0
GTF2F1	2	HepG2	GTF2F1_2	0.00038887872	0.022143350366899135	0.01244102891612023	112.0	2.0	1.0
GTF2F1	3	HepG2	GTF2F1_3	2.2936665e-06	-0.0	0.0031257459238741257	112.0	2.0	0.0
GTF2F1	4	HepG2	GTF2F1_4	0.00015861558	0.0	0.0028098189838355312	112.0	2.0	0.0
GTF2F1	5	HepG2	GTF2F1_5	0.00013393274	0.0	0.0017128799106323526	112.0	2.0	1.0
GTF2F1	6	HepG2	GTF2F1_6	0.00013896934	0.0	0.0017924451238724283	112.0	2.0	0.0
HLTF	1	HepG2	HLTF_1	0.0	-0.0	0.002310149444687855	175.0	0.0	0.0
HLTF	2	HepG2	HLTF_2	0.0010794589	0.012671104414712597	0.0025199894337396816	175.0	0.0	0.0
HLTF	3	HepG2	HLTF_3	0.001081412	-0.011973204412098102	0.002034111198220285	175.0	0.0	0.0
HLTF	4	HepG2	HLTF_4	0.0015857691	-0.0	0.0021665077130517715	175.0	0.0	0.0
HLTF	5	HepG2	HLTF_5	0.0	-0.0	0.00256730421387978	175.0	0.0	0.0
HLTF	6	HepG2	HLTF_6	0.0017447828	-0.016849683779298224	0.0027782050724414744	175.0	0.0	0.0
HNRNPA1	1	HepG2	HNRNPA1_1	0.0	0.0	0.0	384.0	0.0	0.0
HNRNPA1	2	HepG2	HNRNPA1_2	0.0	0.0	2.1217390197353556e-07	384.0	0.0	0.0
HNRNPA1	3	HepG2	HNRNPA1_3	0.0	0.0	0.0	384.0	0.0	0.0
HNRNPA1	4	HepG2	HNRNPA1_4	0.0	0.0	0.0	384.0	0.0	0.0
HNRNPA1	5	HepG2	HNRNPA1_5	0.0	0.0	4.667825843417782e-05	384.0	0.0	0.0
HNRNPA1	6	HepG2	HNRNPA1_6	0.0	0.0	3.8191302355236396e-05	384.0	0.0	0.0
HNRNPC	1	HepG2	HNRNPC_1	5.948195e-06	0.0	0.0004141634566523414	1223.0	14.0	2.0
HNRNPC	2	HepG2	HNRNPC_2	0.0002486786	-0.0	0.0004793008445582168	1223.0	14.0	1.0
HNRNPC	3	HepG2	HNRNPC_3	0.0045711445	-0.371148166730276	0.0009055582136230497	1223.0	14.0	8.0
HNRNPC	4	HepG2	HNRNPC_4	3.6267986e-06	-0.031437604702661034	0.0010311651635913827	1223.0	14.0	4.0
HNRNPC	5	HepG2	HNRNPC_5	6.2004415e-06	0.0	0.00014003477530253347	1223.0	14.0	0.0
HNRNPC	6	HepG2	HNRNPC_6	0.0006056196	0.0	0.0009439616898802597	1223.0	14.0	0.0
HNRNPK	1	HepG2	HNRNPK_1	0.0014293346	-0.01661800170628435	0.0035222989466626637	1322.0	62.0	4.0
HNRNPK	2	HepG2	HNRNPK_2	0.0019406895	-0.02958214728102251	0.005306893636162071	1322.0	62.0	22.0
HNRNPK	3	HepG2	HNRNPK_3	0.005453546	-0.08173774564610656	0.004659975409044761	1322.0	62.0	22.0
HNRNPK	4	HepG2	HNRNPK_4	5.6479683e-05	-0.0	0.004810406705543998	1322.0	62.0	16.0
HNRNPK	5	HepG2	HNRNPK_5	0.0	0.0	0.002610799863784355	1322.0	62.0	6.0
HNRNPK	6	HepG2	HNRNPK_6	0.0	0.0	0.002866893763466412	1322.0	62.0	6.0
HNRNPL	1	HepG2	HNRNPL_1	0.00021415626	-0.0	0.00044768693316416	473.0	4.0	0.0
HNRNPL	2	HepG2	HNRNPL_2	0.0	0.0	0.0007105703977093705	473.0	4.0	0.0
HNRNPL	3	HepG2	HNRNPL_3	0.0	-0.0	0.0006010886642910262	473.0	4.0	1.0
HNRNPL	4	HepG2	HNRNPL_4	3.059112e-06	-0.0	0.001148497331382748	473.0	4.0	2.0
HNRNPL	5	HepG2	HNRNPL_5	0.0	0.0	0.00039188519694512017	473.0	4.0	1.0
HNRNPL	6	HepG2	HNRNPL_6	0.0013007456	0.005846316334633915	0.0017224277362211616	473.0	4.0	0.0
HNRNPM	1	HepG2	HNRNPM_1	0.0	-0.0	0.00036790954602211064	423.0	16.0	1.0
HNRNPM	2	HepG2	HNRNPM_2	0.00039577455	-0.010407442515467885	0.002506198130111402	423.0	16.0	2.0
HNRNPM	3	HepG2	HNRNPM_3	0.0013992294	-0.059543575349216074	0.0008722469110132047	423.0	16.0	6.0
HNRNPM	4	HepG2	HNRNPM_4	0.0028043932	-0.15568731397608399	0.0013468799297280036	423.0	16.0	9.0
HNRNPM	5	HepG2	HNRNPM_5	0.0	-0.0	0.000408859109103003	423.0	16.0	3.0
HNRNPM	6	HepG2	HNRNPM_6	0.0	-0.0	0.0005471964931897482	423.0	16.0	3.0
HNRNPUL1	1	HepG2	HNRNPUL1_1	0.0	-0.0	6.853217033745199e-05	470.0	0.0	0.0
HNRNPUL1	2	HepG2	HNRNPUL1_2	0.0	0.0	0.00012560694996833306	470.0	0.0	0.0
HNRNPUL1	3	HepG2	HNRNPUL1_3	0.0	-0.0	2.1217390197353556e-06	470.0	0.0	0.0
HNRNPUL1	4	HepG2	HNRNPUL1_4	0.0	-0.0	0.00011966608071307404	470.0	0.0	0.0
HNRNPUL1	5	HepG2	HNRNPUL1_5	0.0	0.0	1.2730434118412134e-06	470.0	0.0	0.0
HNRNPUL1	6	HepG2	HNRNPUL1_6	0.0	0.0	1.6973912157882845e-06	470.0	0.0	0.0
HNRNPU	1	HepG2	HNRNPU_1	0.0	-0.0	0.00017928694716763755	1011.0	2.0	2.0
HNRNPU	2	HepG2	HNRNPU_2	0.0	0.0	1.6973912157882845e-06	1011.0	2.0	0.0
HNRNPU	3	HepG2	HNRNPU_3	0.0	0.0	4.0525215276945287e-05	1011.0	2.0	0.0
HNRNPU	4	HepG2	HNRNPU_4	0.0	0.0	4.561738892431014e-05	1011.0	2.0	0.0
HNRNPU	5	HepG2	HNRNPU_5	0.0	0.0	2.8006955060506692e-05	1011.0	2.0	0.0
HNRNPU	6	HepG2	HNRNPU_6	0.0	0.0	8.486956078941422e-07	1011.0	2.0	0.0
IGF2BP1	1	HepG2	IGF2BP1_1	0.0058731926	-0.06459955245078275	0.007679634381932119	0.0	0.0	0.0
