,RBP,Cell Line,Significant Events,AUROC,AUPRC,Sign Concordance
163,UCHL5 Position 3,K562,14,0.29746922970543493,0.00938881815173517,71.42857142857143
164,IGF2BP2 Position 6,K562,14,0.5104923325262308,0.04393320815707785,42.857142857142854
165,G3BP1 Position 1,HepG2,14,0.4719792678976352,0.030744899948337637,7.142857142857142
166,PRPF4 Position 3,HepG2,14,0.6710963455149501,0.14024291363142424,50.0
167,SRSF1 Position 3,HepG2,14,0.48847926267281105,0.20739226091839,7.142857142857142
168,PABPC4 Position 5,K562,13,0.5974238026124818,0.047767768458703036,53.84615384615385
169,FXR1 Position 6,K562,13,0.6775855723224145,0.13996953034077275,46.15384615384615
170,GPKOW Position 6,K562,13,0.5892756878158338,0.13084699755327966,84.61538461538461
171,FMR1 Position 1,K562,13,0.5679012345679012,0.11033649493018312,46.15384615384615
172,PRPF4 Position 5,HepG2,13,0.5125477359519912,0.09298594990052791,61.53846153846154
173,IGF2BP3 Position 6,HepG2,13,0.578536847767617,0.10827863851028219,53.84615384615385
174,GPKOW Position 1,K562,13,0.4284436493738819,0.1946022621873584,76.92307692307693
175,U2AF1 Position 6,HepG2,13,0.6730769230769231,0.37680252300973854,92.3076923076923
176,XRN2 Position 2,HepG2,12,0.518065268065268,0.3869261286665251,41.66666666666667
177,LARP4 Position 2,HepG2,12,0.4973604826546003,0.07896977905336997,41.66666666666667
178,HNRNPK Position 5,HepG2,12,0.4904513888888889,0.21765388323945933,66.66666666666666
179,DDX24 Position 5,K562,12,0.41730584851390223,0.015930990989661473,50.0
180,RBFOX2 Position 2,HepG2,12,0.6010589318600369,0.08021366669275648,41.66666666666667
181,TIA1 Position 6,HepG2,12,0.4272727272727273,0.0612610366943344,41.66666666666667
182,TIA1 Position 4,K562,12,0.5811224489795919,0.13348605106397618,58.333333333333336
183,G3BP1 Position 4,HepG2,12,0.5116792929292929,0.04765783176140962,33.33333333333333
184,FXR1 Position 2,K562,12,0.5109649122807017,0.052999030132217406,66.66666666666666
185,FXR1 Position 5,K562,12,0.5897085610200364,0.10052704008715994,58.333333333333336
186,PRPF4 Position 4,HepG2,12,0.634765625,0.24370550187113654,33.33333333333333
187,FMR1 Position 2,K562,12,0.6162280701754386,0.1728957870498963,33.33333333333333
188,SF3B4 Position 4,HepG2,12,0.6000000000000001,0.1740862198155107,25.0
189,EFTUD2 Position 1,HepG2,12,0.4702696728558798,0.04658727981263839,83.33333333333334
190,KHSRP Position 6,HepG2,11,0.43904958677685946,0.21048959915139714,81.81818181818183
191,AKAP1 Position 6,HepG2,11,0.5520421607378129,0.17683048232967064,27.27272727272727
192,TIA1 Position 6,K562,11,0.5698748204391546,0.15197250545709137,72.72727272727273
193,TIA1 Position 4,HepG2,11,0.48900293255131966,0.1322664001948831,72.72727272727273
194,FXR1 Position 4,K562,11,0.3759090909090909,0.04370041512465033,63.63636363636363
195,FXR1 Position 1,K562,11,0.3675889328063241,0.05169576326313395,54.54545454545454
196,AGGF1 Position 4,K562,11,0.515625,0.15675615633502352,27.27272727272727
197,PTBP1 Position 5,K562,11,0.23426573426573427,0.12318068351898094,36.36363636363637
198,PCBP2 Position 2,HepG2,11,0.48484848484848486,0.1561992227056491,36.36363636363637
199,YBX3 Position 1,K562,11,0.33316532258064513,0.008854271880772273,81.81818181818183
200,YBX3 Position 2,K562,11,0.5931445603576752,0.012947401175248612,36.36363636363637
201,U2AF1 Position 2,K562,11,0.4145021645021645,0.3662945993077439,27.27272727272727
202,YBX3 Position 5,K562,11,0.437456807187284,0.00876418453616497,63.63636363636363
203,DDX24 Position 2,K562,11,0.41792294807370184,0.008683304888245265,45.45454545454545
204,PUM2 Position 6,K562,10,0.3718808193668529,0.017690819829253187,10.0
205,METAP2 Position 5,K562,10,0.5202334630350194,0.07064203089078225,100.0
206,PRPF4 Position 1,HepG2,10,0.438622754491018,0.05633120229054929,60.0
207,RBFOX2 Position 4,K562,10,0.3686440677966102,0.1240689104636473,30.0
208,HNRNPC Position 3,HepG2,10,0.6000000000000001,0.6195744451626806,100.0
209,TARDBP Position 2,K562,10,0.6203125,0.3866224920572746,10.0
210,YBX3 Position 6,K562,10,0.6075018754688672,0.010304314868627287,60.0
211,UCHL5 Position 1,HepG2,10,0.6847560975609756,0.27038498857464377,70.0
212,HNRNPK Position 6,HepG2,10,0.5175,0.2898856990962254,80.0
213,SF3B4 Position 6,HepG2,10,0.5,0.1388888888888889,0.0
214,PTBP1 Position 3,HepG2,10,0.753061224489796,0.3810896141402298,100.0
215,RBFOX2 Position 3,HepG2,10,0.46454545454545454,0.08172125145809356,80.0
216,PCBP2 Position 4,HepG2,9,0.625,0.15512598600561261,88.88888888888889
217,AKAP8L Position 3,K562,9,0.6276276276276276,0.4480328313661647,0.0
218,DDX59 Position 3,HepG2,9,0.5606995884773662,0.15980044478066496,33.33333333333333
219,AKAP8L Position 4,K562,9,0.7070707070707072,0.6477411477411478,100.0
220,DROSHA Position 5,K562,9,0.36398467432950193,0.08576522582277057,88.88888888888889
221,ZC3H8 Position 4,K562,9,0.707516339869281,0.4935186750019743,55.55555555555556
222,UCHL5 Position 6,HepG2,9,0.5846313603322949,0.09158621274634346,55.55555555555556
223,U2AF1 Position 4,K562,9,0.48263888888888895,0.3684476869162388,44.44444444444444
224,DDX24 Position 6,K562,9,0.37624584717607973,0.0061591807138013255,22.22222222222222
225,HNRNPM Position 4,K562,9,0.5138888888888888,0.42281397939292675,100.0
226,PTBP1 Position 4,K562,9,0.5839243498817968,0.3477333862298764,66.66666666666666
227,METAP2 Position 2,K562,9,0.5493551587301587,0.04663724949156614,77.77777777777779
228,ZC3H8 Position 5,K562,9,0.3046296296296296,0.14470623444947087,22.22222222222222
229,PUM1 Position 4,K562,8,0.24574704142011836,0.01608437508948933,37.5
230,PUM1 Position 3,K562,8,0.2658390410958904,0.022669250662644143,25.0
231,PCBP1 Position 3,HepG2,8,0.360054347826087,0.13153593588376197,12.5
232,PPIG Position 3,HepG2,8,0.5648756046993779,0.006854403477753956,37.5
233,GEMIN5 Position 2,K562,8,0.6893491124260355,0.06628569982502566,50.0
234,FMR1 Position 4,K562,8,0.4052197802197802,0.037896915433361385,100.0
235,RBFOX2 Position 5,K562,8,0.6916666666666667,0.1601337308028431,50.0
236,AGGF1 Position 2,K562,8,0.7730769230769231,0.3992843094405595,100.0
237,NCBP2 Position 4,HepG2,8,0.9419642857142857,0.9276315789473684,100.0
