Cell Line	Data Mode	Feature	Zero Cutoff	% Non Zero
HepG2	Unique-Binding	AQR_2_shap	0.01	91.71139196675901
HepG2	Unique-Binding	AQR_2_shap	0.05	14.42347645429363
HepG2	Unique-Binding	AQR_2_shap	0.1	12.060249307479225
HepG2	Unique-Binding	AQR_3_shap	1e-15	100.0
HepG2	Unique-Binding	AQR_3_shap	1e-10	100.0
HepG2	Unique-Binding	AQR_3_shap	1e-08	100.0
HepG2	Unique-Binding	AQR_3_shap	1e-07	100.0
HepG2	Unique-Binding	AQR_3_shap	1e-06	100.0
HepG2	Unique-Binding	AQR_3_shap	1e-05	100.0
HepG2	Unique-Binding	AQR_3_shap	0.0001	99.97143351800554
HepG2	Unique-Binding	AQR_3_shap	0.001	99.63036703601108
HepG2	Unique-Binding	AQR_3_shap	0.01	95.65529778393352
HepG2	Unique-Binding	AQR_3_shap	0.05	13.03237534626039
HepG2	Unique-Binding	AQR_3_shap	0.1	11.651662049861496
HepG2	Unique-Binding	AQR_4_shap	1e-15	100.0
HepG2	Unique-Binding	AQR_4_shap	1e-10	100.0
HepG2	Unique-Binding	AQR_4_shap	1e-08	100.0
HepG2	Unique-Binding	AQR_4_shap	1e-07	100.0
HepG2	Unique-Binding	AQR_4_shap	1e-06	99.99826869806094
HepG2	Unique-Binding	AQR_4_shap	1e-05	99.98961218836565
HepG2	Unique-Binding	AQR_4_shap	0.0001	99.92382271468145
HepG2	Unique-Binding	AQR_4_shap	0.001	99.36634349030471
HepG2	Unique-Binding	AQR_4_shap	0.01	88.7439404432133
HepG2	Unique-Binding	AQR_4_shap	0.05	9.888331024930748
HepG2	Unique-Binding	AQR_4_shap	0.1	9.869286703601109
HepG2	Unique-Binding	AQR_5_shap	1e-15	100.0
HepG2	Unique-Binding	AQR_5_shap	1e-10	100.0
HepG2	Unique-Binding	AQR_5_shap	1e-08	100.0
HepG2	Unique-Binding	AQR_5_shap	1e-07	100.0
HepG2	Unique-Binding	AQR_5_shap	1e-06	99.99826869806094
HepG2	Unique-Binding	AQR_5_shap	1e-05	99.98961218836565
HepG2	Unique-Binding	AQR_5_shap	0.0001	99.9255540166205
HepG2	Unique-Binding	AQR_5_shap	0.001	99.49272853185596
HepG2	Unique-Binding	AQR_5_shap	0.01	64.73164819944598
HepG2	Unique-Binding	AQR_5_shap	0.05	15.493421052631579
HepG2	Unique-Binding	AQR_5_shap	0.1	10.641447368421053
HepG2	Unique-Binding	AQR_6_shap	1e-15	100.0
HepG2	Unique-Binding	AQR_6_shap	1e-10	100.0
HepG2	Unique-Binding	AQR_6_shap	1e-08	100.0
HepG2	Unique-Binding	AQR_6_shap	1e-07	100.0
HepG2	Unique-Binding	AQR_6_shap	1e-06	99.99913434903047
HepG2	Unique-Binding	AQR_6_shap	1e-05	99.96970221606648
HepG2	Unique-Binding	AQR_6_shap	0.0001	99.76627423822715
HepG2	Unique-Binding	AQR_6_shap	0.001	97.58137119113573
