Cell Line	Interaction Column	Feature 1	Feature 2	Both - #	Both - Mean	Both - Median	Both - Median Abs. Dev.	XOR_1st_Feature - #	XOR_1st_Feature - Mean	XOR_1st_Feature - Median	XOR_1st_Feature - Median Abs. Dev.	XOR_2nd_Feature - #	XOR_2nd_Feature - Mean	XOR_2nd_Feature - Median	XOR_2nd_Feature - Median Abs. Dev.
HepG2	RPS3_1-SRSF1_6-interaction-shap	RPS3_1	SRSF1_6	382	0.5521308900523559	0.9615	0.03849999999999998	123587	0.8530907862477445	0.999	0.0010000000000000009	33203	0.8062282625064	0.991	0.009000000000000008
HepG2	RPS3_1-STAU2_1-interaction-shap	RPS3_1	STAU2_1	138	0.9993043478260869	1.0	0.0	123831	0.8519994266379178	0.998	0.0020000000000000018	918	0.8121416122004358	0.995	0.0050000000000000044
HepG2	RPS3_1-STAU2_3-interaction-shap	RPS3_1	STAU2_3	8	0.99925	1.0	0.0	123961	0.8521539113108154	0.998	0.0020000000000000018	1027	0.7787361246348588	0.995	0.0050000000000000044
HepG2	RPS3_1-STAU2_4-interaction-shap	RPS3_1	STAU2_4	14	0.9992857142857143	1.0	0.0	123955	0.8521467871404945	0.998	0.0020000000000000018	767	0.3452411994784876	0.046	0.046
HepG2	RPS3_1-STAU2_5-interaction-shap	RPS3_1	STAU2_5	222	0.9820360360360361	0.986	0.0050000000000000044	123747	0.8519304144746944	0.999	0.0010000000000000009	319	0.9877241379310346	1.0	0.0
HepG2	RPS3_1-STAU2_6-interaction-shap	RPS3_1	STAU2_6	12	0.9992500000000001	1.0	0.0	123957	0.8521491646296702	0.998	0.0020000000000000018	1233	0.987442822384428	0.994	0.006000000000000005
HepG2	RPS3_1-ZC3H11A_6-interaction-shap	RPS3_1	ZC3H11A_6	588	0.9984625850340136	1.0	0.0	123381	0.851466181989123	0.998	0.0020000000000000018	17593	0.7982150287045984	0.994	0.006000000000000005
HepG2	RPS3_2-HNRNPC_3-interaction-shap	RPS3_2	HNRNPC_3	204	9.803921568627451e-6	0.0	0.0	139200	0.8504328160919541	0.999	0.0010000000000000009	4064	0.15179429133858266	0.008	0.008
HepG2	RPS3_2-HNRNPC_6-interaction-shap	RPS3_2	HNRNPC_6	354	0.9969915254237287	1.0	0.0	139050	0.8488120460266091	0.999	0.0010000000000000009	4095	0.8963855921855921	0.997	0.0030000000000000027
HepG2	RPS3_2-SRSF1_2-interaction-shap	RPS3_2	SRSF1_2	526	0.9617737642585552	1.0	0.0	138878	0.8487619133340052	0.999	0.0010000000000000009	64492	0.7737272840042175	0.979	0.02100000000000002
HepG2	RPS3_2-SRSF1_3-interaction-shap	RPS3_2	SRSF1_3	326	0.9964662576687116	0.999	0.0010000000000000009	139078	0.8488431096219387	0.999	0.0010000000000000009	19048	0.9044380512389752	0.998	0.0020000000000000018
HepG2	RPS3_2-SRSF1_4-interaction-shap	RPS3_2	SRSF1_4	777	0.9864942084942084	1.0	0.0	138627	0.848418735167031	0.999	0.0010000000000000009	32946	0.9177055181205611	0.998	0.0020000000000000018
HepG2	RPS3_2-SRSF1_5-interaction-shap	RPS3_2	SRSF1_5	298	0.33672483221476507	0.003	0.003	139106	0.8502861558811265	0.999	0.0010000000000000009	27658	0.8691921324752332	0.994	0.006000000000000005
HepG2	RPS3_2-SRSF1_6-interaction-shap	RPS3_2	SRSF1_6	397	0.9954886649874054	0.999	0.0010000000000000009	139007	0.8487705007661485	0.999	0.0010000000000000009	33188	0.80103959262384	0.99	0.010000000000000009
HepG2	RPS3_2-STAU2_2-interaction-shap	RPS3_2	STAU2_2	60	0.9998	1.0	0.0	139344	0.8491234785853715	0.999	0.0010000000000000009	112	0.9872678571428571	1.0	0.0
HepG2	RPS3_2-STAU2_3-interaction-shap	RPS3_2	STAU2_3	106	0.9920188679245284	0.997	0.0030000000000000027	139298	0.8490796422059183	0.999	0.0010000000000000009	929	0.7562992465016146	0.995	0.0050000000000000044
HepG2	RPS3_2-STAU2_4-interaction-shap	RPS3_2	STAU2_4	168	0.0038273809523809523	0.002	0.002	139236	0.8502083297423081	0.999	0.0010000000000000009	613	0.45374714518760195	0.216	0.216
HepG2	RPS3_2-STAU2_5-interaction-shap	RPS3_2	STAU2_5	241	0.9832365145228215	0.987	0.006000000000000005	139163	0.8489561880672306	0.999	0.0010000000000000009	300	0.9871200000000001	1.0	0.0
HepG2	RPS3_2-STAU2_6-interaction-shap	RPS3_2	STAU2_6	214	0.9896682242990653	0.991	0.0040000000000000036	139190	0.8489723471513757	0.999	0.0010000000000000009	1031	0.9871183317167799	0.996	0.0040000000000000036
HepG2	RPS3_2-ZC3H11A_2-interaction-shap	RPS3_2	ZC3H11A_2	64	1.0	1.0	0.0	139340	0.8491190612889336	0.999	0.0010000000000000009	1686	0.9603315539739027	1.0	0.0
HepG2	RPS3_2-ZC3H11A_3-interaction-shap	RPS3_2	ZC3H11A_3	148	0.9990135135135134	1.0	0.0	139256	0.8490290974895156	0.999	0.0010000000000000009	1259	0.8078371723590151	0.991	0.009000000000000008
HepG2	RPS3_2-ZC3H11A_5-interaction-shap	RPS3_2	ZC3H11A_5	216	0.9976898148148149	0.998	0.0010000000000000009	139188	0.8489578771158431	0.999	0.0010000000000000009	4249	0.7813843257236996	0.986	0.014000000000000012
HepG2	RPS3_2-ZC3H11A_6-interaction-shap	RPS3_2	ZC3H11A_6	470	0.9915021276595745	0.995	0.0050000000000000044	138934	0.8487068967999193	0.999	0.0010000000000000009	17711	0.7997338941900514	0.995	0.0050000000000000044
