	Counts
ENSE00000435084	112
ENSE00003502358	112
ENSE00003684238	112
ENSE00003579189	112
ENSE00003586677	112
ENSE00000651602	112
ENSE00003541518	112
ENSE00003556003	112
ENSE00003628190	112
ENSE00003784060	112
ENSE00003630170	112
ENSE00003473796	112
ENSE00001105888	112
ENSE00003498928	112
ENSE00003555689	112
ENSE00000832024	112
ENSE00003585382	112
ENSE00003497313	112
ENSE00000729545	112
ENSE00003491976	112
ENSE00003478155	112
ENSE00003549164	112
ENSE00003597039	112
ENSE00001048960	112
ENSE00000956591	111
ENSE00003650910	111
ENSE00001102532	111
ENSE00003749811	111
ENSE00003621556	111
ENSE00003659448	111
ENSE00001788914	111
ENSE00003656282	111
ENSE00003557333	111
ENSE00003604517	111
ENSE00003658622	111
ENSE00003580791	111
ENSE00003607369	111
ENSE00003828807	111
ENSE00003596333	111
ENSE00003534281	111
ENSE00003786635	111
ENSE00001338274	111
ENSE00003534217	111
ENSE00001777391	111
ENSE00003536097	111
ENSE00003691710	110
ENSE00000845695	110
ENSE00001353075	110
ENSE00003588489	110
ENSE00003544991	110
ENSE00003517707	110
ENSE00003580780	110
ENSE00003602044	110
ENSE00003533693	110
ENSE00003687414	110
ENSE00003636298	110
ENSE00003488474	110
ENSE00001218981	110
ENSE00003736046	110
ENSE00003553207	110
ENSE00000802774	110
ENSE00002156584	110
ENSE00003519513	110
ENSE00003633567	110
ENSE00001670164	110
ENSE00001782027	110
ENSE00000893746	110
ENSE00003612818	110
ENSE00000710701	110
ENSE00003684487	110
ENSE00001714506	110
ENSE00003475377	110
ENSE00003543429	110
ENSE00003627413	110
ENSE00003461605	110
ENSE00003628013	110
ENSE00000767756	110
ENSE00003589673	110
ENSE00003545966	109
ENSE00003544937	109
ENSE00002228326	109
ENSE00003489880	109
ENSE00003684910	109
ENSE00003678941	109
ENSE00003658389	109
ENSE00001392610	109
ENSE00003489895	109
ENSE00003519723	109
ENSE00003518464	109
ENSE00003541358	109
ENSE00002257758	109
ENSE00003631502	109
ENSE00003576004	109
ENSE00001373499	109
ENSE00001039129	109
ENSE00001364826	109
ENSE00001251468	109
ENSE00000950460	109
ENSE00002309098	108
ENSE00003633695	108
ENSE00003465758	108
ENSE00003658766	108
ENSE00000687268	108
ENSE00003470220	108
ENSE00003508858	108
ENSE00003685108	108
ENSE00003687898	108
ENSE00003527100	108
ENSE00000693508	108
ENSE00003584931	108
ENSE00003657141	108
ENSE00003572230	108
ENSE00003570397	108
ENSE00001287981	108
ENSE00002513317	108
ENSE00002244815	108
ENSE00000998398	108
ENSE00000914153	108
ENSE00003688811	108
ENSE00002047060	108
ENSE00003676521	108
ENSE00001415401	108
ENSE00003662307	108
ENSE00003464821	108
ENSE00003709270	108
ENSE00003510040	108
ENSE00003605947	108
ENSE00000815082	108
ENSE00003547249	108
ENSE00003789389	108
ENSE00003569115	108
ENSE00003552893	108
ENSE00003797789	108
ENSE00001121162	108
ENSE00003644514	108
ENSE00003653733	108
ENSE00001730378	108
ENSE00003537825	108
ENSE00003540008	107
ENSE00003786244	107
ENSE00003679367	107
ENSE00003656659	107
ENSE00003644557	107
ENSE00003657221	107
ENSE00003680834	107
ENSE00003529511	107
ENSE00002230286	107
ENSE00001170789	107
ENSE00003554433	107
ENSE00003628932	107
ENSE00001122306	107
ENSE00003502633	107
ENSE00001209748	107
ENSE00003630901	106
ENSE00001130511	106
ENSE00001319762	106
ENSE00003665383	106
ENSE00003570901	106
ENSE00003769425	106
ENSE00003577370	106
ENSE00001459997	106
ENSE00003507066	106
ENSE00003684551	106
ENSE00003485594	106
ENSE00003662709	106
ENSE00003582251	106
ENSE00003606766	106
ENSE00000858956	106
ENSE00000961109	106
ENSE00003531034	106
ENSE00003626481	106
ENSE00000897994	106
ENSE00001024116	106
ENSE00003676411	106
ENSE00003668298	106
ENSE00003591123	106
ENSE00001224982	106
ENSE00002522212	106
ENSE00003669596	105
ENSE00003486435	105
ENSE00003567427	105
ENSE00001671494	105
ENSE00003601151	105
ENSE00001785375	105
ENSE00003526116	105
ENSE00003829339	105
ENSE00001062417	105
ENSE00003683511	105
ENSE00003498320	105
ENSE00002267420	105
ENSE00003515639	105
ENSE00003686254	105
ENSE00001738500	105
ENSE00003628237	105
ENSE00000960298	105
ENSE00003458507	105
ENSE00003632285	105
ENSE00003784171	105
ENSE00003610005	105
ENSE00003608141	105
ENSE00002696316	105
ENSE00003474911	105
ENSE00003528082	105
ENSE00003685671	105
ENSE00003611369	105
ENSE00003479921	105
ENSE00003633603	105
ENSE00003469445	105
ENSE00003620243	105
ENSE00003634212	105
ENSE00001100648	105
ENSE00003466526	105
ENSE00000682158	105
ENSE00000938429	105
ENSE00003661994	105
ENSE00000691493	105
ENSE00003660987	105
ENSE00003606190	105
ENSE00001711680	104
ENSE00003561166	104
ENSE00001229851	104
ENSE00003736880	104
ENSE00002711149	104
ENSE00003559764	104
ENSE00003555489	104
ENSE00003618755	104
ENSE00002407519	104
ENSE00003611479	104
ENSE00003657247	104
ENSE00003509341	104
ENSE00003658479	104
ENSE00003495643	104
ENSE00003520944	104
ENSE00003786264	104
ENSE00003590542	104
ENSE00003520839	104
ENSE00003805942	104
ENSE00003487613	104
ENSE00003647323	104
ENSE00001621477	104
ENSE00003706555	104
ENSE00000874404	104
ENSE00002185937	104
ENSE00003561778	104
