Interaction Term	K562 - # Interaction Rows	K562 - Mean PSI (Interaction Rows)	K562 - # Single Binders	K562 - Mean PSI (Single Binders)	K562 - Difference in Mean PSI(Interaction - Single)	K562 - Interaction Beta Coefficient	K562 - Interaction P-value	HepG2 - # Interaction Rows	HepG2 - Mean PSI (Interaction Rows)	HepG2 - # Single Binders	HepG2 - Mean PSI (Single Binders)	HepG2 - Difference in Mean PSI(Interaction - Single)	HepG2 - Interaction Beta Coefficient	HepG2 - Interaction P-value
CPSF6-2_TAF15-1_interaction	0.0		8844.0	0.6933668588873814										
CPSF6-2_TAF15-2_interaction	0.0		8781.0	0.6960011957635804										
CPSF6-2_TAF15-3_interaction	0.0		9316.0	0.6932795191069127										
CPSF6-2_TAF15-4_interaction	0.0		9254.0	0.6938677328722714										
CPSF6-2_TAF15-5_interaction	0.0		9516.0	0.690282471626734										
CPSF6-2_TAF15-6_interaction	0.0		8653.0	0.6925238645556456										
CPSF6-3_NONO-1_interaction	0.0		12116.0	0.6777231346979201										
CPSF6-3_NONO-2_interaction	110.0	0.9558454545454546	19822.0	0.6115890172535566	0.3442564372918979	0.36559691214366463	3.169625935936562e-27							
CPSF6-3_NONO-3_interaction	380.0	0.8152657894736843	18799.0	0.62945986488643	0.1858059245872543	0.20377400631850404	9.324492721412019e-27							
CPSF6-3_NONO-4_interaction	380.0	0.8152657894736843	15945.0	0.5429190655377861	0.2723467239358982	0.3209568521073342	1.302289165747506e-63							
CPSF6-3_NONO-5_interaction	490.0	0.7941357142857143	20948.0	0.6583529931258354	0.13578272115987888	0.144187475158153	2.667855174504182e-17							
CPSF6-3_NONO-6_interaction	110.0	0.7211409090909091	13927.0	0.6630797012996338	0.05806120779127533	0.07146722563217306	0.03505651020161889							
CPSF6-3_RBM15-1_interaction	17.0	0.9726470588235294	35536.0	0.6640811008554706	0.30856595796805886	0.30515538934723163	0.00031937692000336316							
CPSF6-3_RBM15-2_interaction	273.0	0.3698406593406594	91782.0	0.7058774432895337	-0.3360367839488743	-0.374197003344143	2.244346258184034e-65							
CPSF6-3_RBM15-3_interaction	171.0	0.9786754385964912	29273.0	0.7900925255354764	0.18858291306101482	0.17487830181978362	1.6230353920507258e-10							
CPSF6-3_RBM15-4_interaction	224.0	0.9675312499999998	47899.0	0.8395539990396458	0.12797725096035406	0.11535995076097043	1.571507117543078e-06							
CPSF6-3_RBM15-5_interaction	5.0	0.9989000000000001	47726.0	0.7324088966181955	0.2664911033818046	0.25274779646182044	0.1054321620497755							
CPSF6-3_RBM15-6_interaction	809.0	0.3862317676143387	72754.0	0.7149771902575802	-0.3287454226432415	-0.4275061001119482	3.999414168669671e-210							
CPSF6-3_TAF15-1_interaction	0.0		4186.0	0.737782011466794										
CPSF6-3_TAF15-2_interaction	0.0		4123.0	0.7440711860295901										
CPSF6-3_TAF15-3_interaction	0.0		4658.0	0.733106698153714										
CPSF6-3_TAF15-4_interaction	0.0		4596.0	0.7348283289817232										
