Cell Line	Data Mode	Feature	Zero Cutoff	% Non Zero
HepG2	All-Data	FKBP4_1_shap	1e-08	0.0
HepG2	All-Data	FKBP4_1_shap	1e-07	0.0
HepG2	All-Data	FKBP4_1_shap	1e-06	0.0
HepG2	All-Data	FKBP4_1_shap	1e-05	0.0
HepG2	All-Data	FKBP4_1_shap	0.0001	0.0
HepG2	All-Data	FKBP4_1_shap	0.001	0.0
HepG2	All-Data	FKBP4_1_shap	0.01	0.0
HepG2	All-Data	FKBP4_1_shap	0.05	0.0
HepG2	All-Data	FKBP4_1_shap	0.1	0.0
HepG2	All-Data	FTO_1_shap	1e-10	100.0
HepG2	All-Data	FTO_1_shap	1e-09	100.0
HepG2	All-Data	FTO_1_shap	1e-08	100.0
HepG2	All-Data	FTO_1_shap	1e-07	100.0
HepG2	All-Data	FTO_1_shap	1e-06	100.0
HepG2	All-Data	FTO_1_shap	1e-05	99.7137561888475
HepG2	All-Data	FTO_1_shap	0.0001	1.0741940309116158
HepG2	All-Data	FTO_1_shap	0.001	0.30758850569103446
HepG2	All-Data	FTO_1_shap	0.01	0.019732172883538807
HepG2	All-Data	FTO_1_shap	0.05	0.0
HepG2	All-Data	FTO_1_shap	0.1	0.0
HepG2	All-Data	FUBP3_1_shap	1e-10	100.0
HepG2	All-Data	FUBP3_1_shap	1e-09	100.0
HepG2	All-Data	FUBP3_1_shap	1e-08	100.0
HepG2	All-Data	FUBP3_1_shap	1e-07	100.0
HepG2	All-Data	FUBP3_1_shap	1e-06	100.0
HepG2	All-Data	FUBP3_1_shap	1e-05	100.0
HepG2	All-Data	FUBP3_1_shap	0.0001	17.698273859220496
HepG2	All-Data	FUBP3_1_shap	0.001	0.02159930322090592
HepG2	All-Data	FUBP3_1_shap	0.01	0.02159930322090592
HepG2	All-Data	FUBP3_1_shap	0.05	0.008741564761309665
HepG2	All-Data	FUBP3_1_shap	0.1	0.007298782227889623
HepG2	All-Data	FUS_1_shap	1e-10	100.0
HepG2	All-Data	FUS_1_shap	1e-09	100.0
HepG2	All-Data	FUS_1_shap	1e-08	100.0
HepG2	All-Data	FUS_1_shap	1e-07	100.0
HepG2	All-Data	FUS_1_shap	1e-06	100.0
HepG2	All-Data	FUS_1_shap	1e-05	99.79888035831928
HepG2	All-Data	FUS_1_shap	0.0001	0.03432973733931805
HepG2	All-Data	FUS_1_shap	0.001	0.03432973733931805
HepG2	All-Data	FUS_1_shap	0.01	0.03432973733931805
HepG2	All-Data	FUS_1_shap	0.05	0.021875129293471515
HepG2	All-Data	FUS_1_shap	0.1	0.0
HepG2	All-Data	FXR2_1_shap	1e-10	100.0
HepG2	All-Data	FXR2_1_shap	1e-09	100.0
HepG2	All-Data	FXR2_1_shap	1e-08	100.0
HepG2	All-Data	FXR2_1_shap	1e-07	100.0
HepG2	All-Data	FXR2_1_shap	1e-06	99.99726295666454
HepG2	All-Data	FXR2_1_shap	1e-05	94.99365069598345
HepG2	All-Data	FXR2_1_shap	0.0001	1.2598461951384594
HepG2	All-Data	FXR2_1_shap	0.001	1.09789385576206
HepG2	All-Data	FXR2_1_shap	0.01	0.12420660221530772
HepG2	All-Data	FXR2_1_shap	0.05	0.0
HepG2	All-Data	FXR2_1_shap	0.1	0.0
HepG2	All-Data	G3BP1_1_shap	1e-10	100.0
HepG2	All-Data	G3BP1_1_shap	1e-09	100.0
HepG2	All-Data	G3BP1_1_shap	1e-08	99.99639304366646
