Data Partition	Model	Cell Line	Feature Pair	# Rows - Both Bound	# Rows - Either Bound	R2 - Both	R2 - Either	Difference R2 - (Both vs. Either)
All	xgboost	HepG2	CDC40_4-DKC1_5	153	6849	0.9969548806182054	0.3473768347866464	0.649578045831559
All	xgboost	HepG2	DROSHA_3-SRSF7_3	299	9548	0.9395830033985914	0.2905769265471031	0.6490060768514883
All	xgboost	K562	FAM120A_5-FTO_3	891	6699	0.7873499018297906	0.13853005563622645	0.6488198461935641
All	xgboost	K562	EIF4E_3-FTO_4	308	9863	0.730710068271278	0.08192210779775277	0.6487879604735253
All	xgboost	HepG2	TARDBP_5-XRN2_4	313	20529	0.9523418378391898	0.30449487382397367	0.6478469640152161
All	xgboost	K562	FAM120A_6-MORC2_3	68	5706	0.9532149421448072	0.3085747741153434	0.6446401680294638
All	xgboost	K562	NCBP2_2-SRSF9_1	620	6448	0.8216736122644035	0.17734802328584198	0.6443255889785615
All	xgboost	HepG2	SMNDC1_2-SMNDC1_3	735	2378	0.8436495627276086	0.19971740282035577	0.6439321599072528
All	xgboost	HepG2	RPS3_4-XRN2_1	554	38136	0.8075534111305366	0.164952701426355	0.6426007097041816
All	xgboost	HepG2	AQR_4-PCBP1_4	1156	146280	0.8734559802386392	0.23102443274248408	0.6424315474961552
All	xgboost	HepG2	DKC1_5-TARDBP_5	367	19816	0.8882034809757948	0.24590234609340522	0.6423011348823896
All	xgboost	K562	DDX52_4-ELAC2_4	82	9730	0.9376582938706803	0.2968037868806591	0.6408545069900212
All	xgboost	K562	LIN28B_4-UPF1_4	579	61659	0.8835685061108628	0.24536582871641044	0.6382026773944524
All	xgboost	HepG2	SUB1_6-U2AF1_2	808	36819	0.9509092460792985	0.31326762199836644	0.6376416240809321
All	xgboost	K562	RPS3_3-ZNF800_4	982	30596	0.5490241567370128	-0.08726413642278663	0.6362882931597994
All	xgboost	K562	DHX30_2-PRPF8_3	43	140720	0.9799543123802799	0.3436955834834684	0.6362587288968115
All	xgboost	HepG2	NCBP2_6-TIA1_1	271	50066	0.9699467220687492	0.33378011595399126	0.636166606114758
All	xgboost	HepG2	GTF2F1_2-RBM5_3	145	29290	0.9947213825585925	0.3586539350743355	0.636067447484257
All	xgboost	K562	FXR2_3-MTPAP_3	215	26774	0.9320902776310471	0.2962368912988067	0.6358533863322404
All	xgboost	K562	DHX30_2-FTO_4	235	8270	0.6375695444049199	0.001769973438804806	0.6357995709661151
All	xgboost	K562	EIF3G_3-EIF4E_3	415	3562	0.46879731656050505	-0.16692623917221305	0.6357235557327181
All	xgboost	K562	EXOSC10_1-PUM1_4	589	28652	0.9061545398000653	0.2707512299798107	0.6354033098202546
