Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	% Rows - RBP 1 Bound	% Rows - RBP 2 Bound	% Rows - PPI Interaction	Intercept Beta Coefficient	Intercept Param P-value	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 2 Beta Coefficient	RBP 2 Param P-value	Interaction Beta Coefficient	Interaction Param P-value
All	HepG2	HNRNPK-IGF2BP3	3	23611	90.52983778747195	9.588751005887087	0.11858879335902757	-107036580009.71591	0.7248004970903001	107036580010.37727	0.7248004970886706	107036580010.65308	0.7248004970879878	-107036580010.31804	0.7248004970888158
All	HepG2	HNRNPK-IGF2BP3	4	20342	71.6940320519123	28.659915445875527	0.35394749778782814	-411986299544.6298	0.15973571179928286	411986299545.273	0.15973571179862742	411986299545.5359	0.15973571179836368	-411986299545.1903	0.15973571179871457
All	HepG2	HNRNPK-IGF2BP3	6	17092	50.54996489585771	51.00046805523052	1.5504329510882284	-492898129075.0195	0.3270815273533966	492898129075.7599	0.3270815273526674	492898129075.77405	0.3270815273526536	-492898129076.0866	0.3270815273523442
All	HepG2	HNRNPK-LARP4	3	29331	72.87511506597116	29.126180491630016	2.0012955576011726	138549357063.48508	0.6817581517145732	-138549357062.81302	0.6817581517160312	-138549357062.6032	0.6817581517164905	138549357062.70084	0.6817581517162749
All	HepG2	HNRNPK-LARP4	4	32493	44.88351337211092	56.75376234881359	1.6372757209245068	12148458489.686232	0.9273757819479788	-12148458489.05274	0.9273757819517565	-12148458488.750034	0.9273757819535601	12148458489.067396	0.9273757819516681
All	HepG2	HNRNPK-LARP4	5	30211	55.1785773393797	45.55294429181424	0.731521631193936	151541746451.3042	0.34777278242713017	-151541746450.53436	0.347772782429583	-151541746450.57013	0.3477727824294726	151541746450.2681	0.34777278243042986
All	HepG2	HNRNPK-LARP4	6	37774	22.872875522846403	77.56393286387461	0.43680838672102507	368763873650.8867	0.33049969794666145	-368763873650.1499	0.3304996979476291	-368763873650.1748	0.3304996979475979	368763873650.136	0.33049969794764633
All	HepG2	HNRNPK-PCBP1	1	11495	83.32318399304044	22.714223575467596	6.037407568508047	-268522960590.24716	0.4486182990469183	268522960590.94034	0.44861829904574313	268522960591.13065	0.4486182990454207	-268522960590.98337	0.44861829904566874
All	HepG2	HNRNPK-PCBP1	2	13496	67.99792531120332	35.28452874925904	3.2824540604623595	-1024798327652.43	0.004340369146578322	1024798327653.1499	0.004340369146551383	1024798327653.1691	0.004340369146550353	-1024798327653.3154	0.004340369146545034
All	HepG2	HNRNPK-PCBP1	3	23972	89.16652761555147	15.926914733856165	5.093442349407643	42261024566.01541	0.8285387575430968	-42261024565.34622	0.8285387575457716	-42261024565.21525	0.8285387575462955	42261024565.06393	0.8285387575469008
All	HepG2	HNRNPK-PCBP1	4	18117	80.49897885963459	22.553402881271733	3.052381740906331	-178960589390.3331	0.6191268235778232	178960589390.98727	0.6191268235765404	178960589391.11768	0.6191268235762825	-178960589391.0436	0.6191268235764272
All	HepG2	HNRNPK-PCBP1	5	19031	87.5939257001734	15.27507750512322	2.8690032052966212	-224045191885.5141	0.2300581772618783	224045191886.24796	0.23005817726034689	224045191886.1694	0.23005817726050656	-224045191886.01523	0.23005817726083047
All	HepG2	HNRNPK-PCBP1	6	12897	66.99232379623167	35.64394820500892	2.6362720012405987	160319460346.898	0.5427357213880715	-160319460346.1733	0.5427357213899004	-160319460346.18134	0.5427357213898782	160319460346.34375	0.5427357213894664
All	HepG2	HNRNPK-QKI	3	44036	48.53983104732492	52.761377055136705	1.3012081024616222	219273360992.84058	0.16183192322758377	-219273360992.1764	0.1618319232288586	-219273360992.29974	0.16183192322862347	219273360992.07434	0.16183192322905413
All	HepG2	HNRNPK-U2AF2	1	73786	12.980782262217765	87.49356246442414	0.4743447266419104	-108449948674.47041	0.330820363148843	108449948675.1672	0.3308203631457325	108449948675.15997	0.33082036314576213	-108449948674.8909	0.3308203631469616
All	HepG2	HNRNPK-U2AF2	2	151920	6.040679304897314	94.06661400737231	0.10729331226961558	-42723038745.31578	0.6956594948754485	42723038746.01229	0.6956594948707283	42723038745.99319	0.6956594948708623	-42723038745.72748	0.6956594948726604
All	HepG2	HNRNPK-U2AF2	3	122552	17.441575820876036	83.8305372413343	1.2721130622103272	-79223934937.2052	0.38919314060649934	79223934937.86768	0.38919314060252885	79223934937.89548	0.38919314060236243	-79223934937.9541	0.38919314060201193
All	HepG2	HNRNPK-U2AF2	5	137990	12.080585549677512	88.48974563374158	0.5703311834190883	-327713217592.8388	0.26899057497419526	327713217593.6048	0.26899057497307505	327713217593.4775	0.26899057497326023	-327713217593.4372	0.2689905749733192
All	HepG2	PCBP1-PTBP1	3	14898	25.62760102027118	76.5606121627064	2.188213182977581	-91891980660.95921	0.7122125548622037	91891980661.65802	0.7122125548601073	91891980661.5397	0.7122125548604652	-91891980661.44312	0.7122125548607543
