,RBP,cell_line,Significant Events,AUROC,AUPRC,Sign Concordance
134,NOLC1 Position 5,HepG2,0,,,
135,DDX43 Position 2,HepG2,0,,,
136,NOLC1 Position 5,K562,0,,,
137,DDX43 Position 1,HepG2,0,,,
138,NOLC1 Position 6,HepG2,0,,,
139,EXOSC5 Position 6,K562,0,,,
140,NOLC1 Position 6,K562,0,,,
141,NPM1 Position 4,HepG2,0,,,
142,SRSF9 Position 1,HepG2,0,,,
143,EXOSC5 Position 5,K562,0,,,
144,SRSF9 Position 1,K562,0,,,
145,EXOSC5 Position 5,HepG2,0,,,
146,WDR43 Position 4,K562,0,,,
147,EXOSC5 Position 4,HepG2,0,,,
148,EXOSC5 Position 3,K562,0,,,
149,EXOSC5 Position 3,HepG2,0,,,
150,EXOSC5 Position 2,HepG2,0,,,
151,EXOSC5 Position 6,HepG2,0,,,
152,DDX6 Position 1,HepG2,0,,,
153,DDX6 Position 2,HepG2,0,,,
154,DROSHA Position 4,K562,0,,,
155,DDX6 Position 3,HepG2,0,,,
156,DDX6 Position 4,HepG2,0,,,
157,DDX6 Position 4,K562,0,,,
158,DDX6 Position 5,HepG2,0,,,
159,DDX6 Position 5,K562,0,,,
160,DDX6 Position 6,HepG2,0,,,
161,DDX43 Position 4,HepG2,0,,,
162,NOLC1 Position 1,HepG2,0,,,
163,NOLC1 Position 1,K562,0,,,
164,NOLC1 Position 2,HepG2,0,,,
165,NOLC1 Position 2,K562,0,,,
166,NOLC1 Position 3,HepG2,0,,,
167,DDX43 Position 6,HepG2,0,,,
168,NOLC1 Position 3,K562,0,,,
169,DDX43 Position 5,HepG2,0,,,
170,NOLC1 Position 4,HepG2,0,,,
171,DDX6 Position 6,K562,0,,,
172,PRPF8 Position 2,HepG2,0,,,
173,RPS6 Position 5,HepG2,0,,,
174,RPS6 Position 4,K562,0,,,
175,RPS6 Position 4,HepG2,0,,,
176,RPS6 Position 3,K562,0,,,
177,RPS6 Position 3,HepG2,0,,,
178,RPS6 Position 2,K562,0,,,
179,RPS6 Position 2,HepG2,0,,,
180,NPM1 Position 6,HepG2,0,,,
181,RPS6 Position 1,HepG2,0,,,
182,NIPBL Position 6,K562,0,,,
