RBP	Cell Line	Position	Positional Preference (%)	Avg. SHAP
FAM120A	HepG2	5	9.399146812620735	-0.013564900116646196
FAM120A	K562	5	13.96103896103896	0.320329876718196
FAM120A	HepG2	6	10.255352543464264	0.0
FAM120A	K562	6	47.22046246436491	-0.017661252383855346
FASTKD2	HepG2	1	19.2739921512665	0.0
FASTKD2	K562	1	20.388081154292664	-0.21070153973365235
FASTKD2	HepG2	2	28.7348376739208	0.019286989201323167
FASTKD2	K562	2	34.23627618994969	-0.00744763475403296
FASTKD2	HepG2	3	12.549054584373884	0.0
FASTKD2	K562	3	13.400409088396263	0.0
FASTKD2	HepG2	4	11.184445237245807	0.0
FASTKD2	K562	4	11.72535795234673	-0.031730575209524506
FASTKD2	HepG2	5	13.22021048876204	0.0
FASTKD2	K562	5	7.65658687600199	0.002543512297744082
FASTKD2	HepG2	6	15.037459864430966	0.0
FASTKD2	K562	6	12.593288739012658	0.0
FKBP4	HepG2	1	11.543986668965122	0.0
FKBP4	HepG2	2	57.46135723725795	-0.11918060544978928
FKBP4	HepG2	3	9.624777337240706	-0.4211916064222654
FKBP4	HepG2	4	14.870999253002356	0.0
FKBP4	HepG2	5	2.6087456185715103	0.0
FKBP4	HepG2	6	3.890133884962363	0.0
FMR1	K562	1	18.360121983131705	0.05238847355562889
FMR1	K562	2	19.734445137784576	0.0011067765470894858
FMR1	K562	3	14.766802874453994	0.8738250350241539
