Cell Line	Model	RBP Pair	Position	Same Pos. PPI R2	Single Binders R2	# Graphs (Same Pos. PPI)	# Graphs (Single Binders)	Difference
HepG2	xgboost	HNRNPK-LARP4	5	-3.7238190041884414	0.32701116666345964	160	5684	-4.050830170851901
K562	xgboost	IGF2BP2-PCBP1	1	-4.350738577455505	0.3399949144598948	88	4073	-4.690733491915401
K562	xgboost	RBFOX2-SF3B4	1	-5.115894125976208	0.2038863694207339	221	22532	-5.319780495396942
K562	xgboost	GTF2F1-PCBP1	4	-5.796397355165813	-0.12746572031682457	409	3270	-5.668931634848988
HepG2	xgboost	RBFOX2-SF3B4	6	-5.828768031625698	0.1499329604603209	508	13755	-5.978700992086019
K562	xgboost	PCBP1-RBFOX2	3	-5.788402466800209	0.31674988653336134	409	6400	-6.10515235333357
K562	xgboost	DDX42-U2AF2	4	-7.343394597580755	0.10598048106897662	21	14210	-7.449375078649731
K562	xgboost	MBNL1-RBFOX2	5	-9.686227663727061	-0.37322541048460267	212	3746	-9.313002253242459
HepG2	xgboost	HNRNPK-U2AF2	2	-10.600890090588624	0.2066022155188939	23	32664	-10.807492306107518
K562	xgboost	CPSF6-RBM15	4	-11.056353112544368	0.1490219506393229	32	9310	-11.205375063183691
K562	xgboost	CPSF6-RBM15	5	-13.430357697227477	0.2653984322067595	40	10793	-13.695756129434237
K562	xgboost	HNRNPK-QKI	3	-14.280776087075797	0.19394648972288053	90	4831	-14.474722576798678
K562	xgboost	EWSR1-NONO	2	-14.829044081065067	0.0735268123828936	447	3698	-14.902570893447962
K562	xgboost	PCBP1-QKI	3	-15.605592198357606	0.03160901907252012	90	4130	-15.637201217430126
K562	xgboost	MBNL1-RBFOX2	1	-16.66088939591122	-0.6829501672851472	43	1515	-15.977939228626072
K562	xgboost	HNRNPK-U2AF2	1	-18.3030350312532	0.15365405400330956	44	7501	-18.456689085256507
HepG2	xgboost	U2AF1-U2AF2	1	-18.95549648103004	0.25274550810677965	546	13764	-19.20824198913682
K562	xgboost	RBM22-TIA1	1	-19.786089951170528	0.20966851734427905	349	7451	-19.995758468514808
HepG2	xgboost	FUBP3-RBFOX2	6	-26.99034409145824	0.08842942581023205	29	4956	-27.078773517268473
K562	xgboost	RBFOX2-SF3B4	6	-35.526956572535546	0.17874713755498184	153	36741	-35.705703710090525
K562	xgboost	FXR1-FXR2	6	-37.346565098588016	0.36944201499622187	1363	6161	-37.71600711358424
