,RBP,Cell Line,Significant Events,AUROC,AUPRC,Sign Concordance
57,NCBP2 Position 2,HepG2,21,0.5741932821655524,0.04605960178441425,28.57142857142857
58,U2AF1 Position 1,K562,20,0.46327433628318593,0.07691216011810251,30.0
59,SRSF1 Position 6,K562,20,0.47172236503856035,0.059176911434669854,30.0
60,HNRNPK Position 2,HepG2,19,0.5475217169136433,0.17667285241092695,68.42105263157895
61,QKI Position 3,HepG2,19,0.588626739261948,0.22529398273127382,84.21052631578947
62,SF3B4 Position 6,K562,19,0.5389473684210526,0.11520435756377571,31.57894736842105
63,KHSRP Position 5,K562,19,0.663022813688213,0.11740500715711416,84.21052631578947
64,DDX3X Position 1,HepG2,18,0.4623049847792998,0.014094330399116173,38.88888888888889
65,EFTUD2 Position 1,K562,18,0.5285571142284569,0.038436170331427134,94.44444444444444
66,UCHL5 Position 2,K562,17,0.6133185937159407,0.015155606392188381,70.58823529411765
67,DDX3X Position 5,HepG2,17,0.5363469251336899,0.05016449180196622,17.647058823529413
68,AQR Position 2,HepG2,17,0.5944168014896669,0.0138112237588735,41.17647058823529
69,AQR Position 1,HepG2,17,0.5044880849318814,0.01337148725559359,35.294117647058826
70,KHSRP Position 2,HepG2,17,0.4016840607210626,0.06283868186611107,100.0
71,SRSF1 Position 1,K562,17,0.4912031277767905,0.05207910975334157,29.411764705882355
72,U2AF2 Position 6,HepG2,16,0.2838799504950495,0.05067525931009924,25.0
73,AQR Position 3,HepG2,16,0.47021713615023475,0.02192779975626161,62.5
74,HNRNPK Position 3,HepG2,16,0.5039970930232558,0.17761562637041406,75.0
75,TIA1 Position 2,HepG2,16,0.42555732484076436,0.08843077334003446,100.0
76,BCLAF1 Position 3,HepG2,15,0.7348004094165814,0.03377821689543418,53.333333333333336
77,AQR Position 4,HepG2,15,0.49887701999452205,0.027605652390385975,73.33333333333333
78,RBM15 Position 4,K562,15,0.3110416666666666,0.03527037860512028,66.66666666666666
79,PPIG Position 5,HepG2,15,0.4557415406767459,0.0736575054297528,73.33333333333333
80,NCBP2 Position 1,HepG2,15,0.5612244897959183,0.05771553416238252,53.333333333333336
81,KHSRP Position 2,K562,15,0.655328798185941,0.027406446162042367,86.66666666666667
82,RBM22 Position 6,HepG2,15,0.7728813559322034,0.11849195555687056,40.0
83,PPIG Position 2,HepG2,14,0.42845784957092375,0.0042380980077233316,64.28571428571429
84,HNRNPK Position 4,HepG2,14,0.5339285714285714,0.16446565907752944,50.0
85,TIAL1 Position 4,HepG2,14,0.444078947368421,0.13280381344007247,35.714285714285715
86,SRSF1 Position 5,HepG2,14,0.3485023041474654,0.08349616683688901,85.71428571428571
87,SRSF1 Position 6,HepG2,13,0.4886877828054299,0.0995780869611111,7.6923076923076925
88,GRWD1 Position 2,HepG2,13,0.6127922971114168,0.014676836359229662,61.53846153846154
89,AQR Position 6,HepG2,13,0.7765914422065842,0.175261374373794,38.46153846153847
90,SRSF1 Position 3,K562,13,0.41374904165601833,0.04332107562365477,84.61538461538461
91,KHSRP Position 3,HepG2,12,0.4672619047619048,0.09219361779669785,75.0
92,SRSF1 Position 4,HepG2,12,0.6684587813620072,0.12438049456133213,16.666666666666664
93,BUD13 Position 5,K562,12,0.5636760752688172,0.013483368227562865,33.33333333333333
94,SRSF1 Position 1,HepG2,12,0.5776289682539681,0.08911187949001159,33.33333333333333
95,QKI Position 5,HepG2,12,0.5677655677655677,0.1579982056221441,16.666666666666664
96,UCHL5 Position 5,K562,11,0.5114018463043346,0.00935909990693902,63.63636363636363
97,PRPF8 Position 1,HepG2,11,0.5536578805809576,0.05977778832906078,27.27272727272727
98,GRWD1 Position 5,HepG2,11,0.42117926716140996,0.009003526421803264,54.54545454545454
99,RBM22 Position 2,K562,11,0.6749882242110221,0.042684740850893695,72.72727272727273
100,TIA1 Position 2,K562,11,0.5390830267997898,0.024655604626107434,54.54545454545454
101,RBFOX2 Position 5,HepG2,10,0.4252747252747253,0.18292375841850128,30.0
102,PPIG Position 4,HepG2,10,0.4713094654242276,0.00918067870110871,20.0
103,PPIG Position 6,HepG2,10,0.42868793040956876,0.0037201899829874797,40.0
104,PPIG Position 1,HepG2,10,0.6015743756786102,0.008108517696761845,60.0
105,GRWD1 Position 6,HepG2,10,0.5542908530318602,0.005964465171877473,80.0
106,GRWD1 Position 1,HepG2,10,0.5703231821006838,0.013467028788787652,40.0
107,PTBP1 Position 3,K562,10,0.7090909090909092,0.29705102400695527,90.0
108,AGGF1 Position 5,K562,10,0.2846938775510204,0.1243145027636112,0.0
109,KHSRP Position 3,K562,10,0.4092307692307693,0.008917122802896945,40.0
110,KHSRP Position 4,HepG2,10,0.46139240506329116,0.10662303070503465,70.0
111,AKAP8L Position 2,K562,10,0.6803418803418804,0.14272160404056955,40.0
112,BCLAF1 Position 4,HepG2,10,0.6457954994078168,0.0068349407444214276,70.0
113,U2AF2 Position 4,K562,10,0.6256637168141592,0.15955109634163772,80.0
