Plot Type	Cell Line	PPI Source	PPI Type	Curve	AUC	ROC Input Table: # INTER-RBP Interaction Features (Rows)	# Rows as % of All INTER-RBP Interaction Effects	ROC Input Table: # True PPIs	% Rows w/ True PPI	# Rows w/ 0 Abs. SHAP Value	% Rows w/ 0 Abs. SHAP Value	Abs. SHAP - Min Val	Abs. SHAP - 50th Percentile	Abs. SHAP - 75th Percentile	Abs. SHAP - 90th Percentile	Abs. SHAP - 95th Percentile	Abs. SHAP - 99th Percentile	Abs. SHAP - Max Val	Partial AUC @ FPR=0.01	Partial AUC @ FPR=0.025	Partial AUC @ FPR=0.05	Partial AUC @ FPR=0.1	Partial AUC @ FPR=0.2	Partial AUC @ FPR=0.3	Partial AUC @ FPR=0.4	Partial AUC @ FPR=0.5
RBP-SPECIFIC_MAX_VALUE	K562	Rec-Y2H/Street et al. IP-MS (Union)	Different-Position	roc	0.5778603276869906	4214	1.220472897044683	138	3.2747982914095872	1880	44.61319411485524	0.0	0.0002479025424690917	0.013910312904044986	0.06616396456956866	0.1378908224403858	0.3303318119049066	1.3102924823760986	0.5014647414655734	0.5024024366246959	0.5069159766006632	0.5184402530411877	0.5401887092109817	0.5489807050524267	0.5544643841290836	0.5599929835540195
FEATURE-SPECIFIC	HepG2	Street et al | IP/SEC-MS (Both)	Different-Position	roc	0.576070832037831	30295	15.41259666259666	230	0.7592011883149035	27749	91.5959729328272	0.0	0.0	0.0	0.0	0.009689075127243983	0.09328296944499051	1.0526175498962402	0.501793524997056	0.5134471532556365	0.5254651710591377	0.5473330515842213	0.5640869016429101	0.5695942225964583	0.5722790415613132	0.5738238450887834
RBP-SPECIFIC_SUM_VALUE	K562	Street et al | IP-MS	All-Positions	roc	0.5751119632560203	3068	0.8885645107102723	94	3.0638852672750976	1171	38.16818774445893	0.0	0.0031026269043650245	0.04517091049865485	0.2533001434598193	0.44779980909912076	1.0553846852316924	1.978657852851029	0.5020675642805019	0.5069831347393362	0.5102453671041003	0.527031962713807	0.542767022627945	0.5476384260868565	0.5546151754925668	0.5589959316439879
RBP-SPECIFIC_SUM_VALUE	K562	Street et al | IP/SEC-MS (Both)	All-Positions	roc	0.5707394019060138	3068	0.8885645107102723	25	0.8148631029986962	1171	38.16818774445893	0.0	0.0031026269043650245	0.04517091049865485	0.2533001434598193	0.44779980909912076	1.0553846852316924	1.978657852851029	0.49748743718592964	0.5014114152838846	0.5069440582421194	0.5296193161180968	0.5382188629641801	0.5442732597475402	0.5556975024646731	0.5656566984335634
RBP-SPECIFIC_SUM_VALUE	HepG2	Street et al | IP-MS	Same-Position	roc	0.5700542740841248	1524	0.7753357753357754	50	3.2808398950131235	1159	76.0498687664042	0.0	0.0	0.0	0.0716944456100464	0.17037434838712204	0.44033757774159293	0.8527745737228543	0.5007193361652224	0.5105439431152637	0.5246425216574471	0.5416982075269585	0.5499020051258857	0.5590834018699805	0.5636312761934459	0.5662480531118707
RBP-SPECIFIC_MAX_VALUE	K562	Street et al | IP-MS	All-Positions	roc	0.5700360571763797	3068	0.8885645107102723	94	3.0638852672750976	1171	38.16818774445893	0.0	0.0024595700670033693	0.024342092219740152	0.11217335015535358	0.20713176056742683	0.3911331412196156	1.3102924823760986	0.504044856197311	0.5076605199094187	0.5121127971791166	0.5159467155060167	0.531842954144747	0.5404589743007049	0.5461899851908025	0.5522137484678085
FEATURE-SPECIFIC	HepG2	Street et al | IP/SEC-MS (Both)	All-Positions	roc	0.5673114576445522	36596	18.618233618233617	300	0.819761722592633	33452	91.40889714722921	0.0	0.0	0.0	0.0	0.011691467836499214	0.10680827349424371	1.0526175498962402	0.500878317086867	0.5084180795689265	0.519040029840118	0.5393839104411899	0.5556654022950019	0.5610174497901997	0.5636265729441086	0.5651278222665115
RBP-SPECIFIC_MAX_VALUE	HepG2	Street et al | IP-MS	Same-Position	roc	0.5669063772048846	1524	0.7753357753357754	50	3.2808398950131235	1159	76.0498687664042	0.0	0.0	0.0	0.06613054573535919	0.13184615299105631	0.3728044226765632	0.8054162263870239	0.49748743718592964	0.5086203046905862	0.5226942212016839	0.530286367207027	0.5411201567917986	0.5529110550479409	0.5587126873196332	0.5620508572728838
FEATURE-SPECIFIC	K562	Street et al | IP-MS	Same-Position	roc	0.5615041635562096	10323	2.9897820873735794	376	3.642352029448804	7045	68.24566501985856	0.0	0.0	0.0003062732139369473	0.00806169528514147	0.026021628640592088	0.13317982941865952	0.7512881755828857	0.5031881577944202	0.5050435771750255	0.5102674836754822	0.5190047565647765	0.535638470180372	0.5459822646174076	0.5524376500618118	0.5561314148187887
FEATURE-SPECIFIC	K562	Rec-Y2H/Street et al. IP-MS (Union)	Same-Position	roc	0.560302630670369	14030	4.063415933919531	568	4.048467569493941	10239	72.97933000712759	0.0	0.0	0.000031904321076581255	0.005723872547969226	0.019419307354837635	0.117003670707345	0.7512881755828857	0.5018139624574165	0.5042303793707181	0.5083724560697825	0.5184369279741818	0.5372700680219915	0.5479752955561378	0.5530854791175218	0.5560258001205337
RBP-SPECIFIC_MAX_VALUE	K562	Street et al | IP/SEC-MS (Both)	All-Positions	roc	0.5565560302333223	3068	0.8885645107102723	25	0.8148631029986962	1171	38.16818774445893	0.0	0.0024595700670033693	0.024342092219740152	0.11217335015535358	0.20713176056742683	0.3911331412196156	1.3102924823760986	0.5083402553351708	0.5134115650361694	0.5176891899862652	0.5181624781638619	0.525964873845255	0.5283447062689683	0.5333675649030563	0.5465790338481761
