feature,AUROC,AUPRC,total_events,num_significant
HNRNPM_6,0.5,0.018418201516793065,923,17
NSUN2_1,0.5,0.009852216748768473,203,2
NSUN2_2,0.5,0.03169014084507042,284,9
NSUN2_3,0.5,0.0321285140562249,249,8
NSUN2_5,0.31373322809786897,0.031473894720291426,188,7
PCBP2_1,0.45563653276670124,0.02260642474663864,9163,239
PCBP2_2,0.37115544059500793,0.02552498024557759,13208,450
PCBP2_3,0.6312617427219811,0.05615100520351227,9694,409
PCBP2_4,0.32645788025570055,0.022756506686856668,7843,256
PCBP2_5,0.28889360279107373,0.015429374199310217,6618,155
PCBP2_6,0.6255165478887986,0.032846113066314755,11103,251
RBM15_1,0.5123485148054243,0.018370054692249192,3359,52
RBM15_2,0.713365475698202,0.032752416542174395,4744,73
RBM15_3,0.5,0.019268774703557312,2024,39
RBM15_4,0.768656462585034,0.10983378250207841,1715,35
RBM15_5,0.6358764077887584,0.1595869624993549,3646,132
RBM15_6,0.40302495627621493,0.026829517833895308,3800,123
DROSHA_1,0.4513408915724563,0.0340824553463131,2892,112
DROSHA_2,0.4207690329218108,0.033072077917355114,2526,96
DROSHA_3,0.345038070969748,0.04393206387387993,3080,182
DROSHA_4,0.5448401162790697,0.12573567599319424,1481,105
DROSHA_5,0.44505954196085784,0.054559584374110064,1526,89
DROSHA_6,0.5185823754789272,0.0182723200112664,1033,18
UCHL5_1,0.34749437015857,0.02085408335358625,17491,517
UCHL5_2,0.7081400190340232,0.08722433596506314,22058,576
UCHL5_3,0.25673875295974746,0.007708136984268781,12820,150
UCHL5_4,0.3724548019087475,0.011050627012147322,14822,158
UCHL5_5,0.35299288363091436,0.015554319553241581,18059,394
UCHL5_6,0.7433551941072081,0.054757273444226456,20833,497
DDX52_2,0.825626204238921,0.010752688172043012,520,1
DDX52_3,0.5,0.06870229007633588,262,18
DDX52_5,0.6052158273381295,0.011780753968253968,280,2
SRSF9_1,0.3975614856951648,0.039503108953469424,2909,129
SRSF9_2,0.5,0.017699115044247787,3164,56
SRSF9_3,0.46419977962175896,0.017930678681173227,1674,27
SRSF9_4,0.4310284310284311,0.013365762291438668,2424,37
SRSF9_5,0.5,0.04472532814778804,2057,92
SRSF9_6,0.6789952464006018,0.060252821585901284,2247,81
XPO5_1,0.5,0.027888446215139442,3012,84
XPO5_2,0.4678724012969674,0.018831143255773237,5007,107
XPO5_3,0.45927965170922475,0.02956545858903742,4191,137
