feature,AUROC,AUPRC,total_events,num_significant
AGGF1_4,0.48914210863967206,0.01623473383349737,5866,97
AGGF1_5,0.4969031016264626,0.027135554095132363,4957,136
AGGF1_6,0.5826859097954709,0.020516996513968246,5968,90
KHSRP_1,0.40171483571216465,0.013826307834386941,46630,836
KHSRP_2,0.38525749918992636,0.01847475218732285,58313,1406
KHSRP_3,0.42964573376299553,0.021797616590012944,53922,1402
KHSRP_4,0.37474473297902844,0.0135873223902096,54598,999
KHSRP_5,0.3993139776923915,0.01798900031556637,56688,1341
KHSRP_6,0.37734622073003854,0.013128744329255154,53644,956
GRWD1_1,0.35266818697623314,0.010043762904284935,36416,510
GRWD1_2,0.457406942692444,0.016169900245737334,45412,761
GRWD1_3,0.4115979274261762,0.012604990699273833,31792,324
GRWD1_4,0.3659670985587422,0.011397841134406422,34670,325
GRWD1_5,0.37455288918675655,0.010823520141403638,46406,564
GRWD1_6,0.3695614840894776,0.010284365572848762,44670,624
YWHAG_1,0.7425558312655087,0.018024832041312028,811,5
YWHAG_2,0.454739336492891,0.011871235328679612,854,10
YWHAG_3,0.6195849467570184,0.022161935571868067,1049,16
YWHAG_4,0.5946351931330472,0.029569923508211554,947,15
YWHAG_5,0.5253453654188948,0.04982931335052332,1107,51
YWHAG_6,0.5,0.020202020202020204,297,6
SLTM_1,0.5198541747322235,0.038248467784888385,1489,54
SLTM_2,0.7200110468516473,0.1247223498355458,2908,110
SLTM_3,0.48369692704668077,0.015145802524851683,1940,29
SLTM_4,0.4845587373520334,0.026644420558840178,2021,52
SLTM_5,0.35472739820565913,0.014490970196482959,1145,18
SLTM_6,0.36883181493112777,0.020293979148871783,1138,29
YBX3_1,0.36297260353920713,0.008168931174680889,61180,682
YBX3_2,0.412014323607807,0.008111756012242684,67170,693
YBX3_3,0.6138439539037872,0.014293575844828536,63696,573
YBX3_4,0.651493970311947,0.022237188162524475,65105,739
YBX3_5,0.4088126535567205,0.008519559984863739,69971,772
