Feature,AUROC,AUPRC,Total Events,Num Significant
SFPQ_2_binding,0.041666666666666685,0.07692307692307693,13,1
SFPQ_3_binding,,,6,0
SFPQ_4_binding,,,5,0
SLTM_1_binding,,,11,0
SLTM_2_binding,,,20,0
SLTM_3_binding,,,6,0
SLTM_4_binding,,,11,0
SLTM_5_binding,,,2,0
SLTM_6_binding,,,4,0
SMNDC1_1_binding,,,14,0
SMNDC1_2_binding,,,9,0
SMNDC1_3_binding,0.4285714285714286,0.06666666666666667,15,1
SMNDC1_4_binding,,,5,0
SMNDC1_5_binding,,,42,0
SMNDC1_6_binding,,,1,0
SND1_1_binding,0.8560975609756097,0.04838709677419355,413,3
SND1_2_binding,,,540,0
SND1_3_binding,,,485,0
SND1_4_binding,,,595,0
SND1_5_binding,,,679,0
SND1_6_binding,,,650,0
SRSF1_1_binding,0.27890173410404623,0.056995225297141225,187,14
SRSF1_2_binding,0.4894291754756871,0.06612479872776639,323,22
SRSF1_3_binding,0.43730886850152906,0.05340049259470773,115,6
SRSF1_4_binding,0.3057017543859649,0.046009607990067175,202,12
SRSF1_5_binding,0.5230769230769231,0.10240416176986133,144,14
SRSF1_6_binding,0.2859216255442671,0.05359414156047369,172,13
SRSF9_1_binding,0.9444444444444445,0.7,29,2
SRSF9_2_binding,,,41,0
SRSF9_3_binding,0.5,0.1111111111111111,17,1
SRSF9_4_binding,,,29,0
SRSF9_5_binding,0.5,0.05,20,1
SRSF9_6_binding,0.7916666666666666,0.16666666666666666,25,1
SSB_1_binding,,,1,0
SSB_2_binding,,,2,0
SSB_3_binding,,,1,0
SSB_4_binding,,,7,0
SSB_5_binding,,,1,0
SSB_6_binding,,,5,0
SUB1_1_binding,,,110,0
SUB1_2_binding,,,146,0
SUB1_3_binding,,,131,0
SUB1_4_binding,,,124,0
SUB1_5_binding,0.5108695652173914,0.014503042596348884,232,2
SUB1_6_binding,0.4251968503937008,0.006802721088435374,255,1
SUGP2_1_binding,,,5,0
SUGP2_2_binding,,,2,0
SUGP2_3_binding,0.05555555555555558,0.05555555555555555,19,1
SUGP2_4_binding,,,10,0
SUGP2_5_binding,,,2,0
SUGP2_6_binding,,,1,0
SUPV3L1_1_binding,,,10,0
SUPV3L1_2_binding,,,46,0
SUPV3L1_3_binding,,,15,0
SUPV3L1_4_binding,,,27,0
SUPV3L1_5_binding,,,12,0
SUPV3L1_6_binding,0.3947368421052631,0.0779848171152519,41,3
TAF15_1_binding,,,7,0
TAF15_2_binding,,,4,0
TAF15_3_binding,,,4,0
TAF15_4_binding,,,4,0
TAF15_5_binding,0.5,0.3333333333333333,3,1
TAF15_6_binding,,,2,0
TARDBP_1_binding,,,49,0
TARDBP_2_binding,0.9876543209876543,0.5,82,1
TARDBP_3_binding,0.33333333333333337,0.02564102564102564,58,1
TARDBP_4_binding,0.36991869918699183,0.03615181734475709,85,3
TARDBP_5_binding,,,66,0
TARDBP_6_binding,,,50,0
TIA1_1_binding,,,10,0
TIA1_2_binding,0.32372754491017963,0.06570473378392527,183,16
TIA1_3_binding,0.0,0.06188905180840665,33,3
TIA1_4_binding,0.17484008528784648,0.03384338787079767,141,7
TIA1_5_binding,0.09459459459459457,0.04194078947368421,39,2
TIA1_6_binding,0.1936416184971098,0.010378510378510378,175,2
TIAL1_1_binding,1.0,1.0,16,1
TIAL1_2_binding,0.25091719077568136,0.04594518272687497,342,24
TIAL1_3_binding,0.5476190476190477,0.13333333333333333,23,2
TIAL1_4_binding,0.6138583638583639,0.08201192967925229,248,14
TIAL1_5_binding,,,49,0
TIAL1_6_binding,0.7121212121212122,0.09997957516339868,245,3
TRA2A_1_binding,,,98,0
TRA2A_2_binding,0.13086419753086415,0.016353187042842214,138,3
TRA2A_3_binding,,,80,0
TRA2A_4_binding,,,90,0
TRA2A_5_binding,,,120,0
TRA2A_6_binding,,,115,0
TROVE2_1_binding,,,2,0
TROVE2_2_binding,,,3,0
TROVE2_3_binding,,,2,0
TROVE2_4_binding,,,4,0
TROVE2_5_binding,,,8,0
TROVE2_6_binding,,,8,0
U2AF1_1_binding,0.4784278959810874,0.14526133569819003,165,24
U2AF1_2_binding,0.3238095238095238,0.06497473913263659,76,6
U2AF1_3_binding,0.39122807017543854,0.126182910373129,248,38
U2AF1_4_binding,0.23197674418604652,0.07213637249570182,96,10
U2AF1_5_binding,0.33328267477203644,0.11128231250022261,277,42
U2AF1_6_binding,0.6337209302325582,0.196062831497348,47,4
U2AF2_1_binding,0.5860024013499481,0.21294064463562026,1000,144
U2AF2_2_binding,0.4246715927750411,0.11074271551767284,227,24
U2AF2_3_binding,0.5459554262736879,0.15817748046032445,1399,194
U2AF2_4_binding,0.3465302091749708,0.13897802449938657,284,47
U2AF2_5_binding,0.40065294815987335,0.12883257128411574,1577,247
U2AF2_6_binding,0.45072115384615385,0.06575296827114038,224,16
UCHL5_1_binding,0.4307909604519774,0.023080950079807875,181,4
UCHL5_2_binding,0.2661764705882353,0.022087454471728354,263,8
UCHL5_3_binding,0.6981981981981982,0.06372793872793873,151,3
UCHL5_4_binding,,,170,0
UCHL5_5_binding,0.22857142857142854,0.010802801724137931,177,2
UCHL5_6_binding,0.24888888888888888,0.018080349375862392,230,5
UPF1_1_binding,,,29,0
UPF1_2_binding,0.09090909090909094,0.03225806451612903,34,1
UPF1_3_binding,,,18,0
UPF1_4_binding,,,29,0
UPF1_5_binding,0.44375,0.012345679012345678,81,1
UPF1_6_binding,0.2954876273653566,0.011835207802949738,232,3
UTP18_1_binding,,,3,0
UTP18_2_binding,,,2,0
UTP18_3_binding,,,7,0
UTP18_4_binding,,,1,0
UTP18_5_binding,,,4,0
UTP18_6_binding,,,4,0
XPO5_1_binding,,,33,0
XPO5_2_binding,,,41,0
XPO5_3_binding,,,44,0
XPO5_4_binding,,,35,0
XPO5_5_binding,,,35,0
XPO5_6_binding,0.9130434782608696,0.3333333333333333,24,1
XRCC6_1_binding,0.5,0.3333333333333333,3,1
XRCC6_3_binding,,,2,2
XRN2_1_binding,,,26,0
XRN2_2_binding,0.25153374233128833,0.008130081300813009,164,1
XRN2_3_binding,,,21,0
XRN2_4_binding,,,22,0
XRN2_5_binding,,,26,0
XRN2_6_binding,,,14,0
YBX3_1_binding,,,51,0
YBX3_2_binding,0.4666666666666667,0.024390243902439025,76,1
YBX3_3_binding,,,54,0
YBX3_4_binding,,,68,0
YBX3_5_binding,,,102,0
YBX3_6_binding,0.2941176470588235,0.01639344262295082,86,1
