Parameter Name	Beta_All Data_HepG2_All Pos. PPI	Beta_All Data_HepG2_Same Pos. PPI	Beta_All Data_K562_All Pos. PPI	Beta_All Data_K562_Same Pos. PPI	Beta_Train & Validate_HepG2_All Pos. PPI	Beta_Train & Validate_HepG2_Same Pos. PPI	Beta_Train & Validate_K562_Same Pos. PPI	P-value_All Data_HepG2_All Pos. PPI	P-value_All Data_HepG2_Same Pos. PPI	P-value_All Data_K562_All Pos. PPI	P-value_All Data_K562_Same Pos. PPI	P-value_Train & Validate_HepG2_All Pos. PPI	P-value_Train & Validate_HepG2_Same Pos. PPI	P-value_Train & Validate_K562_Same Pos. PPI
APOBEC3C-3_PCBP1-3_interaction			0.19752343253194551	0.20410434704571134			0.3337680692523818			0.31953518896468697	0.0008050523526979257			1.02944727145678e-07
APOBEC3C-3_PCBP1-4_interaction			0.4740333602219887							9.587921415028967e-06				
APOBEC3C-3_PCBP1-5_interaction			0.8994474229856375							0.0008219101284467383				
APOBEC3C-3_PCBP1-6_interaction			-0.39328158508048616							0.11797376163876415				
APOBEC3C-4_HNRNPK-1_interaction			-1.0210242441209375e-13							0.0015906990177368076				
APOBEC3C-4_HNRNPK-2_interaction			-0.1489555197603342							0.5212650615875896				
APOBEC3C-4_HNRNPK-3_interaction			-1.3583471721683942e-14							0.6140365719300781				
APOBEC3C-4_HNRNPK-4_interaction			0.08404844390552359	0.09519270471357649			0.07475703988897718			0.07253581419249179	0.04351263576858092			0.11132739549395239
APOBEC3C-4_HNRNPK-5_interaction			0.4318118388763473							0.045094896102479715				
APOBEC3C-4_HNRNPK-6_interaction			-0.013128320668713287							0.9524932529044914				
APOBEC3C-4_PCBP1-1_interaction			-0.3432581530215574							0.00038214522595334				
APOBEC3C-4_PCBP1-2_interaction			-0.0415202103523196							0.6124918520273592				
APOBEC3C-4_PCBP1-3_interaction			0.1723567961786967							0.11155150474265957				
APOBEC3C-4_PCBP1-4_interaction			0.01752093646269975	0.04896359290553201			0.02537411760754613			0.6803973691824485	0.08756856873040235			0.3820855232505992
APOBEC3C-4_PCBP1-5_interaction			-1.0393774330923682							0.0001589676702853369				
APOBEC3C-4_PCBP1-6_interaction			0.9866776252346395							1.193917357204646e-09				
APOBEC3C-5_HNRNPK-1_interaction			3.196513472860843e-14							0.01578188011878651				
APOBEC3C-5_HNRNPK-2_interaction			2.8787328670337133e-14							0.03811605735188717				
APOBEC3C-5_HNRNPK-3_interaction			-2.794915977496704e-14							0.007178458575036779				
APOBEC3C-5_HNRNPK-4_interaction			4.5028826386512316e-14							0.008272361142675948				
APOBEC3C-5_HNRNPK-5_interaction			-0.10814688761964318							0.4043675869369443				
APOBEC3C-5_HNRNPK-6_interaction			-2.9938986440764764e-16							0.9772942013101826				
APOBEC3C-5_PCBP1-1_interaction			0.7119985330577694							0.0025148726630116677				
APOBEC3C-5_PCBP1-2_interaction			-0.42832212164301514							0.00932754425380421				
APOBEC3C-5_PCBP1-3_interaction			1.263386256467144							8.272782324342299e-07				
APOBEC3C-5_PCBP1-4_interaction			0.7119985330576726							0.002514872663015638				
APOBEC3C-5_PCBP1-5_interaction			0.2679957161780807	-0.1982757811816851			-0.13424316465376437			0.000241729707800525	0.00032574663243660024			0.015557048175281946
APOBEC3C-5_PCBP1-6_interaction			-1.4436444194948448							8.476675840204745e-26				
APOBEC3C-6_HNRNPK-1_interaction			2.251416292021365e-13							6.233712797541478e-14				
APOBEC3C-6_HNRNPK-2_interaction			-2.7803579835319286e-14							0.004514940488123653				
APOBEC3C-6_HNRNPK-3_interaction			-5.5044692417998933e-14							3.862615042551154e-09				
APOBEC3C-6_HNRNPK-4_interaction			0.25690405152247753							0.04209801629711856				
APOBEC3C-6_HNRNPK-5_interaction			0.14875716390288618							0.06626315005467145				
APOBEC3C-6_HNRNPK-6_interaction			-0.35092982552887075							0.006209528211119293				
APOBEC3C-6_PCBP1-1_interaction			4.241970292733987e-14							2.9154836441305425e-05				
APOBEC3C-6_PCBP1-2_interaction			-0.04988623043439858							0.7056314949805724				
APOBEC3C-6_PCBP1-3_interaction			0.10359416076314588							0.0022220992153971185				
APOBEC3C-6_PCBP1-4_interaction			-0.6069869478409883							9.599874771281332e-106				
APOBEC3C-6_PCBP1-5_interaction			0.4198964635233679							5.942666007736168e-07				
APOBEC3C-6_PCBP1-6_interaction			0.08933234247821112	0.06841926422715229			0.07360205102510589			0.003185403546282687	0.006538515069078731			0.006025408275900609
APOBEC3C_1			-0.08705936618224289	-0.12651720451115883			-0.06775214647829852			4.3632024319495056e-32	1.1993055208185156e-73			3.401580337670398e-17
APOBEC3C_2			-0.04348895287927931	-0.034176473964624074			-0.03070096387614778			3.3461576395754075e-17	5.248106731489769e-12			1.3128197181137397e-07
APOBEC3C_3			0.018743293645703617	0.028660647803683954			0.052665277013178996			0.046700610980666794	0.0017830629389832663			1.9128997049791003e-06
APOBEC3C_4			0.0528464183042972	0.04795742819975816			0.043436271405113844			9.445837812460134e-20	1.9275970077552423e-17			1.389617478007482e-12
APOBEC3C_5			-0.017437867311598156	-0.0222881529339827			-0.08545455154634521			0.007587260673664286	0.00045124500808595293			2.6703219095416606e-29
APOBEC3C_6			0.004418136033584228	-0.0010796464933743065			0.012185694495631595			0.36350335107264187	0.8186999229635723			0.022737510294269195
AQR_1	0.0007791529733556899	0.0012421227278579458	0.0059185644253395555	0.006142044311311739	0.007931737545354128	0.012053589323317012	0.01220469649366861	0.5356186623484598	0.31766559465588884	8.609880190265351e-13	6.83154049767086e-14	1.3887239249489778e-08	2.3589543594526286e-18	2.935052757353287e-42
AQR_2	-0.022930089806524907	-0.020565205799000275	-0.037748979264488114	-0.03748481034138563	-0.020617800124312188	-0.021022122517432854	-0.035347580466522234	1.0296453224416192e-134	1.9802771628710325e-111	0.0	0.0	6.390300552302345e-91	7.744451215696431e-97	0.0
AQR_3	0.04435469635726752	0.04460691478285774	0.052265863974813136	0.05114941155631619	0.04922866814139968	0.05229065828196238	0.05352279694408532	9.062705363262107e-262	4.912510481923488e-272	0.0	0.0	4.2231355915996106e-268	0.0	0.0
AQR_4	0.08408224184035167	0.08378054658966283	0.11359132946455243	0.11342887415904807	0.09078280081115699	0.08910593184759713	0.1148814354122729	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AQR_5	-0.00698605561228587	-0.009058938670469972	-0.05468954591985264	-0.05441573343490676	-0.015476373149453961	-0.014123991603078175	-0.06008824031929844	4.040975530515164e-10	1.6785050420295127e-16	0.0	0.0	7.036536624798258e-36	4.194191755029097e-31	0.0
AQR_6	-0.021943736628825174	-0.021750344807722442	-0.009467157756852232	-0.010763251628995966	-0.015847578199448743	-0.017814713088444033	-0.008885058516840218	2.988921285913914e-100	7.722996983755819e-101	1.1170646742642733e-39	1.5655853544114642e-51	1.8998616198973065e-44	4.810700350518203e-57	6.1499833489969536e-30
BCCIP_1	-0.09303830654135929	-0.028116334113430955			0.024655614640250848	0.14803138695548523		0.004398166649931516	0.38781198530381866			0.5061663449657767	5.4593062433919624e-05	
BCCIP_2	0.05255875151370834	0.04830051202647479			-0.20058283595492313	-0.3255769582472925		0.05726194735828394	0.08189835489605284			0.002403842672187308	9.126719829132063e-07	
BCCIP_3	0.3794455924453405	0.29405600771299256			0.3097596181853355	0.18890930779120213		9.936507355228652e-43	5.885441510880273e-29			3.3979535441934644e-24	1.6748395506563505e-11	
BCCIP_4	0.21411994654496172	0.29295610616722145			-0.18917259274900203	-0.0064888295316086605		0.003354016902376476	6.694366317723249e-05			0.2857408904683615	0.9709434118316935	
BCCIP_5	0.14646032443747242	0.15952376560998566			0.11073783096471806	0.1453909481114089		4.5483022583474136e-12	1.1441824055481805e-14			4.91465490428411e-07	1.0777108010685965e-11	
