run_id	run_name	state	sweep_name	sweep_id	seed	type	n_jobs	distance	data_file	data_type	max_depth	objective	eval_metric	n_estimators	learning_rate	early_stopping_rounds	_runtime	_timestamp	test_r2	validate_r2
napy23zy	comic-puddle-194	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.4	100	22.952662305	1750118673.358208	0.2349575155447083	0.2437751407833788
p9wj9q6h	stoic-grass-199	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.05	100	249.112612657	1750118900.9157972	0.14864430608232015	0.18767183948313837
rh5k375g	rose-snowball-196	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.05	100	43.396715256	1750118694.9926343	0.19265128319683933	0.2686983853434671
6jbbwex4	radiant-voice-200	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.1	100	29.847089749	1750118681.4172423	0.22662989916728948	0.2190279457388743
wc11e16k	giddy-jazz-201	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.4	100	35.571441959	1750118687.506125	0.16797205489717548	0.25535487811037416
9vsyz2vy	lucky-thunder-202	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.05	100	55.438068319	1750118708.033394	0.20158506987024105	0.24363727755864795
43h62udb	stellar-resonance-203	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.4	100	13.004802812	1750118667.948465	0.22776540967592285	0.2150585045803547
gry90f3a	laced-gorge-205	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.4	100	22.479658033	1750118677.721891	0.20223888188106387	0.2146152229802073
v0y8eyrb	morning-pyramid-204	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.2	100	18.505827483	1750118673.4406404	0.2502049761333305	0.24790705916549116
9ub28v1q	spring-smoke-208	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.05	100	213.993343684	1750118869.2905736	0.19723979635008437	0.19272304469215704
atsikghl	magic-hill-206	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.05	100	310.73533641	1750118966.0320344	0.20028516373342545	0.24461577814533564
clynjh48	curious-glitter-207	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.05	100	214.834453675	1750118870.130485	0.20264442412764683	0.25765687565487316
mgssd002	peachy-eon-209	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.1	100	17.271864489	1750118673.1716783	0.16051156934327448	0.1926700388296908
vxn5pwfz	light-wildflower-210	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.1	100	15.236404953	1750118671.2726176	0.2230047561824926	0.24515824531877095
0ynwk643	elated-fire-211	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.05	100	313.126261854	1750118971.1712434	0.1613737130400016	0.2519495221550889
25y3d304	astral-lion-213	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.4	100	102.947890126	1750118760.884501	0.21874231391559595	0.2125361950700431
280mz66u	distinctive-jazz-212	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.4	100	113.219291254	1750118771.155279	0.17468663845347032	0.2548307836969961
dhit5nad	solar-disco-212	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.4	100	106.452286259	1750118764.3882103	0.2232624735755517	0.2717936526607949
favcyfg2	balmy-gorge-216	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.4	100	60.86517704	1750118718.9195416	0.1546024827681136	0.19341343236393171
qkwoidup	warm-disco-215	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.4	100	66.437563507	1750118724.4917526	0.19330153494026123	0.2081438442950095
zesdaq91	fresh-wind-217	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.4	100	70.723363537	1750118728.766946	0.20485017161466657	0.1857116713277623
6k08gu8q	splendid-grass-218	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.4	100	7.325342597	1750118688.893701	0.20207603513265449	0.21149052868490137
vbjmmoqs	fragrant-silence-219	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.4	100	10.78705347	1750118701.1010222	0.10033990671254024	0.18688934369774743
re3p553y	fine-totem-220	failed			150	ignore_pos_1_6	-1	100	K562_100_all-events_num-peaks-no-kd.feather	all-events	3	reg:logistic	['rmse', 'logloss']	100000	0.05	100				
9k1zogsy	eternal-blaze-221	finished			650	ignore_pos_1_6	-1	100	K562_100_all-events_num-peaks-no-kd.feather	all-events	5	reg:logistic	['rmse', 'logloss']	100000	0.05	100	326.265808933	1750119072.1977086	0.2878529242694292	0.2685345415334627
5nxgffkh	comfy-plasma-222	finished			150	ignore_pos_1_6	-1	100	K562_100_all-events_num-peaks-no-kd.feather	all-events	5	reg:logistic	['rmse', 'logloss']	100000	0.2	100	133.352583266	1750118882.1096272	0.2831824960867375	0.2291237771789163
o7rrji0p	fancy-waterfall-223	finished			650	ignore_pos_1_6	-1	100	K562_100_all-events_num-peaks-no-kd.feather	all-events	5	reg:logistic	['rmse', 'logloss']	100000	0.1	100	199.572617383	1750118950.9458685	0.29478729606414933	0.29790518474386674
