Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	# Rows - PPI Interaction	% Rows - PPI Interaction	# Rows - RBP 1 Bound	% Rows - RBP 1 Bound	# Rows - RBP 2 Bound	% Rows - RBP 2 Bound	Intercept Beta Coefficient	Intercept Param P-value	Intercept Param FDR BH	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 1 Param FDR BH	RBP 2 Beta Coefficient	RBP 2 Param P-value	RBP 2 Param FDR BH	Interaction Beta Coefficient	Interaction Param P-value	Interaction Param FDR BH
All	K562	APOBEC3C-HNRNPK	2	2252043	90	0.0039963712948642635	8089	0.3591849711573003	13004	0.5774312479823875	0.7211802500179291	0.0	0.0	-0.04099472682753601	9.346987072964091e-26	1.4868566309116623e-25	-0.005211572613560113	0.09045064141611159	0.09763929501337461	-0.45722395057682585	6.776266074815167e-35	1.1746795046944665e-34
All	K562	EWSR1-HNRNPK	2	2252043	230	0.010212948864653116	11644	0.5170416373044386	13004	0.5774312479823875	0.7213090926435111	0.0	0.0	-0.05400389726941678	3.7560546189089754e-61	7.49997335859692e-61	-0.012915872039170799	3.0033814368199464e-05	3.518653512710383e-05	0.2873585027520102	1.4528308461497243e-34	2.5114670291483345e-34
All	HepG2	PCBP1-PTBP1	5	2083000	156	0.007489198271723476	2907	0.13955832933269324	5389	0.2587133941430629	0.7055453418543903	0.0	0.0	0.01824200820013727	0.006884102857229731	0.007679378277559519	-0.023270547281490216	2.0166461461543033e-06	2.4223271493165394e-06	-0.3574975720038093	9.772029891848855e-34	1.6822045886246774e-33
All	K562	SF3B4-TAF15	5	2252043	177	0.007859530213233051	227853	10.117613207207855	914	0.04058537070562152	0.7224428207623309	0.0	0.0	-0.014272949981048107	1.673086090516784e-76	3.5409835751348374e-76	-0.10245164030101793	1.5523152613784325e-15	2.192756186358563e-15	0.3496264022880779	5.044660018121782e-33	8.659999697775726e-33
All	K562	RBM22-TIA1	5	2252043	4907	0.2178910438210993	23253	1.0325291302164301	39408	1.7498777776445655	0.7219462415844039	0.0	0.0	-0.04362265606166624	7.272826529525574e-64	1.4760613449086388e-63	-0.020436560705595082	3.439028179697354e-27	5.600314664171186e-27	-0.07048137982020337	9.981467484608623e-33	1.7040184821790412e-32
All	K562	CPSF6-RBM15	2	2252043	1010	0.04484816675347673	8602	0.3819642875380266	88384	3.9246142280587004	0.7217834993068408	0.0	0.0	-0.012489110476483361	0.001842998418664326	0.0020860311771695116	-0.017545127479987963	3.9810911219431053e-48	7.52389698275486e-48	-0.13953589501373564	1.4833166520914657e-32	2.525315953147454e-32
All	K562	RBFOX2-SF3B4	6	2252043	2677	0.11886984395946258	8049	0.35740880613736065	217779	9.670286046936049	0.7188919082435147	0.0	0.0	0.03405634194262348	8.802986235468324e-13	1.2062628588734865e-12	0.01917516458704997	7.201060407992647e-130	1.7659743381505778e-129	0.09818775444607399	2.248649426976533e-32	3.8177619392074106e-32
All	K562	APOBEC3C-PCBP1	6	2252043	181	0.008037146715227018	9176	0.40745225557416087	13994	0.6213913322258944	0.7212368762712801	0.0	0.0	-0.03340252385327922	1.2591852920314999e-19	1.8773860325101735e-19	-0.022715519578316475	2.344510786581211e-14	3.263305554295469e-14	0.3112154213039396	3.532750376339885e-32	5.981478719391914e-32
All	HepG2	SRSF9-TRA2A	2	2083000	282	0.013538166106577052	7607	0.3651944311089774	16555	0.7947671627460394	0.7056001877015419	0.0	0.0	0.01294090444862949	0.0017793725201715037	0.002015861076931236	-0.024933777082729165	3.419287729511839e-19	5.085727597685478e-19	0.25513559273396713	4.729383497508323e-32	7.996604655157712e-32
All	HepG2	PTBP1-TARDBP	4	2083000	122	0.00585693710993759	7605	0.36509841574651947	10502	0.5041766682669228	0.7066541952479769	0.0	0.0	-0.18042995363366354	0.0	0.0	-0.09706334746376848	2.939849243934716e-171	7.714763621026135e-171	-0.3799805662816959	1.176200296759758e-31	1.9806315623910914e-31
All	HepG2	FUBP3-U2AF2	6	2083000	79	0.0037926068170907345	5334	0.25607297167546805	136699	6.562602016322612	0.7075321628132464	0.0	0.0	-0.029866225610574865	9.830630010254654e-10	1.2696613053996606e-09	-0.029776270557362566	1.215390805459257e-198	3.360677931873918e-198	-0.468358021075687	1.6730304139163053e-31	2.813422573606195e-31
All	HepG2	HNRNPK-QKI	4	2083000	52	0.0024963994239078253	14584	0.700144023043687	18847	0.9048007681228997	0.708023392861412	0.0	0.0	-0.06220702209344173	2.17064541762126e-99	4.977583926122222e-99	-0.23412302042193328	0.0	0.0	0.5734316496539623	1.7442085046843557e-31	2.9291327605840537e-31
All	HepG2	PCBP1-RBFOX2	3	2083000	747	0.03586173787806049	3818	0.18329332693230918	45069	2.1636581853096493	0.7064476022920517	0.0	0.0	-0.020674401380289024	0.001211590448325678	0.0013776686238551408	-0.045579489391009524	1.3872938540401834e-158	3.5722816741534723e-158	0.16814363787685088	5.817023827310277e-31	9.742332588828595e-31
All	K562	CSTF2T-EWSR1	2	2252043	5742	0.25496848861234	18752	0.8326661613477184	11644	0.5170416373044386	0.7220042372481853	0.0	0.0	-0.13238959466554942	0.0	0.0	-0.024802356529784093	4.822520398530458e-08	5.990588153350398e-08	0.08275615699835961	5.911012409281174e-31	9.886348224454034e-31
All	HepG2	RBFOX2-SUPV3L1	3	2083000	1151	0.05525684109457513	45069	2.1636581853096493	2634	0.12645223235717715	0.7063321268208177	0.0	0.0	-0.05009997827125216	1.5170655497979436e-189	4.130160836013785e-189	0.11587320021896888	1.8406796064478403e-36	3.2224929087387114e-36	0.16136207086656915	9.686679253435486e-31	1.613576220653135e-30
