,RBP,cell_line,Significant Events,AUROC,AUPRC,Sign Concordance
69,IGF2BP1 Position 4,K562,3,0.7169811320754718,0.02482629916738444,0.0
70,CDC40 Position 6,HepG2,3,0.6287878787878788,0.1611952861952862,66.66666666666666
71,SRSF7 Position 2,HepG2,3,0.5,0.07317073170731707,0.0
72,EXOSC10 Position 2,K562,3,0.8976608187134504,0.14915824915824916,0.0
73,SRSF7 Position 1,K562,3,0.3333333333333333,0.045474118045089655,0.0
74,SRSF7 Position 4,K562,3,0.7794117647058824,0.44047619047619047,0.0
75,IGF2BP1 Position 2,HepG2,3,0.5864779874213837,0.021640826873385012,33.33333333333333
76,SRSF7 Position 4,HepG2,3,0.21052631578947367,0.16666666666666666,100.0
77,EXOSC5 Position 2,K562,3,0.5121951219512195,0.10620915032679738,33.33333333333333
78,ELAC2 Position 5,K562,3,0.5736842105263158,0.04631511759218343,33.33333333333333
79,SAFB Position 6,K562,2,1.0,1.0,100.0
80,XRCC6 Position 3,K562,2,0.2804878048780488,0.04791666666666666,100.0
81,DROSHA Position 3,HepG2,2,0.625,0.12142857142857143,50.0
82,ZNF800 Position 6,K562,2,0.6507731958762887,0.014841445427728613,100.0
83,EXOSC10 Position 5,K562,2,0.5963541666666667,0.03603316326530612,50.0
84,GARS Position 4,K562,2,0.5,0.1,0.0
85,IGF2BP1 Position 2,K562,2,0.5014749262536873,0.00889750079088896,100.0
86,SDAD1 Position 2,HepG2,2,0.5,0.017391304347826087,0.0
87,RNF187 Position 6,K562,2,0.8235294117647058,0.625,50.0
88,IGF2BP1 Position 4,HepG2,2,0.5611702127659575,0.027777777777777776,50.0
89,ELAC2 Position 3,K562,2,0.5,0.02578981302385558,0.0
90,IGF2BP1 Position 6,HepG2,2,0.685483870967742,0.0675,0.0
91,IGF2BP1 Position 1,K562,2,0.17758620689655175,0.006233071741093131,50.0
92,RPS6 Position 3,K562,2,0.5,0.10526315789473684,0.0
93,EXOSC10 Position 4,K562,2,0.3197674418604651,0.024644945697577275,0.0
94,EXOSC10 Position 3,K562,2,0.2596153846153846,0.024696969696969696,100.0
95,SRSF7 Position 3,HepG2,2,0.5,0.11764705882352941,0.0
96,SRSF7 Position 3,K562,2,0.6666666666666667,0.10250000000000001,0.0
97,SDAD1 Position 3,HepG2,2,0.5,0.023529411764705882,0.0
98,SRSF7 Position 1,HepG2,2,0.5,0.10526315789473684,0.0
99,RBM5 Position 1,HepG2,2,0.2972972972972973,0.04523809523809524,50.0
100,MORC2 Position 1,K562,2,0.9166666666666667,0.75,50.0
101,XRCC6 Position 1,K562,2,0.07608695652173914,0.033367037411526794,0.0
102,XRCC6 Position 5,K562,2,0.25,0.05498533724340176,50.0
103,RPS6 Position 6,K562,1,0.7777777777777778,0.2,100.0
104,APEX1 Position 1,K562,1,0.5,0.16666666666666666,0.0
105,DROSHA Position 6,HepG2,1,0.5,0.125,0.0
106,XRCC6 Position 6,K562,1,0.5,0.043478260869565216,0.0
107,GARS Position 6,K562,1,0.5,0.06666666666666667,0.0
108,CDC40 Position 1,HepG2,1,0.5625,0.045454545454545456,100.0
109,RBM5 Position 3,HepG2,1,0.36734693877551017,0.03125,0.0
110,WDR43 Position 6,HepG2,1,0.5,0.058823529411764705,0.0
111,MORC2 Position 2,K562,1,0.33695652173913043,0.03125,0.0
112,NOLC1 Position 6,HepG2,1,0.5,0.014705882352941176,0.0
113,ADAT1 Position 6,K562,1,0.040000000000000036,0.04,100.0
114,NIPBL Position 3,K562,1,0.5,0.023255813953488372,0.0
115,NIPBL Position 4,K562,1,0.6888888888888889,0.06666666666666667,0.0
116,RPS6 Position 5,K562,1,0.6578947368421053,0.1,0.0
117,DDX42 Position 5,K562,1,1.0,1.0,100.0
118,EXOSC5 Position 4,K562,1,0.75,0.14285714285714285,100.0
119,FXR2 Position 3,HepG2,1,0.032258064516129004,0.01098901098901099,0.0
120,ZNF800 Position 1,K562,1,0.45418326693227096,0.007246376811594203,100.0
121,ZNF800 Position 2,K562,1,0.9233333333333333,0.041666666666666664,100.0
122,EIF4E Position 5,K562,1,1.0,1.0,100.0
123,SDAD1 Position 1,HepG2,1,0.1325301204819277,0.012345679012345678,0.0
124,NPM1 Position 3,K562,1,0.5,0.5,0.0
125,SDAD1 Position 5,HepG2,1,0.10679611650485432,0.010752688172043012,0.0
126,IGF2BP1 Position 3,K562,1,0.07894736842105265,0.0035587188612099642,0.0
127,EIF4E Position 6,K562,1,0.75,0.2,100.0
128,ZC3H11A Position 6,HepG2,1,0.8527131782945736,0.05,0.0
129,DROSHA Position 5,HepG2,1,0.45833333333333337,0.1,0.0
130,WDR43 Position 3,HepG2,1,0.5,0.0625,0.0
131,DDX6 Position 1,K562,1,0.006024096385542188,0.011904761904761904,0.0
132,XRCC6 Position 4,K562,1,0.5,0.041666666666666664,0.0
133,NOLC1 Position 3,K562,1,0.14035087719298245,0.02,0.0
134,SAFB Position 2,HepG2,1,0.5,0.25,0.0
135,DROSHA Position 4,K562,0,,,
136,APEX1 Position 2,HepG2,0,,,
137,APEX1 Position 2,K562,0,,,
138,APEX1 Position 3,HepG2,0,,,
139,APEX1 Position 3,K562,0,,,
140,APEX1 Position 4,HepG2,0,,,
141,APEX1 Position 4,K562,0,,,
142,SRSF9 Position 3,HepG2,0,,,
143,RYBP Position 2,HepG2,0,,,
144,APEX1 Position 5,K562,0,,,
145,APEX1 Position 6,HepG2,0,,,
146,APEX1 Position 6,K562,0,,,
147,ZC3H11A Position 1,HepG2,0,,,
148,ZC3H11A Position 1,K562,0,,,
149,ZC3H11A Position 2,HepG2,0,,,
150,ZC3H11A Position 2,K562,0,,,
151,APEX1 Position 1,HepG2,0,,,
152,RBM5 Position 1,K562,0,,,
153,RBM5 Position 2,HepG2,0,,,
154,SAFB Position 3,HepG2,0,,,
155,ZC3H11A Position 3,HepG2,0,,,
156,ZC3H11A Position 3,K562,0,,,
157,ZC3H11A Position 4,HepG2,0,,,
158,ZC3H11A Position 4,K562,0,,,
