Data Partition	Model	Cell Line	RBP Pair	Position	Same Pos. PPI Mean	Single Binders Mean	PPI - Single: Mean	Same Pos. PPI Std Dev	Single Binders Std Dev	PPI - Single Std Dev	Same Pos. PPI Rows	Single Binders Rows
test	xgboost	HepG2	HNRNPK-QKI	3	0.692926406926407	0.693604685521317	-0.0006782785949100978	0.16559331073600755	0.33994763706937753	-0.17435432633336997	231	7107
test	xgboost	K562	CSTF2T-TAF15	2	0.5118571428571429	0.5161772192173083	-0.0043200763601654035	0.35809795148414747	0.3431193878499928	0.014978563634154674	7	3143
test	xgboost	K562	IGF2BP2-PCBP1	6	0.7424278438030559	0.7534676090353742	-0.01103976523231831	0.31153338991659935	0.34311464981506173	-0.03158125989846239	589	7039
test	xgboost	K562	RBFOX2-SF3B4	4	0.8407651933701658	0.8528195047784535	-0.012054311408287721	0.1676953276053165	0.2621784784973445	-0.094483150892028	543	23020
test	xgboost	HepG2	RBFOX2-SF3B4	4	0.7561412151067323	0.7703765375694104	-0.014235322462678113	0.15137091108552922	0.31048090890975905	-0.15910999782422983	609	14227
test	xgboost	K562	HNRNPK-PCBP1	3	0.6689709517923362	0.6834761602034328	-0.014505208411096593	0.30891892113603275	0.31643248791524026	-0.007513566779207503	809	4719
test	xgboost	HepG2	QKI-RBFOX2	3	0.5926374570446735	0.614031011235955	-0.021393554191281527	0.45023921037338477	0.33697116108586056	0.11326804928752421	291	11125
test	xgboost	K562	HNRNPK-PCBP1	5	0.7743635265700485	0.8027588429256596	-0.0283953163556111	0.2097697604405396	0.30437282075561994	-0.09460306031508034	414	3336
test	xgboost	K562	U2AF1-U2AF2	4	0.731891849078341	0.7653470409051348	-0.033455191826793795	0.350723398874117	0.31033303666902634	0.04039036220509068	3472	11490
test	xgboost	K562	EWSR1-NONO	5	0.583261475409836	0.6170330857528697	-0.033771610343033776	0.399991364941015	0.3883437050493645	0.011647659891650508	610	2962
test	xgboost	HepG2	U2AF1-U2AF2	3	0.6430569422776912	0.6799010204983212	-0.03684407822063007	0.3781663066307869	0.3575696787011114	0.02059662792967548	1923	22636
test	xgboost	K562	RBM22-TIA1	3	0.6951347517730497	0.7341415534513517	-0.03900680167830195	0.30552914366442196	0.318746482057439	-0.01321733839301703	423	7287
test	xgboost	K562	IGF2BP2-PCBP1	2	0.6494745762711864	0.6942902109610448	-0.044815634689858386	0.3343733034002901	0.35192734396614783	-0.017554040565857743	413	8959
test	xgboost	HepG2	PCBP2-RBFOX2	5	0.6424615384615385	0.6963324297950775	-0.05387089133353895	0.46626924784775525	0.3239869706038221	0.14228227724393316	78	9223
test	xgboost	HepG2	U2AF1-U2AF2	6	0.6538063268892794	0.7138545927923878	-0.06004826590310841	0.37691165919188624	0.33197476372082335	0.04493689547106289	2845	26694
test	xgboost	HepG2	HNRNPK-U2AF2	3	0.6265710382513661	0.6876303235206216	-0.061059285269255525	0.4412208161888683	0.3492908047993046	0.09193001138956375	366	26768
test	xgboost	HepG2	U2AF1-U2AF2	5	0.5821414835164835	0.6462702939000604	-0.06412881038357687	0.41052335916761795	0.35290826072441034	0.05761509844320761	1456	29738
test	xgboost	K562	IGF2BP2-PCBP1	5	0.7866683333333333	0.8586759758806728	-0.07200764254733949	0.38327643014352897	0.22674068271323	0.15653574743029897	300	3151
test	xgboost	HepG2	PTBP1-QKI	2	0.6140769230769231	0.6898900669642857	-0.0758131438873626	0.2973196824795553	0.3360189083669524	-0.038699225887397104	13	1792
test	xgboost	K562	FMR1-FXR2	5	0.725339928057554	0.81721051468964	-0.09187058663208603	0.3591045249497392	0.2954049664557027	0.06369955849403652	1946	4527
test	xgboost	K562	FMR1-FXR2	1	0.8042329242262541	0.9053796694214875	-0.10114674519523337	0.323157659623098	0.20111466061143737	0.12204299901166063	1874	3025
test	xgboost	K562	CSTF2T-EWSR1	6	0.5554002100840336	0.6592722446916077	-0.1038720346075741	0.38835484725883035	0.3340262038811146	0.05432864337771576	476	1978
test	xgboost	K562	CSTF2T-EWSR1	5	0.5224971056439942	0.6357483491243181	-0.1132512434803239	0.39284614385944244	0.33825583231110407	0.05459031154833838	691	3483
test	xgboost	HepG2	RBFOX2-SF3B4	3	0.6392109580052493	0.754438011122015	-0.11522705311676573	0.2865463388103595	0.3156560288236573	-0.029109690013297773	1524	18342
test	xgboost	K562	EWSR1-NONO	3	0.6031919642857143	0.7311981166912851	-0.12800615240557078	0.4118012516304704	0.34712396687411906	0.06467728475635132	672	2708
test	xgboost	K562	CSTF2T-NONO	1	0.5360720461095101	0.6671862416107383	-0.13111419550122816	0.4345234273962751	0.35106822795535747	0.08345519944091762	347	2682
test	xgboost	HepG2	PCBP1-PTBP1	3	0.3927222222222222	0.5434778053977273	-0.15075558317550508	0.48491748890766284	0.3429726528839143	0.14194483602374852	72	2816
