Cell Line	Model	RBP Pair	Position	Same Pos. PPI R2	Single Binders R2	# Graphs (Same Pos. PPI)	# Graphs (Single Binders)	Difference
HepG2	xgboost	U2AF1-U2AF2	1	-18.95549648103004	0.2527455081067796	546	13764	-19.20824198913682
K562	xgboost	RBM22-TIA1	1	-19.786089951170528	0.209668517344279	349	7451	-19.995758468514808
HepG2	xgboost	IGF2BP1-PTBP1	3	-22.932600127145744	0.2600844405672913	5	3874	-23.192684567713034
HepG2	xgboost	FUBP3-RBFOX2	6	-26.99034409145824	0.088429425810232	29	4956	-27.078773517268473
K562	xgboost	RBFOX2-SF3B4	6	-35.526956572535546	0.1787471375549818	153	36741	-35.705703710090525
K562	xgboost	FXR1-FXR2	6	-37.346565098588016	0.3694420149962218	1363	6161	-37.71600711358424
K562	xgboost	DDX42-RBFOX2	3	-38.16361153950669	0.2612208971901792	25	4566	-38.42483243669687
HepG2	xgboost	HNRNPK-IGF2BP3	2	-39.54784424653944	-0.0216714047227959	3	2963	-39.526172841816646
HepG2	xgboost	PCBP1-RBFOX2	6	-41.97132690803858	0.2227037894676532	219	3384	-42.19403069750623
HepG2	xgboost	HNRNPK-LARP4	6	-51.47560529324143	0.1171957230120068	43	6657	-51.59280101625344
HepG2	xgboost	HNRNPK-PCBP1	6	-54.99728791662999	0.1894592588483465	188	2382	-55.18674717547834
HepG2	xgboost	HNRNPK-IGF2BP3	5	-58.275595264788485	0.3248776568295394	19	3857	-58.60047292161803
HepG2	xgboost	HNRNPK-IGF2BP3	6	-59.13947234421502	0.1513373221191166	28	3724	-59.29080966633414
K562	xgboost	HNRNPK-U2AF2	3	-72.71764960733879	0.1514189015293605	7	11096	-72.86906850886814
K562	xgboost	CPSF6-RBM15	3	-94.66890684552452	0.1804791486639533	11	4050	-94.84938599418847
HepG2	xgboost	RBM22-TIA1	4	-102.0440530020734	0.3749864741711537	31	3830	-102.41903947624455
K562	xgboost	CPSF6-RBM15	6	-117.1828619727384	0.2386066060034839	46	13903	-117.42146857874188
HepG2	xgboost	HNRNPK-U2AF2	5	-148.09506414141046	0.2652352138961603	43	31893	-148.3602993553066
K562	xgboost	EWSR1-RBM15	2	-156.5948822283305	0.2410402706423058	43	16539	-156.83592249897282
HepG2	xgboost	RBM22-TIA1	5	-197.96516256306347	0.1052613037472421	21	9369	-198.07042386681073
HepG2	xgboost	RBM15-SRSF9	6	-232.4076253322261	0.0155768396068785	123	3152	-232.42320217183297
HepG2	xgboost	HNRNPK-PCBP1	5	-234.81880712761435	0.3559509620334821	110	3068	-235.17475808964784
HepG2	xgboost	RBM22-TIA1	6	-239.1063295666891	0.0919286229081496	33	6093	-239.19825818959725
HepG2	xgboost	SF3B4-TAF15	3	-256.25256336470613	-0.1030693278129122	20	13202	-256.1494940368932
K562	xgboost	PUM2-RBFOX2	2	-335.30635348760643	0.2859961160579677	13	6850	-335.5923496036644
HepG2	xgboost	HNRNPK-IGF2BP3	3	-364.5097395220528	0.0688728808729879	28	4718	-364.57861240292584
K562	xgboost	CPEB4-CSTF2T	6	-393.5907246473034	0.1883286302096667	4	2148	-393.779053277513
K562	xgboost	EWSR1-RBM15	6	-477.1339757065906	0.2320394334083914	3	13981	-477.366015139999
K562	xgboost	CSTF2T-TAF15	6	-508.2264391905528	0.1404976532462072	7	2040	-508.366936843799
K562	xgboost	CSTF2T-TAF15	5	-508.2264391905528	0.2506939763717106	7	3430	-508.47713316692455
HepG2	xgboost	FUBP3-U2AF2	4	-509.86372312338654	0.2080364430643047	80	39650	-510.07175956645085
K562	xgboost	QKI-RBFOX2	1	-596.3631198713219	-0.1005390510902541	38	1662	-596.2625808202317
HepG2	xgboost	SRSF9-TAF15	4	-685.4220693648624	0.0049789462931127	4	1201	-685.4270483111555
HepG2	xgboost	SRSF1-TAF15	4	-685.4220693648624	0.2888859898398291	4	3793	-685.7109553547023
K562	xgboost	EWSR1-RBM15	1	-740.3048587107667	0.2813033360686784	7	7525	-740.5861620468354
HepG2	xgboost	SRSF9-TRA2A	2	-847.6553789276605	0.3493388054444492	6	3726	-848.0047177331049
K562	xgboost	PUM2-RBFOX2	3	-1089.6527934477224	0.3214568948019217	4	5583	-1089.9742503425243
K562	xgboost	PCBP1-RBFOX2	6	-1172.906142467009	0.1743879826748565	105	3486	-1173.080530449684
K562	xgboost	DDX42-U2AF2	5	-1192.3414728648925	0.0990000499770923	3	11964	-1192.4404729148696
K562	xgboost	QKI-RBFOX2	3	-1284.0275668301206	0.2230197493382253	62	5768	-1284.2505865794587
HepG2	xgboost	SRSF9-TRA2A	1	-1357.348040190934	0.1589681317356004	4	2190	-1357.5070083226694
HepG2	xgboost	RBM22-TIA1	2	-1633.6799110384748	0.0359465611712216	28	10604	-1633.715857599646
K562	xgboost	DDX42-U2AF2	2	-1881.64992933294	0.0741561775539829	5	13690	-1881.724085510494
K562	xgboost	CSTF2T-TAF15	3	-1987.95589710461	0.0630229651847837	35	3567	-1988.0189200697946
K562	xgboost	CSTF2T-TAF15	4	-1987.95589710461	0.1061356113027298	35	2087	-1988.0620327159127
HepG2	xgboost	PCBP1-RBFOX2	2	-2039.814242841586	-0.1719572527811841	89	4452	-2039.642285588805
HepG2	xgboost	HNRNPK-IGF2BP3	4	-2165.5325485368194	0.156375113641647	33	3569	-2165.688923650461
HepG2	xgboost	HNRNPK-PCBP1	4	-2177.352474310542	0.1056574116308317	33	2496	-2177.458131722173
HepG2	xgboost	PCBP1-RBFOX2	5	-2338.568199808896	0.2284075485792244	8	6647	-2338.7966073574753
HepG2	xgboost	PCBP2-RBFOX2	1	-2377.9161504855333	0.2760201792029354	49	3141	-2378.1921706647363
K562	xgboost	IGF2BP2-PTBP1	3	-2593.337501809704	0.1049521946092404	11	4566	-2593.4424540043133
K562	xgboost	DDX42-U2AF2	6	-2682.027652111969	0.1819990276055271	3	15414	-2682.2096511395744
K562	xgboost	APOBEC3C-PCBP1	6	-4271.075629862284	0.2148156581203137	7	4786	-4271.290445520404
HepG2	xgboost	PCBP1-PTBP1	5	-4392.029427604065	0.274907350536646	14	1512	-4392.3043349546015
K562	xgboost	QKI-RBFOX2	5	-6224.621632851367	-0.2168288961574263	5	5397	-6224.40480395521
HepG2	xgboost	FUBP3-LARP4	6	-6975.241179008557	0.0706868132596623	4	6977	-6975.311865821816
K562	xgboost	HNRNPK-U2AF2	6	-9107.490071507318	0.188955189525918	13	17486	-9107.679026696844
HepG2	xgboost	PCBP1-RBFOX2	4	-11014.966732727116	0.1256468417621116	11	5705	-11015.092379568878
K562	xgboost	PTBP1-ZC3H8	4	-52916.10071366984	0.4533179607211467	3	836	-52916.55403163056
