Data Partition	Model	Cell Line	RBP Pair	Position	RBP 1 Same Pos. PPI Mean	RBP 1 Single Binders Mean	RBP 1 PPI - Single: Mean	RBP 2 Same Pos. PPI Mean	RBP 2 Single Binders Mean	RBP 2 PPI - Single: Mean	Same Pos. PPI Rows	Single Binders Rows
test	xgboost	K562	MBNL1-RBFOX2	1	0.02128925579069768	0.06458962101255776	-0.04330036522186008	0.0004962410627906977	0.003064551767397227	-0.0025683107046065292	43	1515
test	xgboost	K562	MBNL1-RBFOX2	2	0.4307696358895705	0.029905880899039703	0.4008637549905308	0.10472464628834353	0.022227741312185953	0.08249690497615758	163	2947
test	xgboost	K562	MBNL1-RBFOX2	3	2.9389352958762887e-05	9.453905923518708e-06	1.993544703524418e-05	0.15824175305841923	0.10447064250626088	0.053771110552158344	291	4945
test	xgboost	K562	MBNL1-RBFOX2	4	0.00029741183995412825	8.651779915016592e-05	0.00021089404080396233	0.12095305385321092	0.16294951830995172	-0.041996464456740795	218	3315
test	xgboost	K562	MBNL1-RBFOX2	5	2.9784705933962265e-05	5.603087357410571e-05	-2.6246167640143445e-05	0.00015411653175471693	0.003817641768897473	-0.0036635252371427563	212	3746
test	xgboost	K562	PCBP1-QKI	3	0.015217963322222233	0.12438817385180022	-0.10917021052957798	0.0005866716859999996	0.0016697692263864879	-0.0010830975403864883	90	4130
test	xgboost	K562	PCBP1-QKI	5	0.0021521617	0.0005468947120058446	0.0016052669879941554	0.011086586	0.008398081984272646	0.0026885040157273547	5	3422
test	xgboost	K562	PCBP1-RBFOX2	3	0.27120055217603917	0.0634738040858825	0.20772674809015668	0.04305695250855747	0.08578992193807812	-0.04273296942952065	409	6400
test	xgboost	K562	PCBP1-RBFOX2	4	0.28408556748243563	0.0413994658124592	0.24268610166997642	0.1809990435362998	0.1099011977578426	0.07109784577845721	427	4473
test	xgboost	K562	PCBP1-RBFOX2	6	0.012655672397142857	0.004015572016676133	0.008640100380466724	0.2661480400000004	0.08937243942177284	0.17677560057822758	105	3486
test	xgboost	K562	PTBP1-ZC3H8	3	0.16220311043526794	0.21848939035976875	-0.056286279924500804	0.08853842117131695	0.00041315056111990264	0.08812527061019705	896	1643
test	xgboost	K562	PTBP1-ZC3H8	4	0.32837762	0.20232730055622009	0.1260503194437799	0.0	0.0	0.0	3	836
test	xgboost	K562	PTBP1-ZC3H8	5	0.00010043859819999994	2.9380944005072977e-05	7.105765419492696e-05	0.0	0.0	0.0	50	1439
test	xgboost	K562	PTBP1-ZC3H8	6	0.0	0.0	0.0	0.0	0.0	0.0	50	678
test	xgboost	K562	PUM2-QKI	6	0.06495992572727277	0.05899128993264252	0.00596863579463025	0.0	0.0	0.0	55	4999
test	xgboost	K562	PUM2-RBFOX2	2	0.8992921615384618	0.41564551854144016	0.48364664299702165	0.01568178046153847	0.012343752794451095	0.0033380276670873753	13	6850
