Data Partition	Model	Cell Line	RBP Pair	Position	Same Pos. PPI Rows	Single Binders Rows	Actual PSI Mean - PPI 	Actual PSI Mean - Single Binders	Actual PSI Mean Difference: PPI vs Single Binders	Actual PSI Std Dev - PPI	Actual PSI Std Dev - Single Binders	Actual PSI Std Dev Difference: PPI vs Single Binders	Global SHAP RBP 1 - PPI	Global SHAP RBP 1 - Single Binders	Global SHAP RBP 1 Difference: PPI vs Single Binders	Global SHAP RBP 2 - PPI	Global SHAP RBP 2 - Single Binders	Global SHAP RBP 2 Difference: PPI vs Single Binders	Local SHAP: RBP 1 PPI vs RBP 1 Only Welch's T-test Stat	Local SHAP: RBP 1 PPI vs RBP 1 Only Welch's T-test P-value	Local SHAP: RBP 1 PPI vs RBP 1 Only Mann Whitney U Stat	Local SHAP: RBP 1 PPI vs RBP 1 Only Mann Whitney U P-value	Local SHAP: RBP 2 PPI vs RBP 2 Only Welch's T-test Stat	Local SHAP: RBP 2 PPI vs RBP 2 Only Welch's T-test P-value	Local SHAP: RBP 2 PPI vs RBP 2 Only Mann Whitney U Stat	Local SHAP: RBP 2 PPI vs RBP 2 Only Mann Whitney U P-value	PPI vs Single Binders PSI Welch's T-test Stat	PPI vs Single Binders PSI Welch's T-test P-value	PPI vs Single Binders PSI Welch's T-test FDR BH	PPI vs Single Binders PSI Mann Whitney U Stat	PPI vs Single Binders PSI Mann Whitney U P-value	PPI vs Single Binders PSI Mann Whitney U FDR BH
test	xgboost	HepG2	RBFOX2-SF3B4	3	1524	18342	0.6392109580052493	0.754438011122015	-0.11522705311676573	0.2865463388103595	0.3156560288236573	-0.029109690013297773	0.12302129626968507	0.04134664088637407	0.081674655383311	0.3083793997506561	0.14703553681582826	0.16134386293482783	-18.62275585475893	3.0920082372784025e-74	4565480.0	1.6923917624328455e-09	15.684189582579187	3.1951821995586253e-52	10803817.0	1.345735633940856e-41	-14.962099677788052	7.413336901531771e-48	1.3876245995174854e-47	9983006.5	6.226250069929561e-77	8.263931910997418e-76
test	xgboost	HepG2	RBFOX2-SF3B4	4	609	14227	0.7561412151067323	0.7703765375694104	-0.014235322462678113	0.15137091108552922	0.31048090890975905	-0.15910999782422983	0.1371485014113301	0.034723193529881916	0.10242530788144817	0.5930091418883416	0.4470647059354678	0.14594443595287382	-13.724858710400635	2.2271363793064143e-38	1145521.0	8.263384745738792e-14	-5.7505801609105065	1.336774067088615e-08	2368792.0	3.1055559474921085e-15	-2.1363677723520658	0.032935983241392824	0.036989642717256556	3129389.0	3.229196942699131e-31	1.3096187600946476e-30
test	xgboost	HepG2	RBFOX2-SF3B4	5	2077	17969	0.7115298507462687	0.7063412265568478	0.005188624189420898	0.2731022446897019	0.3423401369934148	-0.06923789230371291	0.020610465954795383	0.0018604448042367633	0.01875002115055862	0.16807520926509387	0.10004526874360427	0.0680299405214896	-27.974132757836205	5.0820388218531976e-151	779230.0	0.0	-20.609071391800907	3.2235681115860653e-87	9889380.0	1.51922560412261e-115	0.7965356182503351	0.425786263473384	0.4408850671426529	17052268.0	1.1786818040815124e-10	1.9335679033247283e-10
test	xgboost	HepG2	RBFOX2-SF3B4	6	508	13755	0.9189783464566931	0.7825404216648494	0.1364379247918437	0.08563223233466125	0.30052232509464805	-0.2148900927599868	0.026351062297244095	0.00642241952867321	0.019928642768570884	0.015655466966141743	0.01076456477876008	0.004890902187381663	-13.550555446117697	5.052861101718732e-37	219518.0	4.749605267311023e-116	-11.05497257880006	4.095845802229823e-26	1505303.0	2.3704128765345357e-74	29.772713522696655	3.2454546262984435e-142	1.0081625009352611e-141	3891294.5	1.2889551638199422e-05	1.742476425163996e-05
test	xgboost	HepG2	RBM15-SRSF9	6	123	3152	0.04181300813008129	0.5599325824873096	-0.5181195743572283	0.026920602626891825	0.393043995413514	-0.36612339278662215	0.2163931560162607	0.07300944349498827	0.1433837125212724	0.0007088156399999993	0.0003219024031627538	0.0003869132368372455	-38.48265596156315	2.1633417867281294e-232	50802.0	6.6182465220020244e-21	-32.82860911316595	4.0253079294180286e-178	0.0	3.099634100175991e-96	-69.9247187803928	0.0	0.0	45034.0	2.0147614529156032e-47	1.3370689642076277e-46
test	xgboost	HepG2	RBM22-TIA1	2	28	10604	0.9983749999999999	0.5607975763862694	0.43757742361373053	0.0029332859844663417	0.38619676325161756	-0.3832634772671512	0.2077740782142857	0.2371901991491937	-0.029416120934908002	0.005088298340357142	0.0018668426888660504	0.0032214556514910918	8.235013134591393	6.638136499372652e-09	188805.0	2.401722683451015e-06	14.970111169170991	2.013072453742511e-32	37459.5	1.5657602951449685e-07	115.42186235960362	0.0	0.0	286599.5	1.638838721748413e-17	3.625309899625277e-17
test	xgboost	HepG2	RBM22-TIA1	4	31	3830	0.9954354838709676	0.8354718015665796	0.15996368230438796	0.007532974108858419	0.3092320327935954	-0.301699058684737	0.2864522987096774	0.21442367282539165	0.07202862588428577	0.3198705767741935	0.04198503395681723	0.27788554281737626	-15.310865149375063	9.681943876855699e-46	31202.5	0.0493266781181847	-14.366224531695327	7.474051087256144e-16	2777.0	1.5902748668725643e-16	30.900992145541668	5.235046201507108e-179	1.8198017748096138e-178	103474.5	9.580702214553575e-13	1.6652172896724072e-12
test	xgboost	HepG2	RBM22-TIA1	5	21	9369	0.9947857142857144	0.5634176539652044	0.43136806032051	0.010547003636781675	0.3807072749045479	-0.37016027126776624	0.33456161047619054	0.22784173280799447	0.10671987766819607	0.0005663232419047616	0.002248679208195717	-0.0016823559662909556	-2.087880095806852	0.04974393547333304	60193.0	0.042258612569459716	8.19799400503466	4.88467430637393e-16	28371.5	7.260344529994941e-07	94.65867332766068	1.6902790776545646e-226	6.85502070382129e-226	185745.0	1.9066216493033434e-12	3.2368227999800943e-12
test	xgboost	HepG2	RBM22-TIA1	6	33	6093	0.9959090909090907	0.6892608731331035	0.3066482177759873	0.0033667829262854576	0.3484689095757777	-0.34510212664949225	0.007867900099999997	0.004805331495374364	0.0030625686046256324	0.0	0.0	0.0	-1.0671323600820362	0.2926843044467818	39778.0	0.0005116324892409659			39303.0	1.0	68.10535823260409	0.0	0.0	184288.0	1.3834236172514674e-16	2.8052756683154756e-16
test	xgboost	HepG2	SF3B4-TAF15	3	20	13202	0.9832750000000002	0.8057333358582033	0.17754166414179695	0.01914176681610413	0.28496180050102093	-0.2658200336849168	0.4337924700000001	0.23610418337186487	0.19768828662813523	8.112207000000002e-05	2.866873405714286e-05	5.245333594285716e-05	136.90962150036393	0.0	236800.0	7.878468807040218e-10	-inf	0.0	0.0	2.1810271551319113e-06	35.889941097633375	1.4944133851567654e-28	2.346068325084814e-28	197178.0	0.000133387585380289	0.00017234148199577165
