Cell Line	Model	RBP Pair	Position	PPI Category	R2 Value	# Unique Graphs	% Unique Graphs
K562	xgboost	PCBP1-RBFOX2	4	Neither	0.23493970900528371	211231	54.5913870948567
K562	xgboost	CSTF2T-NONO	1	Neither	0.2349397090052836	211231	54.5913870948567
K562	xgboost	FMR1-FXR2	1	Neither	0.23493903259963866	211230	54.59112865084472
K562	xgboost	MBNL1-RBFOX2	5	Neither	0.23493870630971792	211230	54.59112865084472
K562	xgboost	U2AF1-U2AF2	5	Neither	0.23493815235900595	211209	54.58570132659312
K562	xgboost	FMR1-FXR2	5	Neither	0.23493765821146195	211223	54.58931954276085
K562	xgboost	APOBEC3C-PCBP1	1	Neither	0.23489378850789444	211212	54.58647665862906
K562	xgboost	U2AF1-U2AF2	4	Neither	0.23484561238442103	211175	54.57691423018575
K562	xgboost	IGF2BP2-PCBP1	5	Neither	0.23483604326769303	211177	54.57743111820971
K562	xgboost	EWSR1-RBM15	3	Neither	0.23483004527620166	211047	54.54383339665212
K562	xgboost	FMR1-FXR2	4	Neither	0.2347929998618421	211100	54.55753092928713
K562	xgboost	FMR1-FXR2	3	Neither	0.23478737085030665	211093	54.555721821203264
K562	xgboost	IGF2BP2-PCBP1	1	Neither	0.23470425557735008	211037	54.54124895653231
K562	xgboost	FXR1-FXR2	4	Neither	0.23468089073152887	211068	54.549260720903725
K562	xgboost	IGF2BP2-PCBP1	4	Neither	0.23455381663443597	210979	54.52625920383738
K562	xgboost	PTBP1-ZC3H8	3	Neither	0.23452381824377966	210386	54.37300190473236
K562	xgboost	FMR1-FXR2	2	Neither	0.2344235976862976	210984	54.52755142389728
K562	xgboost	HNRNPK-PCBP1	4	Neither	0.23442149897825393	211093	54.555721821203264
K562	xgboost	CPSF6-RBM15	4	Neither	0.23436643266710566	209632	54.17813511969835
K562	xgboost	RBM22-TIA1	6	Neither	0.23420760570857269	209823	54.2274979259868
K562	xgboost	APOBEC3C-PCBP1	2	Neither	0.23405221222216122	210857	54.49472903437563
K562	xgboost	RBM22-TIA1	5	Neither	0.23384697772006346	208988	54.01169717598228
K562	xgboost	RBFOX2-SF3B4	3	Neither	0.23381583658783	209782	54.21690172149556
